time,step,_step,loss_interior,loss_boundary,loss,l2_error,_runtime,_timestamp
3.392336368560791,0,0,0.00010162577213131824,2.8428219188771324,2.842923544649264,0.8524751583529311,7.542189836502075,1715690619.9579039
8.330770492553711,1,1,0.2381149197882345,0.6107982260164411,0.8489131458046756,1.3867493522704282,12.234323501586914,1715690624.6500375
10.40221095085144,2,2,0.014985536795867867,1.4672987584522312,1.482284295248099,1.4385477757285903,14.30576777458191,1715690626.7214818
14.705994367599487,3,3,0.005668439978917944,1.4449519656659586,1.4506204056448766,0.6258620306214422,18.61073660850525,1715690631.0264506
18.432562589645386,4,4,0.05742363475779249,0.2859808651295979,0.3434044998873904,0.1470348950823177,22.33589768409729,1715690634.7516117
20.70914602279663,5,5,0.05976558029293634,0.03033155140233569,0.09009713169527203,0.07071099343559041,24.612486839294434,1715690637.0282009
31.498613834381104,6,6,0.011176345501237058,0.0048788685678990565,0.016055214069136115,0.041812235728914675,35.40221381187439,1715690647.8179278
45.391289472579956,7,7,0.0008535497633254297,0.0018083059619682553,0.002661855725293685,0.05572971415926829,49.294915199279785,1715690661.7106292
50.18029236793518,8,8,0.00033495510426354924,0.0016356168873274558,0.001970571991591005,0.04411233890583792,54.08364224433899,1715690666.4993563
60.095144748687744,9,9,0.00025661887510930974,0.0007203259016091712,0.000976944776718481,0.013248651745846138,63.9985146522522,1715690676.4142287
78.17970037460327,10,10,5.468204044063041e-05,0.0001263640512294069,0.0001810460916700373,0.024966583684783845,82.08334565162659,1715690694.4990597
86.0505678653717,11,11,2.7466939791885183e-05,0.00030194396103424474,0.0003294109008261299,0.020969232159441374,89.95397639274597,1715690702.3696904
93.0840654373169,12,12,1.6688732400662965e-05,0.00022123157792350979,0.00023792031032417274,0.017847470829075257,96.98767423629761,1715690709.4033883
102.87339043617249,13,13,2.0157933205245688e-05,0.00016583715069275838,0.00018599508389800407,0.015195665534219721,106.77673864364624,1715690719.1924527
109.62452602386475,14,14,2.168744339500213e-05,0.00011986388462256957,0.0001415513280175717,0.012378968708864338,113.5278685092926,1715690725.9435825
117.80576014518738,15,15,2.573264983677861e-05,9.276816429650513e-05,0.00011850081413328375,0.010129078817239404,121.7094349861145,1715690734.125149
129.47327876091003,16,16,2.3544918434601307e-05,5.9083821059822104e-05,8.262873949442341e-05,0.008448504142875611,133.37665581703186,1715690745.7923698
137.35196161270142,17,17,2.1516243531085646e-05,4.556794027670833e-05,6.708418380779397e-05,0.006119127431930373,141.2553198337555,1715690753.6710339
145.51925683021545,18,18,2.0841877236122924e-05,2.217433880732975e-05,4.3016216043452675e-05,0.004870373377634622,149.42272329330444,1715690761.8384373
153.38101863861084,19,19,1.794286529959366e-05,1.641758715324555e-05,3.436045245283921e-05,0.0039045631843057137,157.28466510772705,1715690769.7003791
179.0227015018463,20,20,1.5576782792059645e-05,9.78724639729943e-06,2.5364029189359076e-05,0.0033045445811057707,182.92605423927307,1715690795.3417683
