loss,step,_step,_runtime,loss_interior,time,l2_error,_timestamp,loss_boundary
2.842923544649264,0,0,5.319626569747925,0.00010162577213131824,1.1387593746185303,1.8279142381613023,1715681486.8127575,2.8428219188771324
2.821622042957321,1,1,5.418426752090454,0.0001708698100423726,1.552297830581665,1.7043146578109387,1715681486.9115577,2.8214511731472784
2.3623867018556317,2,2,5.513532400131226,0.00036452602567200255,1.6460766792297363,1.5355809659220077,1715681487.0066633,2.3620221758299595
2.072715783774198,3,3,5.599154949188232,0.0007680787538238978,1.7406916618347168,1.3268209377327838,1715681487.0922859,2.0719477050203743
1.6901923859648273,4,4,5.6785924434661865,0.0014968670127647752,1.8228240013122559,1.0824734789764547,1715681487.1717234,1.6886955189520625
1.199930529240255,5,5,5.757966756820679,0.0027990208109260803,1.9030442237854004,0.8203036378286042,1715681487.2510977,1.1971315084293288
0.7939919002363325,6,6,5.8377296924591064,0.004855978837554487,1.9828152656555176,0.6152511101508559,1715681487.3308606,0.789135921398778
0.48852547317538864,7,7,5.918224573135376,0.007728813386477854,2.0626721382141113,0.6488949466607293,1715681487.4113555,0.4807966597889108
0.3367515331146236,8,8,5.998805522918701,0.011389935503494247,2.143176794052124,0.9245316573842809,1715681487.4919364,0.3253615976111293
0.34243715606096164,9,9,6.0807905197143555,0.014172532528775449,2.2239925861358643,1.2417710600281253,1715681487.5739214,0.3282646235321862
0.5081132352093984,10,10,6.1624534130096436,0.015035686732966218,2.3063063621520996,1.4484739757126295,1715681487.6555843,0.4930775484764322
0.7230733002348895,11,11,6.2438805103302,0.011946968899648292,2.3878023624420166,1.4724630997651296,1715681487.7370114,0.7111263313352412
0.7233235806520295,12,12,6.324038505554199,0.0065427643673774604,2.467573404312134,1.3207363401052257,1715681487.8171694,0.7167808162846521
0.573647629745924,13,13,6.40493369102478,0.0021325566822089233,2.548933744430542,1.058870603816786,1715681487.8980646,0.5715150730637151
0.3909771696881008,14,14,6.48602557182312,0.0024900346770630136,2.62986421585083,0.7825269756084361,1715681487.9791565,0.3884871350110378
0.29254784595084865,15,15,6.5666539669036865,0.00802267350741221,2.7107481956481934,0.5830536404724068,1715681488.059785,0.28452517244343645
0.27634246458913836,16,16,6.647632360458374,0.017095507851211555,2.792019844055176,0.5187549793245164,1715681488.1407633,0.2592469567379268
0.3997752110033215,17,17,6.7282867431640625,0.026236322429364068,2.8724586963653564,0.5389498387265599,1715681488.2214177,0.3735388885739574
0.42601409247034216,18,18,6.811441421508789,0.033721818904066496,2.953019857406616,0.5615009694805507,1715681488.3045723,0.39229227356627566
0.44697046520926054,19,19,6.891700267791748,0.03959579755105349,3.0357606410980225,0.5541414580878117,1715681488.3848312,0.40737466765820707
0.4237358072851933,20,20,6.971513748168945,0.04390304107792091,3.1156368255615234,0.5240050851648904,1715681488.4646447,0.37983276620727235
0.397605024368932,21,21,7.0519349575042725,0.045362120663028915,3.196047306060791,0.4988133471716545,1715681488.5450659,0.3522429037059031
0.36294294994830045,22,22,7.132555723190308,0.045973577677420926,3.276506185531616,0.5161902291382933,1715681488.6256866,0.3169693722708795
0.2951632965560933,23,23,7.213485479354858,0.04440410690732015,3.3575029373168945,0.5904371056035544,1715681488.7066164,0.25075918964877314
0.2785925517846573,24,24,7.294519424438477,0.042076154134246986,3.4385881423950195,0.7008939986166589,1715681488.7876503,0.2365163976504103
0.2816912269741859,25,25,7.375525712966919,0.03855015208300329,3.519594430923462,0.8105678258150627,1715681488.8686566,0.2431410748911826
0.29970622340319364,26,26,7.457242250442505,0.034524591865889326,3.6012773513793945,0.8835834252292873,1715681488.9503732,0.26518163153730434
0.34162181102700545,27,27,7.538056135177612,0.03074448367762,3.682326316833496,0.9073259943849935,1715681489.031187,0.31087732734938545
0.3318204092095667,28,28,7.618002414703369,0.02838959501061454,3.761849880218506,0.883666076609153,1715681489.1111333,0.3034308141989521
0.33880492101184756,29,29,7.699317216873169,0.025899764615065112,3.8441340923309326,0.822993938734174,1715681489.1924481,0.31290515639678246
0.30826441400115806,30,30,7.781487464904785,0.023768289717327546,3.9265687465667725,0.7460035749313174,1715681489.2746184,0.28449612428383053
0.2807024608347416,31,31,7.869241714477539,0.0222327864344287,4.006978750228882,0.6678451325316095,1715681489.3623726,0.2584696744003129
0.27240316653733015,32,32,7.950525999069214,0.020693730450528736,4.094926357269287,0.6069729689901382,1715681489.443657,0.2517094360868014
0.25124198785316637,33,33,8.031476497650146,0.019208900102203594,4.175847053527832,0.5659791757519989,1715681489.5246074,0.23203308775096276
0.24582710510964914,34,34,8.11321234703064,0.01837169613132399,4.257400989532471,0.5420021980996822,1715681489.6063433,0.22745540897832514
0.2760490020041034,35,35,8.193249225616455,0.017157426585707323,4.337770462036133,0.5310853211438634,1715681489.6863801,0.2588915754183961
0.2765010235950554,36,36,8.273068904876709,0.01653706209032295,4.417467355728149,0.5293960771184787,1715681489.7661998,0.25996396150473244
0.2511807697661106,37,37,8.353999137878418,0.01517245365007125,4.498340368270874,0.5354247147079241,1715681489.84713,0.2360083161160393
0.2627160894536441,38,38,8.435104608535767,0.01454971148635219,4.57944393157959,0.5500046055633495,1715681489.9282355,0.2481663779672919
0.25830058896549707,39,39,8.515578985214233,0.013359649299054609,4.659847974777222,0.5749970603918534,1715681490.00871,0.24494093966644248
0.24879995048210393,40,40,8.595367670059204,0.012583005342359887,4.742386341094971,0.6063730948227851,1715681490.0884986,0.23621694513974403
0.23321704195760934,42,41,8.735048294067383,0.01112255608259447,4.879157781600952,0.6773426586152115,1715681490.2281792,0.22209448587501487
