l2_error,_timestamp,loss_interior,loss,step,_step,loss_boundary,time,_runtime
0.5147569570704345,1715688771.9911065,0.00010162577213131824,2.842923544649264,0,0,2.8428219188771324,2.3739068508148193,6.743931531906128
0.3872175340901806,1715688773.1557689,0.006942113190810503,0.1584999976526055,1,1,0.151557884461795,3.80393123626709,7.9085938930511475
0.18295585552351357,1715688774.346271,0.027460433630517145,0.10188675345827053,2,2,0.07442631982775338,4.994889736175537,9.099096059799194
0.15163752660376648,1715688775.5767784,0.012382063756836478,0.035863219305746014,3,3,0.023481155548909536,6.225452184677124,10.329603433609009
0.08945342406449548,1715688776.8586652,0.0054592434225256255,0.02211175955438028,4,4,0.016652516131854655,7.507040023803711,11.611490249633789
0.0614878597736739,1715688778.1791992,0.00485835741983893,0.010958083491699095,5,5,0.006099726071860166,8.82752013206482,12.932024240493774
0.04227136388685182,1715688779.5496762,0.0017004097361067744,0.004550063370145085,6,6,0.00284965363403831,10.197901010513306,14.302501201629639
0.03802480776183926,1715688780.9553301,0.0009008682928600878,0.002710507481649985,7,7,0.0018096391887898974,11.603509426116943,15.708155155181885
0.039181593444012314,1715688782.4125037,0.0005792232121274301,0.0021756482361913578,8,8,0.0015964250240639278,13.060668706893921,17.16532874107361
0.03325521639922397,1715688783.9166136,0.0005644906608887417,0.0017995763155071807,9,9,0.001235085654618439,14.563567399978638,18.66943860054016
0.031992903889267274,1715688785.4556048,0.0004785168523382752,0.001581140380060784,10,10,0.0011026235277225088,16.103836059570312,20.20842981338501
0.024188564302859643,1715688786.9807026,0.0003619410937308079,0.0014616339516824398,11,11,0.001099692857951632,17.628885746002197,21.733527660369873
0.023500847878510294,1715688788.5142808,0.00033826745719849565,0.0009593387465624543,12,12,0.0006210712893639587,19.16238760948181,23.2671058177948
0.018889151229255344,1715688790.036941,0.0002299844183535486,0.0006588738070888633,13,13,0.0004288893887353148,20.68498206138611,24.78976607322693
0.01747835540882734,1715688791.5592499,0.00022136914392860776,0.0005528114554272908,14,14,0.00033144231149868306,22.207364797592163,26.312074899673462
0.016923149734802523,1715688793.088892,0.00018862692161617517,0.0004445129906844781,15,15,0.0002558860690683029,23.737043142318726,27.841717004776
0.01621586474865904,1715688794.6067953,0.00017272985128814484,0.0004524954705186829,16,16,0.00027976561923053806,25.254868507385254,29.359620332717896
0.01364295237696553,1715688796.1317253,0.00014722449336099564,0.0003442216778415352,17,17,0.00019699718448053954,26.77979016304016,30.88455033302307
0.012099949241377313,1715688797.6506417,0.0001236506928274251,0.000299417203847789,18,18,0.00017576651102036385,28.298766613006592,32.40346670150757
0.01235387801625687,1715688799.1540604,0.00010973179133239715,0.00022592464212257545,19,19,0.00011619285079017831,29.802197694778442,33.906885385513306
0.01287524266527459,1715688800.6784112,9.073604435939777e-05,0.00020259267273682363,20,20,0.00011185662837742587,31.326248168945312,35.431236267089844
0.010914247649202386,1715688802.192763,8.802882694271593e-05,0.00021212881815053496,21,21,0.00012409999120781902,32.84087061882019,36.94558811187744
0.011130354714778695,1715688803.7337315,8.366054458131564e-05,0.00018979577340010533,22,22,0.00010613522881878968,34.381404399871826,38.48655652999878
0.012159483659161592,1715688805.2816825,7.700428784906848e-05,0.0001822009236888792,23,23,0.00010519663583981071,35.929288387298584,40.034507513046265
0.010156030998397226,1715688806.819858,7.696903923910024e-05,0.0001674001955350409,24,24,9.043115629594067e-05,37.46775674819946,41.57268309593201
0.010583783028656904,1715688808.3278868,7.466880957202839e-05,0.00015375386662287526,25,25,7.908505705084687e-05,38.97564220428467,43.08071184158325
0.010068915812060533,1715688809.8556669,5.815606788880704e-05,0.00014459253525049985,26,26,8.64364673616928e-05,40.50367069244385,44.60849189758301
0.01015698137015253,1715688811.372151,5.7902159931662723e-05,0.00013788864928252674,27,27,7.998648935086403e-05,42.02015542984009,46.12497591972351
0.00883587847207919,1715688812.8975077,5.8836880977239805e-05,0.00011970541995421721,28,28,6.0868538976977416e-05,43.545589208602905,47.65033268928528
0.00954349575629116,1715688814.4167016,5.519970233938935e-05,0.00011500360457646503,29,29,5.980390223707569e-05,45.06477999687195,49.16952657699585
0.009209152633233105,1715688815.9480941,5.236012962217355e-05,0.00011066694616924914,30,30,5.830681654707558e-05,46.596078872680664,50.70091915130615
0.008497082195268723,1715688817.4695885,4.531616100768329e-05,9.570343109527462e-05,31,31,5.0387270087591334e-05,48.11740255355835,52.222413539886475
0.00811915667183201,1715688819.0003428,4.421482023908854e-05,0.00010122846595213622,32,32,5.701364571304768e-05,49.64833426475525,53.75316786766052
0.00858874188341139,1715688820.509257,4.3869313477437276e-05,9.444968844908163e-05,33,33,5.0580374971644345e-05,51.157320499420166,55.26208209991455
0.008251057799043282,1715688822.0175917,4.127655688140914e-05,9.160554686337381e-05,34,34,5.032898998196467e-05,52.665515184402466,56.77041673660278
0.008086131134081336,1715688823.5324378,3.883965453563857e-05,8.660068870335771e-05,35,35,4.7761034167719136e-05,54.180410385131836,58.28526282310486
0.008243794196923506,1715688825.039895,4.3345249954308274e-05,8.993526512320544e-05,36,36,4.6590015168897164e-05,55.68798232078552,59.792720079422
0.008329878161155541,1715688826.556286,3.847487711975447e-05,9.893190063674028e-05,37,37,6.045702351698582e-05,57.20435929298401,61.30911111831665
0.007770110923660059,1715688828.0737243,3.80792550583656e-05,8.411732609634368e-05,38,38,4.603807103797807e-05,58.721781730651855,62.82654929161072
0.007904006496711994,1715688829.5941868,3.3719022479076855e-05,8.240518825886883e-05,39,39,4.868616577979197e-05,60.242249965667725,64.34701180458069
