_step,l2_error,_timestamp,_runtime,loss_interior,loss,time,loss_boundary,step
0,0.7096094559428624,1715696718.9088569,7.755267858505249,0.00010162577213131824,2.842923544649264,3.4251654148101807,2.8428219188771324,0
1,0.7843832655616941,1715696721.200886,10.04729700088501,0.005039025025845559,0.3427924410044533,6.092159271240234,0.3377534159786077,1
2,0.6525238706783176,1715696723.4966786,12.343089580535889,0.003476915864822749,0.3200618092344101,8.38841962814331,0.31658489336958734,2
3,0.7074024176161009,1715696725.8168519,14.663262844085693,0.0007767983051438991,0.3176803835831578,10.706847429275513,0.31690358527801393,3
4,0.5576721336119208,1715696728.1397958,16.986206769943237,0.0014640845284530214,0.31687816751309145,13.031378746032715,0.3154140829846384,4
5,0.6551885436347891,1715696730.4299607,19.276371717453003,0.038058976493367445,0.2639591234932331,15.321599960327148,0.22590014699986566,5
6,0.5918131636101623,1715696732.7238023,21.570213317871094,0.020054424182212094,0.250880332297602,17.61540412902832,0.23082590811538986,6
7,0.6657401958204757,1715696735.01577,23.862180948257446,0.021810617968359005,0.2418105869350072,19.907490730285645,0.2199999689666482,7
8,0.5420588516948192,1715696737.3162563,26.162667274475098,0.009924945456790906,0.24579337692014758,22.207833528518677,0.23586843146335668,8
9,0.6693674333846967,1715696739.6038413,28.450252294540405,0.020607474105181472,0.22835507817257342,24.495303630828857,0.20774760406739196,9
10,0.5869556493827133,1715696741.8929288,30.73933982849121,0.009035858319083887,0.2094383492093747,26.78465461730957,0.20040249089029083,10
11,0.5080085707718802,1715696744.1763577,33.02276873588562,0.01370323930450903,0.2231213108501182,29.068483114242554,0.20941807154560915,11
12,0.5603096834050709,1715696746.47621,35.32262110710144,0.022604797732210784,0.2035369180127368,31.3680202960968,0.18093212028052602,12
13,0.553598684312098,1715696748.7597036,37.606114625930786,0.013153341732615868,0.18294961417688305,33.65164375305176,0.16979627244426718,13
14,0.6273416339777531,1715696751.031191,39.877602100372314,0.0113516288147238,0.15419399962420866,35.922839641571045,0.14284237080948486,14
15,0.521725999056856,1715696753.3067086,42.1531195640564,0.0069684392088892105,0.1776445704562479,38.19834351539612,0.1706761312473587,15
16,0.5152439884862408,1715696755.5836103,44.43002128601074,0.013728787987199271,0.15620929085931992,40.47533464431763,0.14248050287212066,16
17,0.5209991495945542,1715696757.857073,46.70348405838013,0.005094653950652105,0.15932271611869506,42.74890184402466,0.15422806216804294,17
18,0.4591951427169211,1715696760.1276832,48.97409415245056,0.00963533285609078,0.14260881481769203,45.019490003585815,0.13297348196160125,18
19,0.5026027105925106,1715696762.4045756,51.25098657608032,0.016818223956057657,0.13632162498898548,47.296249866485596,0.11950340103292782,19
20,0.4451170812750971,1715696764.6894166,53.53582763671875,0.009638730794231613,0.14348628984848,49.58115196228027,0.1338475590542484,20
21,0.4976385200512163,1715696766.962351,55.808762073516846,0.014395210481143577,0.13879289703922323,51.8542423248291,0.12439768655807966,21
22,0.4600735834555218,1715696769.2440991,58.09051012992859,0.010002581532930193,0.13934407379196448,54.13546705245972,0.1293414922590343,22
23,0.4780003494377681,1715696771.528601,60.375011920928955,0.012491416419005794,0.13083529324690119,56.42012047767639,0.11834387682789538,23
24,0.4450663686698992,1715696773.840449,62.68686008453369,0.008485782689440079,0.12755720414030086,58.732128858566284,0.11907142145086078,24
25,0.47907498412083566,1715696776.118634,64.96504497528076,0.01328416218690999,0.12174659065870669,61.01026940345764,0.1084624284717967,25
26,0.43107923842581963,1715696778.395042,67.24145293235779,0.009749603313542805,0.12594059073069297,63.28631520271301,0.11619098741715016,26
27,0.45866816234766755,1715696780.675837,69.52224802970886,0.013210097861543799,0.1295270705713621,65.56753206253052,0.1163169727098183,27
28,0.4020691840742266,1715696782.9568613,71.80327224731445,0.011266022653010452,0.11710031822062035,67.84849262237549,0.1058342955676099,28
29,0.44871737436346026,1715696785.236945,74.08335590362549,0.020410835055091784,0.1261187577407309,70.12857460975647,0.1057079226856391,29
30,0.39906809283882877,1715696787.5148735,76.36128449440002,0.01150885709112466,0.11720159609459649,72.4062385559082,0.10569273900347183,30
31,0.4373837586480154,1715696789.792689,78.63910007476807,0.016454559944094057,0.11287527901531134,74.6840832233429,0.09642071907121728,31
32,0.42030776489859206,1715696792.076303,80.92271399497986,0.011342009198638668,0.10884900212807999,76.96773171424866,0.09750699292944132,32
33,0.40384281628455637,1715696794.3520656,83.19847655296326,0.018509244234781546,0.10139666175245039,79.24364233016968,0.08288741751766884,33
34,0.3988132054653574,1715696796.6233969,85.46980786323547,0.009954002544548214,0.09563948360561839,81.51480984687805,0.08568548106107017,34
35,0.4075015427261913,1715696798.9022918,87.74870276451111,0.014928749848881503,0.09692537445578668,83.7939133644104,0.08199662460690518,35
36,0.37850885448854016,1715696801.1800084,90.02641940116882,0.01103416787880327,0.09637335077803222,86.07173585891724,0.08533918289922895,36
37,0.40044016337616956,1715696803.462459,92.30887007713318,0.01533156107163714,0.0902018199590398,88.353928565979,0.07487025888740266,37
38,0.37516529440522517,1715696805.751147,94.59755802154541,0.012626164216256518,0.09692004169247441,90.6427628993988,0.08429387747621789,38
39,0.3981638559045659,1715696808.0302472,96.87665820121765,0.013298046432394562,0.09732171144498389,92.9214596748352,0.08402366501258933,39
40,0.36577775942373963,1715696810.3140168,99.1604278087616,0.011516370483446801,0.09829797559817169,95.20554423332214,0.08678160511472488,40
41,0.42326829659197496,1715696814.8501403,103.69655132293701,0.012905545992872861,0.08804959725525856,99.74165511131287,0.0751440512623857,42
