loss_interior,step,time,_timestamp,loss,loss_boundary,_step,l2_error,_runtime
0.00010162577213131824,0,2.1736679077148438,1715780534.822438,2.842923544649264,2.8428219188771324,0,0.6168791852681114,6.339741945266724
0.005150221058737917,1,3.225210666656494,1715780535.6224334,0.37283023813868815,0.36768001707995024,1,0.73664986039527,7.139737367630005
0.0044982776962125106,2,4.023596286773682,1715780536.4195547,0.3178459323172712,0.3133476546210587,2,0.7727852666316312,7.936858654022217
0.003741903470103119,3,4.821277618408203,1715780537.2173018,0.3156183929664558,0.31187648949635266,3,0.7979939638740854,8.73460578918457
0.002611515745872171,4,5.61961555480957,1715780538.0157528,0.3139727548854517,0.3113612391395795,4,0.8416641320725599,9.533056735992432
0.001563327336150877,5,6.416926145553589,1715780538.813249,0.30851321322379166,0.30694988588764077,5,0.7319641632535371,10.33055305480957
0.04062282098520875,6,7.216918230056763,1715780539.6133978,0.29249775179373905,0.2518749308085303,6,0.6781533938850531,11.130701780319214
0.055676224151027645,7,8.015784740447998,1715780540.4120693,0.290318152860437,0.23464192870940934,7,0.6208116549889476,11.929373264312744
0.06573468431399027,8,8.816570520401001,1715780541.2128205,0.2878787499117893,0.222144065597799,8,0.5763205842638139,12.730124473571777
0.0683196703687994,9,9.615900993347168,1715780542.0121589,0.2862651729753811,0.21794550260658174,9,0.5517459213217304,13.529462814331055
0.0635285781484881,10,10.41563081741333,1715780542.812131,0.28358992981119074,0.22006135166270263,10,0.5325563231224572,14.329434871673584
0.0295914692302952,11,11.21549391746521,1715780543.6118376,0.27108441679366596,0.24149294756337075,11,0.6371398989110106,15.129141569137573
0.0005127827998309414,12,12.015531539916992,1715780544.4121132,0.25169668111372717,0.2511838983138962,12,0.6633828534630802,15.929417133331299
0.0009796456458749218,13,12.816214084625244,1715780545.2127385,0.25009198757202195,0.249112341926147,13,0.7245520484074558,16.730042457580566
0.0011387101052038032,14,13.61620831489563,1715780546.0125625,0.23238635038185548,0.23124764027665168,14,0.5624227630464448,17.529866456985474
0.016438297034711297,15,14.416414499282837,1715780546.8127816,0.1922349642626585,0.17579666722794718,15,0.5441386785101856,18.330085515975952
0.020298536853906264,16,15.219624280929565,1715780547.6159594,0.19149646265058912,0.17119792579668286,16,0.5310196275518595,19.13326334953308
0.02287619644437234,17,16.019857168197632,1715780548.4162052,0.1910542009380094,0.16817800449363707,17,0.5066480050888015,19.93350911140442
0.025709712113017164,18,16.819456815719604,1715780549.215822,0.1888816129837316,0.16317190087071443,18,0.5429244709598591,20.733125925064087
0.01296715386021639,19,17.61896586418152,1715780550.0153732,0.181989482853158,0.16902232899294162,19,0.551594282008681,21.532677173614502
0.011212729475931316,20,18.417825937271118,1715780550.8142574,0.18172672349124236,0.17051399401531103,20,0.5625334653707857,22.33156132698059
0.008920621013532646,21,19.21719193458557,1715780551.6136456,0.17943652383453151,0.17051590282099888,21,0.4724014565759766,23.1309494972229
0.019302958705761257,22,20.016594886779785,1715780552.413152,0.166997954457768,0.14769499575200673,22,0.5414214492479044,23.930455923080444
0.008239635060604655,23,20.817147493362427,1715780553.2137554,0.15462403274440636,0.1463843976838017,23,0.4734857125359921,24.731059312820435
0.01319733777849684,24,21.61715841293335,1715780554.0137813,0.14673896762706734,0.1335416298485705,24,0.4446422883663302,25.53108525276184
0.016547364600667757,25,22.41902780532837,1715780554.8159647,0.14581267581988452,0.12926531121921678,25,0.3896159099206137,26.333268642425537
0.027479148712797993,26,23.22108483314514,1715780555.6177871,0.13959569140551423,0.11211654269271623,26,0.41355484188095226,27.135091066360474
0.025482432880365814,27,24.022432565689087,1715780556.4193463,0.13685672811720098,0.11137429523683517,27,0.43949096741778404,27.936650276184082
0.024214489726693766,28,24.823971271514893,1715780557.2206924,0.13573654632112755,0.11152205659443379,28,0.4317474938845516,28.737996339797974
0.027464886692583,29,25.624799728393555,1715780558.0217075,0.12885136046649415,0.10138647377391116,29,0.3772290644865221,29.539011478424072
0.028827261543497455,30,26.426256895065308,1715780558.822985,0.1245550696655954,0.09572780812209794,30,0.37669562713228666,30.340288877487183
0.02048978764421694,31,27.228705883026123,1715780559.6254733,0.1195198794113339,0.09903009176711697,31,0.4600694851163492,31.14277720451355
0.008644485328999424,32,28.029858350753784,1715780560.4266212,0.10623961696161993,0.09759513163262051,32,0.35918826283553973,31.943925142288208
0.01460467957504211,33,28.833272218704224,1715780561.230013,0.09451133657775343,0.07990665700271132,33,0.32261238304635437,32.74731683731079
0.01637876553063623,34,29.63473629951477,1715780562.031488,0.09355822009748241,0.07717945456684618,34,0.3046883149239012,33.54879188537598
0.009901119357481702,35,30.436578273773193,1715780562.8333309,0.09112010321562936,0.08121898385814766,35,0.31949111990214396,34.350634813308716
0.007813928180954737,36,31.237967252731323,1715780563.6347227,0.08773021979437211,0.07991629161341737,36,0.34461303514655656,35.152026653289795
0.012383800736860687,37,32.04051089286804,1715780564.4372723,0.07713447490720314,0.06475067417034246,37,0.2691310341177936,35.95457625389099
0.01681389076297165,38,32.84390330314636,1715780565.2406282,0.0555716390727067,0.03875774830973505,38,0.23699289378162686,36.75793218612671
0.018590683166923704,39,33.64555215835571,1715780566.0423348,0.05191441321089249,0.03332373004396878,39,0.21498856089667984,37.5596387386322
0.016984035852114852,40,34.446757555007935,1715780566.8436453,0.04720605558703219,0.030222019734917338,40,0.19883876989467444,38.36094927787781
0.015461676960809039,42,36.02913475036621,1715780568.425899,0.04250156273268678,0.027039885771877742,41,0.17727953750569544,39.94320297241211
