_runtime,step,l2_error,_timestamp,loss_boundary,loss_interior,time,_step,loss
5.194437742233276,0,1.7156384285895505,1715682273.0373087,2.8428219188771324,0.00010162577213131824,1.0390574932098389,0,2.842923544649264
5.282939910888672,1,1.5361085829838494,1715682273.1258109,2.5637729588038165,0.0008844941953642786,1.425694465637207,1,2.564657452999181
5.361809968948364,2,1.3470023666877717,1715682273.204681,2.0218882570443935,0.002416126603877101,1.5104584693908691,2,2.0243043836482704
5.438311815261841,3,1.1444991462001972,1715682273.2811828,1.711800494592838,0.004689402369453207,1.587104082107544,3,1.7164898969622913
5.514851331710815,4,0.9334173801028347,1715682273.3577223,1.3730586214701819,0.007863526118209415,1.6636009216308594,4,1.3809221475883913
5.59178352355957,5,0.7344886524104586,1715682273.4346545,0.9792947877735144,0.012207287544783606,1.7402501106262207,5,0.991502075318298
5.668844938278198,6,0.5982157605861541,1715682273.511716,0.6765555303725178,0.0169388156902373,1.8170087337493896,6,0.6934943460627551
5.746162414550781,7,0.5964481974930007,1715682273.5890334,0.46376914887358656,0.020920179033814146,1.8939542770385742,7,0.4846893279074007
5.824037790298462,8,0.7252158120773416,1715682273.6669087,0.33900590431999955,0.02387835633854586,1.9719316959381104,8,0.3628842606585454
5.903021335601807,9,0.9034482204601574,1715682273.7458923,0.28975355681395704,0.024105988435882082,2.0495288372039795,9,0.3138595452498391
5.980919122695923,10,1.0563082946676725,1715682273.82379,0.30212359965345204,0.02151650182795213,2.128591775894165,10,0.32364010148140415
6.058516979217529,11,1.1478067124580067,1715682273.901388,0.40665869028007456,0.016445958488493374,2.2060458660125732,11,0.42310464876856796
6.136321306228638,12,1.1733545487505654,1715682273.9791923,0.4443584623732095,0.01060403730001649,2.2840356826782227,12,0.45496249967322594
6.213974475860596,13,1.140280974242129,1715682274.0568454,0.45421179218284957,0.005083554050463805,2.3615262508392334,13,0.45929534623331336
6.291479587554932,14,1.0611292483164958,1715682274.1343505,0.42814302237017154,0.0022077713719797385,2.4390010833740234,14,0.4303507937421513
6.368902683258057,15,0.9470592047328374,1715682274.2117736,0.40318475805004605,0.002918983413932737,2.51654314994812,15,0.4061037414639788
6.446659088134766,16,0.8144268124127163,1715682274.28953,0.3195223635798227,0.008727698671110682,2.5941097736358643,16,0.3282500622509334
6.52431058883667,17,0.6809707129215237,1715682274.3671815,0.28169110959569094,0.019889563551155173,2.6719791889190674,17,0.3015806731468461
6.601723670959473,18,0.5632448154010431,1715682274.4445946,0.21607234477734893,0.03481095842775206,2.749465227127075,18,0.250883303205101
6.679121255874634,19,0.47730751303117924,1715682274.5219922,0.18720573518244973,0.05317638661114619,2.826918125152588,19,0.24038212179359592
6.756498575210571,20,0.43039145742070006,1715682274.5993695,0.18433158560213092,0.07123057985281572,2.9043359756469727,20,0.25556216545494664
6.833686590194702,21,0.41550122959386415,1715682274.6765575,0.1986944852733122,0.07930475356637091,2.9814200401306152,21,0.27799923883968314
6.911178827285767,22,0.41648020699379357,1715682274.7540498,0.22804092545470964,0.08114183069783595,3.058832883834839,22,0.3091827561525456
6.988548994064331,23,0.4221091511111686,1715682274.83142,0.22299944623756243,0.07293545849460976,3.1363365650177,23,0.2959349047321722
7.0661516189575195,24,0.4312383574680436,1715682274.9090226,0.2507013723211867,0.06111020092223351,3.213958978652954,24,0.31181157324342024
7.143747329711914,25,0.448521074409654,1715682274.9866183,0.24891444987142322,0.04677803030060781,3.2914414405822754,25,0.29569248017203104
7.221290349960327,26,0.4775426179264499,1715682275.0641613,0.2163766630977621,0.032287684107096946,3.3689143657684326,26,0.24866434720485905
7.299665451049805,27,0.518344744322793,1715682275.1425364,0.23209625953232554,0.020628669589418946,3.4472053050994873,27,0.2527249291217445
7.377246379852295,28,0.5673865827659667,1715682275.2201173,0.21549022776278287,0.012738397245356125,3.524878978729248,28,0.228228625008139
7.454628229141235,29,0.6179822735175943,1715682275.2974992,0.2306908312033884,0.006951916741516886,3.6022427082061768,29,0.23764274794490528
7.532052278518677,30,0.6644847968032492,1715682275.3749232,0.23461813973663045,0.003622981403038414,3.6796693801879883,30,0.23824112113966886
7.609435558319092,31,0.6998076880705348,1715682275.4523065,0.22912023621330366,0.002068148509366568,3.757330894470215,31,0.23118838472267023
7.686931371688843,32,0.7233130750603146,1715682275.5298023,0.23900799425924435,0.0016271689089984384,3.8346054553985596,32,0.2406351631682428
7.764385938644409,33,0.7316930477176977,1715682275.607257,0.22705994766201432,0.001656023762121239,3.9118824005126953,33,0.22871597142413555
7.8422088623046875,34,0.7239033082871899,1715682275.6850798,0.22000442937628578,0.001820250973058329,3.9898266792297363,34,0.2218246803493441
7.919659614562988,35,0.7018821311640906,1715682275.7625306,0.2333265173359067,0.001833070859241399,4.067302703857422,35,0.2351595881951481
7.996944904327393,36,0.6688872002767382,1715682275.8398159,0.21927424469461806,0.0018759315484119061,4.144798994064331,36,0.22115017624302996
8.074304103851318,37,0.6283610671053033,1715682275.917175,0.1913638054104782,0.0020691165552180354,4.222119331359863,37,0.19343292196569625
8.151638984680176,38,0.5838039556817869,1715682275.99451,0.1988843668707098,0.0029020755126357863,4.299299955368042,38,0.2017864423833456
8.228911876678467,39,0.5408383392470774,1715682276.0717828,0.18787839422265035,0.004228870177764818,4.37678861618042,39,0.19210726440041517
8.306441068649292,40,0.5008680440485862,1715682276.149312,0.18456847798114745,0.006891785326899722,4.454411029815674,40,0.19146026330804716
8.440634965896606,42,0.44752363637769876,1715682276.283506,0.1649124171057993,0.014860805354858904,4.5883705615997314,41,0.1797732224606582
