loss_interior,loss,time,loss_boundary,_step,_runtime,l2_error,_timestamp,step
0.00010162577213131824,2.842923544649264,2.3909966945648193,2.8428219188771324,0,8.845116138458252,1.8938192059824428,1715783615.331504,0
0.00010162612340317675,2.8429147665860133,4.115844964981079,2.84281314046261,1,9.336411952972412,0.6039728053316139,1715783615.8228,1
0.0038367773586447857,0.31968103939636683,4.537597179412842,0.31584426203772203,2,9.757208108901978,0.5850060685121039,1715783616.243596,2
0.04194973670620802,0.2731491132967439,4.958657741546631,0.23119937659053588,3,10.17834997177124,0.698330242315056,1715783616.664738,3
0.011786540722847108,0.24595809938889193,5.381559371948242,0.23417155866604483,4,10.601303815841675,0.5329086950102578,1715783617.0876918,4
0.004131473224726284,0.20674597164480482,5.80295729637146,0.20261449842007853,5,11.023908853530884,0.5165112197359085,1715783617.5102968,5
0.0217230666410793,0.19435558351519322,6.225970268249512,0.1726325168741139,6,11.445607662200928,0.5766154564720474,1715783617.9319956,6
0.01373895811161611,0.18948661283495188,6.647074937820435,0.17574765472333578,7,11.866929292678833,0.41289987453645494,1715783618.3533173,7
0.015334393907554698,0.15030748390444704,7.068195581436157,0.13497308999689234,8,12.288074970245361,0.35280234988520864,1715783618.774463,8
0.020260694340691762,0.12168535334701083,7.491117477416992,0.10142465900631907,9,12.711063146591187,0.41433389155113093,1715783619.197451,9
0.015909213571327307,0.1044732562703357,7.912608861923218,0.08856404269900839,10,13.13254165649414,0.3507665650602936,1715783619.6189296,10
0.011293797260599916,0.08935248248435923,8.332444429397583,0.07805868522375932,11,13.552388668060303,0.3042645427303797,1715783620.0387766,11
0.014921899730831389,0.08280101196793752,8.752580881118774,0.06787911223710613,12,13.972638130187988,0.2894029042679914,1715783620.459026,12
0.01985626515784314,0.060347652196501345,9.172870397567749,0.040491387038658205,13,14.392888069152832,0.23816623144320853,1715783620.879276,13
0.015516496527644414,0.04884921662490708,9.59316086769104,0.033332720097262666,14,14.813245296478271,0.18563776957384293,1715783621.2996333,14
0.013258585938214551,0.04218119440884166,10.014480113983154,0.028922608470627106,15,15.234473466873169,0.16702826706628487,1715783621.7208614,15
0.013925285582014078,0.040531961891709434,10.436114311218262,0.02660667630969536,16,15.656102657318115,0.15543389684268935,1715783622.1424906,16
0.011928501646633113,0.0372170275029722,10.85736608505249,0.025288525856339086,17,16.077348947525024,0.15630182022141892,1715783622.563737,17
0.013324819277233392,0.03467902476373216,11.27929973602295,0.021354205486498763,18,16.499316215515137,0.17426219773443807,1715783622.9857042,18
0.011710389715732844,0.031880995775001635,11.70097827911377,0.020170606059268792,19,16.920977115631104,0.17690258778571208,1715783623.407365,19
0.011054655650268756,0.02793841697896608,12.123013496398926,0.016883761328697323,20,17.3431499004364,0.16873935297031706,1715783623.8295379,20
0.010441397706541773,0.025341076611526327,12.544922351837158,0.014899678904984552,21,17.764988899230957,0.1466390920249111,1715783624.2513769,21
0.009282884080385866,0.021439910372015075,12.966618299484253,0.012157026291629208,22,18.186678171157837,0.12784744930694136,1715783624.6730661,22
0.008789984940371415,0.019287151094984276,13.38839864730835,0.010497166154612861,23,18.60858678817749,0.10976344051562123,1715783625.0949748,23
0.005674591917688177,0.014291615884211944,13.812422275543213,0.008617023966523767,24,19.032655000686646,0.08872553471983133,1715783625.519043,24
0.004717617639328076,0.012299454633302113,14.234665155410767,0.007581836993974038,25,19.455021381378174,0.07481797560253356,1715783625.9414093,25
0.003259145548750833,0.009245298257701613,14.6572744846344,0.00598615270895078,26,19.877599239349365,0.07283353344278191,1715783626.3639872,26
0.0023477966325463014,0.007740785655758878,15.078171491622925,0.005392989023212576,27,20.298444986343384,0.07323425281462613,1715783626.784833,27
0.0017320061020478885,0.006317934888062289,15.499484062194824,0.004585928786014401,28,20.71980333328247,0.06353047559701508,1715783627.2061913,28
0.001791917599769962,0.004971013567645479,15.920142412185669,0.0031790959678755174,29,21.140544176101685,0.06163654924249112,1715783627.6269321,29
0.0013576027482588558,0.004168608407773839,16.340832233428955,0.002811005659514983,30,21.561235189437866,0.06041724949929876,1715783628.0476232,30
0.0011518908619790518,0.003779550789869999,16.762110948562622,0.002627659927890947,31,21.98248291015625,0.05905427109951677,1715783628.4688709,31
0.001099834384865819,0.00342467680937886,17.18251919746399,0.002324842424513041,32,22.402954578399658,0.054023626469256354,1715783628.8893425,32
0.0010921866203021135,0.002960147604702453,17.60320496559143,0.0018679609844003391,33,22.823606967926025,0.0529863351745472,1715783629.309995,33
0.0008834655099924924,0.0026089015615968665,18.02464509010315,0.0017254360516043739,34,23.245232582092285,0.05086441429462052,1715783629.7316206,34
0.0007925162794068922,0.0024309216515812923,18.446022272109985,0.0016384053721744,35,23.66643762588501,0.049019001790826626,1715783630.1528256,35
0.0006305701040328914,0.002186542444979673,18.866795539855957,0.0015559723409467817,36,24.0872220993042,0.042950047361778154,1715783630.57361,36
0.0006159640393323755,0.0019576252353577512,19.287275791168213,0.0013416611960253757,37,24.507729291915894,0.03967770818045795,1715783630.9941173,37
0.00038612231406492004,0.0016472022842612226,19.708720207214355,0.0012610799701963024,38,24.92937421798706,0.03752007749797083,1715783631.4157622,38
0.00030171241790298515,0.0014974542269253206,20.13030433654785,0.0011957418090223354,39,25.350816249847412,0.035551170114494386,1715783631.8372042,39
0.00022209980684568793,0.0013134296470475033,20.55201005935669,0.0010913298402018153,40,25.77246904373169,0.03387422303352118,1715783632.258857,40
0.00015386824878419947,0.001077593937770424,21.373273611068726,0.0009237256889862245,41,26.593889236450195,0.03347972540206077,1715783633.0802772,42
