l2_error,loss_boundary,loss_interior,_step,step,_timestamp,loss,_runtime,time
2.0045953001062804,3.1734512319644956,0.00025267566290999985,0,0,1715686809.3772116,3.173703907627406,5.1177074909210205,1.0425593852996826
1.9013557760424695,3.1947974305790425,0.0002276253180652507,1,1,1715686809.4022949,3.1950250558971076,5.142790794372559,1.3252694606781006
1.761893771126033,2.9175335416015686,0.00018637456319210152,2,2,1715686809.4282799,2.917719916164761,5.168775796890259,1.3526122570037842
1.5971534992218372,2.5378850894374443,0.00013824556840579224,3,3,1715686809.450836,2.53802333500585,5.19133186340332,1.3729825019836426
1.4145454749268136,2.16131007317205,8.942664626233898e-05,4,4,1715686809.4743333,2.1613994998183124,5.214829206466675,1.3988642692565918
1.2197624380118652,1.7977538906793735,5.8389012686254e-05,5,5,1715686809.498393,1.7978122796920597,5.23888897895813,1.4217183589935303
1.0191717870959718,1.4096531481437533,4.497415041251427e-05,6,6,1715686809.5203667,1.4096981222941658,5.260862588882446,1.4429619312286377
0.8223966740040988,1.2144984109739223,5.531741907958115e-05,7,7,1715686809.5438,1.214553728393002,5.284296035766602,1.4683687686920166
0.6645568331841373,0.8157295782601314,9.63590215284934e-05,8,8,1715686809.5689917,0.8158259372816599,5.309487581253052,1.4931409358978271
0.6120925346057401,0.5929243334941406,0.0001619053531898108,9,9,1715686809.5934172,0.5930862388473305,5.333913087844849,1.514167308807373
0.7115036870409411,0.3998394501806854,0.0002725900194714347,10,10,1715686809.617874,0.40011204020015684,5.358369827270508,1.5430936813354492
0.9097512676177957,0.3045156931268009,0.0004075489272548142,11,11,1715686809.641345,0.3049232420540557,5.381840944290161,1.5665090084075928
1.1240563915890787,0.35386027932095276,0.0005925264838705775,12,12,1715686809.6614046,0.35445280580482336,5.40190052986145,1.5844337940216064
1.2956234014326542,0.44858612780049534,0.0008799062396724321,13,13,1715686809.6824353,0.4494660340401678,5.42293119430542,1.6056020259857178
1.3888819039940608,0.6019950151729453,0.0012444424961894382,14,14,1715686809.7020183,0.6032394576691348,5.442514181137085,1.6246521472930908
1.386467394421627,0.7451697570864786,0.002045147504721974,15,15,1715686809.7216854,0.7472149045912005,5.462181329727173,1.6446313858032227
1.2993459240383896,0.72790667095119,0.0032089970233767176,16,16,1715686809.7422893,0.7311156679745667,5.482785224914551,1.6656208038330078
1.1583737270278016,0.5918820594073733,0.005185899658496107,17,17,1715686809.7619603,0.5970679590658694,5.502456188201904,1.6848831176757812
0.9965861028296669,0.4605756332759372,0.007755251501943988,18,18,1715686809.7809737,0.4683308847778812,5.521469593048096,1.7039530277252197
0.8431384648872784,0.3778520307602071,0.010216220463449208,19,19,1715686809.8004394,0.38806825122365635,5.540935277938843,1.7233080863952637
0.7206825563817142,0.3429166001901302,0.012668831533423889,20,20,1715686809.819544,0.3555854317235541,5.56003999710083,1.74249267578125
0.6433806710685005,0.3219301786712101,0.014593376145846368,21,21,1715686809.8387072,0.3365235548170565,5.579203128814697,1.7617197036743164
0.6072402697821891,0.33799194371304436,0.016185392087382636,22,22,1715686809.8580139,0.354177335800427,5.598509788513184,1.7810921669006348
0.5973956068424009,0.3923635930311277,0.017484660728076053,23,23,1715686809.8771548,0.40984825375920375,5.617650747299194,1.8000857830047607
0.5966899809296429,0.3995328297713705,0.018413077877476362,24,24,1715686809.8965364,0.41794590764884687,5.6370322704315186,1.8195903301239014
0.5956349425945773,0.40295108736250973,0.01938693912088269,25,25,1715686809.915675,0.4223380264833924,5.656170845031738,1.8385536670684814
0.5916578435775801,0.42581893690890776,0.020511669309409987,26,26,1715686809.934603,0.44633060621831777,5.675098896026611,1.8574483394622803
0.5877006727244874,0.39653260725671446,0.02165865615920471,27,27,1715686809.9534986,0.41819126341591917,5.693994522094727,1.876453161239624
0.5896931036361454,0.4067145157220675,0.023169199085663034,28,28,1715686809.9727736,0.4298837148077306,5.713269472122192,1.895634651184082
0.6030668091361152,0.34493652158987254,0.024652863380214805,29,29,1715686809.9920173,0.36958938497008736,5.732513189315796,1.9151268005371094
