loss_interior,loss_boundary,step,time,_timestamp,_step,_runtime,l2_error,loss
0.00025267566290999985,3.1734512319644956,0,1.5105996131896973,1715701173.6456642,0,5.904865264892578,0.7838192260362022,3.173703907627406
0.026541401849287792,0.7302540716790366,1,2.3052780628204346,1715701174.119025,1,6.378226041793823,0.6866482375527111,0.7567954735283243
0.01993317515705675,0.5638956845928685,2,2.8708994388580322,1715701174.6846397,2,6.943840742111206,0.6195296970992955,0.5838288597499253
0.02650943744630289,0.31409527369470003,3,3.3661844730377197,1715701175.1799498,3,7.439150810241699,0.23650301852991581,0.34060471114100294
0.017893089931872254,0.052484621065582056,4,4.212393522262573,1715701176.0262158,4,8.285416841506958,0.2274128714822612,0.07037771099745431
0.009554864511545592,0.044149150155937934,5,4.91946268081665,1715701176.7347865,5,8.993987560272217,0.12563641636981965,0.05370401466748353
0.0005024484744726175,0.010851023213348606,6,6.368822813034058,1715701178.1827168,6,10.441917896270752,0.06422899725721348,0.011353471687821224
0.0009938048325295965,0.002610525134953857,7,7.610496282577515,1715701179.4254327,7,11.684633731842041,0.02989799939728759,0.0036043299674834535
0.0006790280421346057,0.0006220983241964912,8,8.847145795822144,1715701180.6612816,8,12.920482635498047,0.03302248668771726,0.001301126366331097
0.000182816570637885,0.0006445753790220892,9,10.827611684799194,1715701182.6419017,9,14.901102781295776,0.0178812379439711,0.0008273919496599742
3.304073884021572e-05,0.00014350290226789267,10,13.347347259521484,1715701185.1615014,10,17.42070245742798,0.014188044198566315,0.0001765436411081084
3.201980236329295e-05,9.020989329284535e-05,11,15.13309121131897,1715701186.9470088,11,19.206209897994995,0.013954770431937425,0.0001222296956561383
1.3807475296743588e-05,9.808584510840189e-05,12,17.17431950569153,1715701188.988204,12,21.24740505218506,0.00924163597244806,0.00011189332040514547
5.287010571409172e-06,5.805556378525208e-05,13,21.773507356643677,1715701193.5875022,13,25.84670329093933,0.007543462840839266,6.334257435666125e-05
6.325374166819442e-06,4.381480308519077e-05,14,23.784038543701172,1715701195.5982037,14,27.857404708862305,0.006791906702811272,5.0140177252010213e-05
7.265478981222893e-06,3.7750818980282045e-05,15,25.12297487258911,1715701196.9368398,15,29.196040868759155,0.006255722966370334,4.501629796150494e-05
7.600923341718767e-06,3.060022514503775e-05,16,27.32708477973938,1715701199.1409397,16,31.4001407623291,0.005771608556448746,3.8201148486756516e-05
7.696934195420725e-06,2.7049603104821968e-05,17,31.200815200805664,1715701203.014687,17,35.2738881111145,0.00542652058214678,3.474653730024269e-05
6.913414850187981e-06,2.9709832577666677e-05,18,33.62763071060181,1715701205.4415228,18,37.70072388648987,0.005264380344130546,3.662324742785466e-05
7.5035281815721274e-06,2.493261446605245e-05,19,35.74249625205994,1715701207.5564656,19,39.81566667556763,0.005080863548963386,3.2436142647624574e-05
7.903220556012971e-06,2.025302723895936e-05,20,39.7073175907135,1715701211.5214674,20,43.78066849708557,0.004875910884445815,2.8156247794972332e-05
7.741519815555903e-06,2.0700957181385115e-05,21,41.50973558425903,1715701213.3236108,21,45.58281183242798,0.0045464827905725156,2.844247699694102e-05
7.856781249999445e-06,2.101171400447711e-05,22,42.9136700630188,1715701214.7275167,22,46.98671770095825,0.004351207504733109,2.8868495254476557e-05
7.78529828555547e-06,1.9842368249154268e-05,23,47.98294520378113,1715701219.796831,23,52.056031942367554,0.004187239882376702,2.7627666534709738e-05
7.998464787167013e-06,1.602154722477848e-05,24,48.79806971549988,1715701220.6119297,24,52.87113070487976,0.004046063087615846,2.4020012011945492e-05
7.641265218878098e-06,1.3069219091806791e-05,25,50.41882276535034,1715701222.2326777,25,54.49187874794006,0.003910159762047317,2.071048431068489e-05
7.223622002157185e-06,1.389742610751131e-05,26,51.812687158584595,1715701223.626533,26,55.88573408126831,0.0037686801625577623,2.1121048109668494e-05
7.756704210655838e-06,1.2793135125223925e-05,27,53.134599447250366,1715701224.948458,27,57.207659006118774,0.0036056442915448047,2.0549839335879763e-05
7.84424209897786e-06,1.2362223637053593e-05,28,54.020334005355835,1715701225.8341975,28,58.093398571014404,0.003458563598623728,2.0206465736031453e-05
7.600986986140583e-06,1.1610384567898758e-05,29,55.908775091171265,1715701227.7226393,29,59.98184037208557,0.003275116661942462,1.9211371554039342e-05
7.479510898934489e-06,9.14673493788287e-06,30,57.56308913230896,1715701229.3769326,30,61.636133670806885,0.003092631196276345,1.662624583681736e-05
7.306613707980482e-06,8.351875647462432e-06,31,58.91441607475281,1715701230.7284696,31,62.98767066001892,0.0028692380434042915,1.5658489355442915e-05
7.513866473365018e-06,7.951659231428963e-06,32,60.53938388824463,1715701232.3534975,32,64.61269855499268,0.0026854420919710073,1.5465525704793982e-05
7.143552695887534e-06,7.151323264682378e-06,33,65.58975863456726,1715701237.403765,33,69.66296601295471,0.0030352808497525557,1.4294875960569914e-05
4.852870898621321e-06,9.473692001017665e-06,34,66.80426239967346,1715701238.6183386,34,70.87753963470459,0.002820838015472036,1.4326562899638986e-05
4.297431604578415e-06,8.312510109560589e-06,35,68.55889415740967,1715701240.3727558,35,72.6319568157196,0.0028126244962037097,1.2609941714139004e-05
3.822581494213351e-06,7.987689006129498e-06,36,71.8511073589325,1715701243.6650448,36,75.92424583435059,0.0027347145185636114,1.1810270500342849e-05
3.377272520898696e-06,7.323023063667472e-06,37,73.15425777435303,1715701244.9681094,37,77.22731041908264,0.002712833294462457,1.0700295584566168e-05
2.945963081863329e-06,7.120648773338033e-06,38,74.6065456867218,1715701246.42041,38,78.67961096763611,0.0026655074299500384,1.0066611855201362e-05
