loss_boundary,loss_interior,loss,step,_step,time,l2_error,_timestamp,_runtime
3.1734512319644956,0.00025267566290999985,3.173703907627406,0,0,1.059274435043335,2.0146210560920528,1715697376.1510062,5.246350288391113
3.218223831343839,0.00022528085384008537,3.2184491121976793,1,1,1.4060301780700684,1.9697079334417325,1715697376.173663,5.269006967544556
3.081179479418425,0.00021155039719415988,3.0813910298156193,2,2,1.4275586605072021,1.9251311199421284,1715697376.195528,5.290872097015381
2.9123585795653018,0.0002133178744823154,2.912571897439784,3,3,1.4488649368286133,1.8803583226268807,1715697376.2169955,5.312339544296265
2.7847636897118733,0.00021485325106509377,2.7849785429629383,4,4,1.470034122467041,1.8347615582003491,1715697376.2381248,5.333468914031982
2.677252718963972,0.00024036784334262754,2.677493086807315,5,5,1.4915506839752197,1.7876194131405363,1715697376.2596936,5.355037689208984
2.52194052025544,0.0002710663689332354,2.522211586624373,6,6,1.512805461883545,1.7381527030520718,1715697376.2808979,5.37624192237854
2.6298865158541913,0.0003119394391391176,2.6301984552933306,7,7,1.5340557098388672,1.685488793493907,1715697376.302116,5.397459983825684
2.3602180725561643,0.0003766746093488441,2.3605947471655133,8,8,1.5553083419799805,1.62905042181208,1715697376.3234499,5.4187939167022705
2.2969414523120455,0.00044035386170374063,2.297381806173749,9,9,1.5766384601593018,1.5682309606817832,1715697376.3460739,5.441417932510376
2.1008129091147523,0.000520362399574219,2.1013332715143265,10,10,1.5993800163269043,1.502618159180278,1715697376.366721,5.462064981460571
1.9589617043945373,0.0006575738700878957,1.9596192782646251,11,11,1.6195120811462402,1.431864409128134,1715697376.3858151,5.481159210205078
1.8056681776333048,0.0008068643361406117,1.8064750419694453,12,12,1.6391723155975342,1.355773465111486,1715697376.412537,5.507881164550781
1.6561769311614138,0.0010312515718831784,1.657208182733297,13,13,1.666137456893921,1.2743436170768665,1715697376.431934,5.527278184890747
1.535524855422865,0.001319983193804029,1.536844838616669,14,14,1.684758186340332,1.1878040757818276,1715697376.4509096,5.546253681182861
1.337766174027418,0.0016045090917637594,1.3393706831191818,15,15,1.7037131786346436,1.0969693794273918,1715697376.4698498,5.5651938915252686
1.2183092651190446,0.002164433766067708,1.2204736988851124,16,16,1.7224092483520508,1.0028942278883446,1715697376.488623,5.583966970443726
1.135773893487484,0.0026600862746600767,1.1384339797621439,17,17,1.7418484687805176,0.9072005059569478,1715697376.507734,5.603078126907349
0.9881825605993215,0.0032462462464575605,0.991428806845779,18,18,1.7604618072509766,0.8127475581705473,1715697376.5268793,5.622223377227783
0.8301715276266416,0.004016200864317687,0.8341877284909592,19,19,1.779536247253418,0.7239988635520656,1715697376.5459828,5.641326904296875
0.6860821541587523,0.00471742680458458,0.6907995809633368,20,20,1.7987656593322754,0.647201644297613,1715697376.565208,5.660552024841309
0.5842916887662584,0.005656100154999561,0.5899477889212579,21,21,1.8178985118865967,0.5898692354435658,1715697376.58429,5.679634094238281
0.4788242726859566,0.0062763156250575936,0.4851005883110142,22,22,1.8371188640594482,0.5596872977550738,1715697376.6034918,5.698835849761963
0.4376905877086583,0.006988060431672902,0.4446786481403312,23,23,1.8562569618225098,0.5607019595531944,1715697376.622705,5.718049049377441
0.35325713609590687,0.007641593254464152,0.36089872935037104,24,24,1.8753328323364258,0.5905882796467398,1715697376.6418295,5.737173557281494
0.3029536437162093,0.007888670325656391,0.3108423140418657,25,25,1.8944742679595947,0.6412256391903505,1715697376.6609519,5.756295919418335
0.2917066163514559,0.007547005502282271,0.29925362185373816,26,26,1.913651943206787,0.7031047448149707,1715697376.6802342,5.775578260421753
0.2733864124309744,0.007863066863655207,0.2812494792946296,27,27,1.933203935623169,0.7681438219163093,1715697376.6994927,5.794836759567261
0.2970553270113647,0.0073180651293080845,0.3043733921406728,28,28,1.9525010585784912,0.8304566403399597,1715697376.7189925,5.814336538314819
0.2964297121635797,0.0065424299974179935,0.3029721421609977,29,29,1.9716410636901855,0.8851488739589105,1715697376.7381642,5.833508253097534
0.3081734280176349,0.005798719891196491,0.31397214790883143,30,30,1.991096019744873,0.9299856585945333,1715697376.7575655,5.852909564971924
0.33757674360573847,0.005108455276342274,0.34268519888208077,31,31,2.0103976726531982,0.9621931915326185,1715697376.776855,5.872199058532715
0.3380462062066702,0.0041861050837012645,0.34223231129037146,32,32,2.029770851135254,0.9817316885505644,1715697376.7962964,5.8916404247283936
0.4035325260854476,0.003544287079251348,0.40707681316469896,33,33,2.049457550048828,0.9876455810021416,1715697376.8159778,5.9113218784332275
0.3715774085539431,0.002551770990082985,0.3741291795440261,34,34,2.069385051727295,0.9819670541960057,1715697376.835895,5.931239128112793
0.3418741607150476,0.002109662409702797,0.3439838231247504,35,35,2.08953595161438,0.9667234216707451,1715697376.8559105,5.951254606246948
0.3376771067733993,0.001743051308544469,0.33942015808194376,36,36,2.108802556991577,0.9432267178870326,1715697376.875234,5.970577955245972
0.3396035135213993,0.0017437261707232718,0.34134723969212255,37,37,2.1282315254211426,0.9121193526944644,1715697376.8944712,5.9898152351379395
0.32576505676824247,0.0022931503161713043,0.32805820708441374,38,38,2.1472887992858887,0.8749829110229733,1715697376.913691,6.009035110473633
0.3020907292262999,0.003137207129872819,0.30522793635617274,39,39,2.166465997695923,0.8328963053843494,1715697376.9329731,6.028317213058472
0.2782278863434358,0.005088651160944707,0.2833165375043805,40,40,2.18562388420105,0.7874818299013748,1715697376.952147,6.047491073608398
0.26172158819158836,0.010650110301041517,0.2723716984926299,42,41,2.2203476428985596,0.6958062196837153,1715697376.9867725,6.082116603851318
