loss,step,time,_timestamp,loss_boundary,loss_interior,l2_error,_runtime,_step
3.173703907627406,0,39.21650171279907,1715708919.2451446,3.1734512319644956,0.00025267566290999985,0.5672768663242331,43.5445876121521,0
0.4866407911507171,1,77.72423028945923,1715708957.3336656,0.4638367040174069,0.022804087133310242,0.5549700149367096,81.63310861587524,1
0.4605379544314837,2,116.02922797203064,1715708995.638457,0.4400467674478671,0.020491186983616624,0.5440671395644314,119.93790006637573,2
0.44131199635451,3,154.44199514389038,1715709034.0528948,0.4233356812249037,0.01797631512960627,0.5300806345549288,158.35233783721924,3
0.3985399519237231,4,192.83896231651306,1715709072.4481988,0.3822856106345771,0.016254341289145994,0.4432813053051235,196.7476418018341,4
0.1755418522133466,5,231.2755401134491,1715709110.884701,0.15022603820448183,0.025315814008864766,0.28733524612345834,235.18414402008057,5
0.057921228853851835,6,269.8783133029938,1715709149.487805,0.0470396712990166,0.010881557554835235,0.11974525178099073,273.78724789619446,6
0.013874829722376683,7,308.5264537334442,1715709188.135846,0.009628791795416536,0.004246037926960147,0.055023249058921864,312.4352889060974,7
0.0041511868768545805,8,347.08832263946533,1715709226.697847,0.003175437898370584,0.0009757489784839965,0.029736866040347962,350.99728989601135,8
0.0015631027024217705,9,385.3287901878357,1715709264.9383028,0.0012768969517269553,0.00028620575069481516,0.019904219986338473,389.23774576187134,9
0.0007583592048273063,10,423.6942181587219,1715709303.3037186,0.0006074690613327871,0.00015089014349451923,0.013247662376162412,427.60316157341003,10
0.0002014917302786114,11,462.0380382537842,1715709341.647505,0.00016932404637805005,3.216768390056136e-05,0.0028322208069363444,465.94694805145264,11
1.2788157440750212e-05,12,500.3450710773468,1715709379.9546266,8.601301064458807e-06,4.186856376291406e-06,0.002478470478347974,504.2540695667267,12
5.505293652408654e-06,13,538.3953521251678,1715709418.0047343,3.4964677865411797e-06,2.0088258658674747e-06,0.0016696956832589684,542.3041772842407,13
4.9362711056043065e-06,14,576.6376435756683,1715709456.2470365,3.2239353459967146e-06,1.712335759607592e-06,0.0014805176935464848,580.5464794635773,14
2.7087838273336277e-06,15,614.7401537895203,1715709494.3495789,1.4176514157482565e-06,1.2911324115853713e-06,0.0011132891314526313,618.6490218639374,15
2.399119020882701e-06,16,653.019956111908,1715709532.629403,1.0782807457710552e-06,1.3208382751116459e-06,0.001070069853632228,656.9288461208344,16
1.6374688245412346e-06,17,691.6493937969208,1715709571.2590353,9.504130741736372e-07,6.870557503675974e-07,0.0008922203837761694,695.5584783554077,17
1.288145318561745e-06,18,730.2804410457611,1715709609.8897016,7.364896037662773e-07,5.516557147954676e-07,0.0008695350825936735,734.1891446113586,18
1.0885768959606971e-06,19,768.792245388031,1715709648.4014306,6.522531402026729e-07,4.363237557580242e-07,0.0006906609642365826,772.7008736133575,19
8.749431259783926e-07,20,807.315530538559,1715709686.9248872,4.396789687650495e-07,4.3526415721334313e-07,0.0006481886600127896,811.2243301868439,20
7.394897561231406e-07,21,845.8456439971924,1715709725.4551988,3.940048075525073e-07,3.4548494857063333e-07,0.0005927121338877867,849.7546417713165,21
6.496411082139037e-07,22,884.2393145561218,1715709763.8487566,3.6453299971209173e-07,2.851081085018119e-07,0.000541941799798321,888.148199558258,22
5.992539786685884e-07,23,922.9572734832764,1715709802.5669618,2.382222424603069e-07,3.610317362082815e-07,0.000533178134967214,926.8664047718048,23
5.264781109175828e-07,24,961.5607342720032,1715709841.1702569,2.5699381485298986e-07,2.6948429606459295e-07,0.0004910948074895918,965.4696998596191,24
4.6788002552763246e-07,25,1000.1597220897675,1715709879.7690094,2.096614845345566e-07,2.5821854099307587e-07,0.0004599699994501435,1004.0684523582458,25
4.1619427323614316e-07,26,1038.4445261955261,1715709918.053688,2.1019271513522307e-07,2.0600155810092006e-07,0.0004708184964503399,1042.353131055832,26
3.7740545988555106e-07,27,1076.9960062503815,1715709956.60556,1.7572894748905704e-07,2.0167651239649402e-07,0.00040917540056578937,1080.9050030708313,27
3.4862622700901867e-07,28,1115.3209805488586,1715709994.9304569,1.8578161003302116e-07,1.6284461697599748e-07,0.0003943096137763516,1119.2298998832703,28
2.972663457096674e-07,29,1153.5395123958588,1715710033.1488483,1.3927950108613394e-07,1.5798684462353347e-07,0.000402424761393943,1157.4482913017273,29
2.9654654376244887e-07,30,1191.9744973182678,1715710071.5840573,1.3945510261190129e-07,1.570914411505476e-07,0.00037504223981724453,1195.8835003376007,30
2.5197020859115013e-07,31,1230.3529632091522,1715710109.9623365,1.2048911388382414e-07,1.3148109470732601e-07,0.0003593592642543401,1234.2617795467377,31
2.285375525432741e-07,32,1268.7097442150116,1715710148.3192055,1.1116435084871109e-07,1.1737320169456298e-07,0.0003302930206872579,1272.6186485290527,32
2.2730731923657594e-07,33,1307.1167628765106,1715710186.7260988,1.0022294721071131e-07,1.2708437202586463e-07,0.000350233423564973,1311.0255417823792,33
2.2564193479619623e-07,34,1345.4992554187775,1715710225.1086977,1.0257466331862203e-07,1.230672714775742e-07,0.0003099894259292379,1349.4081406593323,34
