_runtime,l2_error,loss_boundary,loss_interior,_timestamp,loss,time,step,_step
317.31689167022705,1.9925163118402374,3.1734512319644956,0.00025267566290999985,1715701110.6725647,3.173703907627406,313.15265369415283,0,0
628.018899679184,1.4891377495094533,3.0908181118603006,0.006663041236089792,1715701421.3745728,3.0974811530963904,624.252667427063,1,1
938.1734478473663,1.466503467440857,2.113454779092079,0.06893973733866858,1715701731.529121,2.1823945164307474,934.4075257778168,2,2
1248.7144510746002,1.4381626802814769,2.023636237269967,0.07508680033355936,1715702042.0701241,2.098723037603526,1244.9460303783417,3,3
1558.4598195552826,1.388814463071372,1.8578014612046037,0.07812955501001342,1715702351.8154926,1.935931016214617,1554.6935818195343,4,4
1868.3293778896332,1.2157862025924064,1.7143995022179952,0.06996123043511478,1715702661.685051,1.78436073265311,1864.5632033348083,5,5
2180.7080957889557,0.2808322676054177,1.186857693477294,0.09170533632376426,1715702974.0637689,1.2785630298010584,2176.941221475601,6,6
2496.102332830429,0.038211129288600244,0.09009114657795088,0.004897341788843938,1715703289.458006,0.09498848836679481,2492.3362288475037,7,7
2811.8470299243927,0.014063688968898926,0.0006461223502553053,0.00469266866489682,1715703605.202703,0.005338791015152126,2808.080711364746,8,8
3127.498501062393,0.001926947852698748,0.0001922265228019115,6.796299071361868e-05,1715703920.8541741,0.0002601895135155302,3123.732414960861,9,9
