_step,loss_boundary,time,_runtime,l2_error,loss,loss_interior,step,_timestamp
0,3.1734512319644956,1.6113390922546387,6.131789445877075,0.8330587009107862,3.173703907627406,0.00025267566290999985,0,1715703143.4958224
1,0.8419525224482591,2.695643424987793,6.695460796356201,0.7002155670917262,0.843595135556799,0.001642613108539912,1,1715703144.0594938
2,0.35964426865422183,3.227444887161255,7.228776216506958,0.7758727801690537,0.3599368361302022,0.00029256747598037873,2,1715703144.5928092
3,0.37376385479929514,3.695629119873047,7.695072412490845,0.5994504679245963,0.37432799746260964,0.000564142663314493,3,1715703145.0591054
4,0.2654399018464668,4.128309965133667,8.127793073654175,0.728918240747656,0.31923487021642594,0.05379496836995914,4,1715703145.491826
5,0.2874476206517637,4.56272029876709,8.562388181686401,0.646591737517882,0.31570661691691804,0.028258996265154313,5,1715703145.9264212
6,0.268677160270161,5.034935474395752,9.035416841506958,0.7556075313497042,0.29751661308046184,0.028839452810300873,6,1715703146.3994498
7,0.2443411747571888,5.539304733276367,9.539550542831421,0.6588783949953959,0.25118697449021266,0.006845799733023861,7,1715703146.9035835
8,0.21961267979673568,6.059393882751465,10.05977725982666,0.5454362623514505,0.23288433796501082,0.013271658168275142,8,1715703147.4238102
9,0.1799959039778925,6.487001895904541,10.486390829086304,0.6455052167980004,0.207129743581618,0.027133839603725517,9,1715703147.8504238
10,0.19411061146956649,6.8863794803619385,10.885501623153687,0.5861161806833737,0.20978056560364666,0.01566995413408019,10,1715703148.2495346
11,0.1619534996458694,7.282773733139038,11.281976461410522,0.6755207677999845,0.17896367626845994,0.017010176622590554,11,1715703148.6460094
12,0.194838135972323,7.68313455581665,11.683016300201416,0.5540456326538983,0.20436977701382386,0.009531641041500864,12,1715703149.0470493
13,0.17709580484074133,8.076815605163574,12.076023578643799,0.5880415412941423,0.19452849503085579,0.01743269019011446,13,1715703149.4400566
14,0.183200983688708,8.475212097167969,12.474366903305054,0.515204355881111,0.1969337590548458,0.013732775366137805,14,1715703149.8384
15,0.17209191257851872,8.87375545501709,12.872953176498413,0.5774214368669973,0.19450333570012335,0.022411423121604643,15,1715703150.2369862
16,0.17589543821386514,9.26795244216919,13.26712965965271,0.4974714916809445,0.18963245121891567,0.013737013005050524,16,1715703150.6311626
17,0.168619576877151,9.672412395477295,13.672257423400879,0.5708384850249995,0.1877497920755632,0.019130215198412178,17,1715703151.0362904
18,0.15340617112051166,10.068351030349731,14.067659854888916,0.5359425080556875,0.1648577792431629,0.011451608122651225,18,1715703151.4316928
19,0.1472118639808742,10.46381688117981,14.46298336982727,0.47731544412481003,0.15392935277487946,0.006717488794005246,19,1715703151.8270164
20,0.13521982030133847,10.857571125030518,14.856757879257202,0.5281434344031158,0.1500561912540901,0.014836370952751626,20,1715703152.2207909
21,0.14253596165944207,11.25279688835144,15.252006530761719,0.4833670705758876,0.15169279406800973,0.009156832408567666,21,1715703152.6160395
22,0.1389105732599136,11.645681381225586,15.64486026763916,0.5077983029775505,0.15105174292705068,0.012141169667137063,22,1715703153.0088933
23,0.14705282544725162,12.045272588729858,16.044841527938843,0.5488668101646298,0.15890564351101566,0.011852818063764028,23,1715703153.4088745
24,0.11808913205189137,12.448182582855225,16.44757103919983,0.48515525404253246,0.13571785752777887,0.01762872547588751,24,1715703153.811604
25,0.11693263727890627,12.842494010925293,16.841644525527954,0.44446691822193135,0.1361288796628637,0.019196242383957438,25,1715703154.2056775
26,0.11782097930138831,13.233807802200317,17.23297882080078,0.4911427312478252,0.1281229868197166,0.010302007518328288,26,1715703154.5970118
27,0.11382247987369826,13.631119966506958,17.630433320999146,0.46044422617134584,0.12680517875296202,0.012982698879263755,27,1715703154.9944663
28,0.10874395055767193,14.029950380325317,18.02909803390503,0.5058848653852973,0.12247390854144857,0.013729957983776643,28,1715703155.393131
29,0.11245277789501222,14.42485523223877,18.424078464508057,0.441611008873471,0.1244620160084902,0.012009238113477977,29,1715703155.7881114
30,0.10928766583532601,14.821402788162231,18.820561170578003,0.4612843907770222,0.12506646438160562,0.015778798546279615,30,1715703156.1845942
31,0.09925812841895157,15.216878652572632,19.216068506240845,0.45746873368004953,0.11301510121534494,0.013756972796393369,31,1715703156.5801015
32,0.10508883052420606,15.609215497970581,19.608790397644043,0.4170531622740721,0.11470032430683125,0.009611493782625189,32,1715703156.9728234
33,0.10675969396223611,16.00516414642334,20.004374027252197,0.4402011096566569,0.1210546482479205,0.014294954285684388,33,1715703157.368407
34,0.10795944407348088,16.396455764770508,20.39558744430542,0.39849679121937887,0.12173798825663183,0.013778544183150951,34,1715703157.7596204
35,0.09709400466871204,16.787123918533325,20.78629732131958,0.4441857987553138,0.11471755844258581,0.017623553773873767,35,1715703158.1503303
36,0.09425884287237793,17.179036378860474,21.178229808807373,0.43826120670303564,0.10687298926554861,0.012614146393170687,36,1715703158.5422628
37,0.09873397891431979,17.575615644454956,21.575077056884766,0.4121505481109981,0.116351184346503,0.01761720543218322,37,1715703158.93911
38,0.09301475397335637,17.97614359855652,21.975527048110962,0.44185875337383995,0.1079680741250228,0.014953320151666415,38,1715703159.33956
39,0.09884319082599384,18.366018295288086,22.36512589454651,0.39871341263037074,0.11232675632941391,0.01348356550342007,39,1715703159.7291589
40,0.09224582889392713,18.75927734375,22.758413076400757,0.38148603580624313,0.10737281664085312,0.015126987746925991,40,1715703160.122446
41,0.07520373778439678,19.543883085250854,23.54307794570923,0.396177444164372,0.09951606889759887,0.024312331113202097,42,1715703160.907111
42,0.06308036731462056,21.138404369354248,25.137784242630005,0.3246112483191517,0.0807172743440343,0.01763690702941374,46,1715703162.5018172
43,0.06953888959349425,22.701764583587646,26.70095205307007,0.31890399614430404,0.0828828480580312,0.01334395846453695,50,1715703164.064985
44,0.05165334552108088,24.649984121322632,28.64941143989563,0.3005353297350493,0.06653449349026685,0.014881147969185972,55,1715703166.0134444
45,0.04472507377816305,26.987080097198486,30.986352682113647,0.27875693148093617,0.058221327446849075,0.013496253668686025,61,1715703168.3503857
46,0.03771068913632266,29.333328247070312,33.332621574401855,0.26960405896371475,0.050191376733394175,0.012480687597071514,67,1715703170.6966546
47,0.03508010068124089,31.70168662071228,35.70112228393555,0.2537987892082106,0.04706041526387561,0.011980314582634719,73,1715703173.0651553
48,0.03127118207164072,34.83936285972595,38.83853816986084,0.24015908670332684,0.043316205555369906,0.012045023483729185,81,1715703176.2025712
49,0.03407069825227504,37.99122762680054,41.99045133590698,0.20266913095217515,0.04464994671386483,0.010579248461589794,89,1715703179.3544843
50,0.024660325990077753,41.53660774230957,45.53605508804321,0.19782699897086106,0.03393875915930762,0.00927843316922987,98,1715703182.900088
51,0.021649761665398608,45.151522397994995,49.15073370933533,0.17670419818574584,0.029429307780965242,0.0077795461155666336,107,1715703186.5147667
52,0.01946673177948605,49.53999900817871,53.53923225402832,0.17687572794147505,0.026505742853179273,0.007039011073693223,118,1715703190.9032652
53,0.01794727844525668,54.3079674243927,58.30754208564758,0.1698910960330723,0.024633085473454445,0.006685807028197766,130,1715703195.671575
54,0.017348338100580448,59.497556924819946,63.49682855606079,0.14419308158982513,0.022860930824013085,0.005512592723432636,143,1715703200.8608615
55,0.012598982171359392,64.94605422019958,68.94549107551575,0.13343517636602006,0.017763284409136302,0.005164302237776909,157,1715703206.309524
56,0.013532608993065633,70.80228352546692,74.80157423019409,0.1345474088254734,0.0182818571893606,0.004749248196294967,172,1715703212.1656072
57,0.012003421099561038,77.81406593322754,81.81350684165955,0.1279738627628064,0.016029278506221593,0.004025857406660554,190,1715703219.1775398
58,0.010676751640295258,84.82939982414246,88.82862377166748,0.12511758093686845,0.014471299698659191,0.003794548058363933,208,1715703226.1926568
59,0.0096799526113415,93.00645971298218,97.00585222244263,0.12194884735311694,0.013249978827699646,0.0035700262163581454,229,1715703234.3698852
60,0.009318925913007372,102.05530118942261,106.05462169647217,0.11071422749065225,0.01258361743234826,0.003264691519340888,252,1715703243.4186547
61,0.00846355708351798,111.92989134788513,115.92943668365479,0.10796833579397962,0.01180740816561954,0.0033438510821015605,277,1715703253.2934697
62,0.007145241984565921,122.85613560676575,126.85535073280334,0.09870459113085697,0.010081629359409403,0.002936387374843483,305,1715703264.2193837
63,0.007765029687416496,134.55439257621765,138.55388569831848,0.10063505599317138,0.010521474778828765,0.0027564450914122694,335,1715703275.9179187
64,0.006967900894215548,147.79882621765137,151.79836773872375,0.09269521690227232,0.009730881717891882,0.002762980823676334,369,1715703289.1624007
65,0.006050159501084794,162.36046266555786,166.35974431037903,0.08933185014048257,0.00872870397211888,0.002678544471034085,406,1715703303.7237773
66,0.006545566799108714,177.94143867492676,181.9409008026123,0.08495730345666422,0.008949474698692235,0.0024039078995835217,446,1715703319.3049338
67,0.006033537660554578,195.4484875202179,199.44787049293518,0.08250012501494117,0.008314577702814702,0.002281040042260125,491,1715703336.8119035
68,0.005512863659586662,214.68536496162415,218.68456864356995,0.07577360203397543,0.007629053188928533,0.0021161895293418708,540,1715703356.0486016
69,0.004496544662589369,235.84574365615845,239.8452968597412,0.07137804906477821,0.006663758140779618,0.0021672134781902485,594,1715703377.2093298
70,0.004306182773484633,258.82182931900024,262.8210439682007,0.07271372178510326,0.006253090566170668,0.0019469077926860354,653,1715703400.185077
71,0.004035669344532385,284.2386577129364,288.2381227016449,0.06835513079324561,0.0059336105519856895,0.001897941207453305,718,1715703425.6021557
