_step,_timestamp,loss_interior,time,step,l2_error,loss_boundary,loss,_runtime
0,1715701412.3232763,0.00025267566290999985,1.3064935207366943,0,0.6041145206636918,3.1734512319644956,3.173703907627406,5.401796340942383
1,1715701412.650062,0.013047937595326764,1.8892712593078613,1,0.5782577043765472,0.22763569431166134,0.2406836319069881,5.728582143783569
2,1715701413.0092738,0.016548896383949997,2.248152017593384,2,0.3939705400828776,0.17576477984198846,0.19231367622593845,6.087793827056885
3,1715701413.4266968,0.013062950793542498,2.6655335426330566,3,0.3248133833096098,0.10932091970220278,0.12238387049574528,6.505216836929321
4,1715701413.8845668,0.01560699506046376,3.123565196990967,4,0.18823389385230022,0.06008802157153168,0.07569501663199545,6.963086843490601
5,1715701414.41088,0.009657533424490213,3.649956464767456,5,0.16637250464740425,0.03271421002734778,0.04237174345183799,7.489400148391724
6,1715701414.9808528,0.008985554593965375,4.219851970672607,6,0.13628461129167885,0.018958072968259385,0.02794362756222476,8.059372901916504
7,1715701415.6183183,0.0029485247268930524,4.857146739959717,7,0.1055101347694855,0.014554227619538026,0.017502752346431078,8.69683837890625
8,1715701416.2952385,0.0037416098726835967,5.534109592437744,8,0.08320613045971213,0.007846918613473405,0.011588528486157003,9.373758554458618
9,1715701417.0233243,0.0024150432662643885,6.260885000228882,9,0.06009122832122896,0.004688205841467645,0.007103249107732033,10.101844310760498
10,1715701417.7026238,0.0017653292583298071,6.941418170928955,10,0.0435033181343335,0.0026366626765129625,0.00440199193484277,10.7811439037323
11,1715701418.397796,0.0011200961759029412,7.636547803878784,11,0.031239628133375025,0.0015102133233798646,0.002630309499282806,11.476315975189209
12,1715701419.094115,0.0004963633766272804,8.332915782928467,12,0.028568434768905675,0.0009859280135812078,0.001482291390208488,12.172635078430176
13,1715701419.8105967,0.00036529566961513175,9.049337148666382,13,0.025003291879839993,0.0007472410425135415,0.0011125367121286732,12.889116764068604
14,1715701420.5068977,0.0003017376622541801,9.745586156845093,14,0.02294061603990634,0.0007256112572994516,0.0010273489195536318,13.585417747497559
15,1715701421.2135007,0.0002628709041058195,10.452220439910889,15,0.02089287587631131,0.0004677550456698132,0.0007306259497756326,14.292020797729492
16,1715701421.956951,0.00021028093677895484,11.19548225402832,16,0.020678724699014262,0.000406331655072807,0.0006166125918517618,15.035470962524414
17,1715701422.6522155,0.00019741925622214344,11.89090895652771,17,0.020609097173994013,0.00038000147805716746,0.0005774207342793109,15.730735540390015
18,1715701423.4291458,0.00016279919538468674,12.667783975601196,18,0.01821177750980404,0.0003525579550733896,0.0005153571504580764,16.507665872573853
19,1715701424.233975,0.00015361418907765227,13.472710609436035,19,0.01771477027420214,0.00036414995674385024,0.0005177641458215025,17.31249499320984
20,1715701424.9898005,0.0001508775172721628,14.228535652160645,20,0.018207369806646417,0.00032027978275387504,0.0004711573000260378,18.068320512771606
21,1715701425.7291496,0.000128125098114545,14.966338157653809,21,0.018494696623864725,0.000290030070775424,0.000418155168889969,18.807669639587402
22,1715701426.550295,0.00011717167013695785,15.789010286331177,22,0.018853976629455056,0.0003170621004879003,0.00043423377062485816,19.628815174102783
23,1715701427.3941627,0.0001194072326433723,16.63286519050598,23,0.017947869039307014,0.00028604717862020114,0.00040545441126357346,20.47268271446228
24,1715701428.108388,0.00010261774642243589,17.347136735916138,24,0.017228057155436738,0.0002955867841333827,0.0003982045305558186,21.18690800666809
25,1715701428.8082628,0.00010162858940530002,18.047017335891724,25,0.01825887824503727,0.00024229980874907958,0.0003439283981543796,21.88678288459778
26,1715701429.5037882,8.522914943225949e-05,18.742534399032593,26,0.01715112493590873,0.00023028064661849437,0.00031550979605075386,22.582308292388916
27,1715701430.2089498,9.296636002056256e-05,19.447681188583374,27,0.015780966127623225,0.00021406213354926084,0.0003070284935698234,23.2874698638916
28,1715701431.0205827,9.355880730155841e-05,20.259252309799194,28,0.01659054158465016,0.000227863009941577,0.00032142181724313537,24.09910273551941
29,1715701431.826817,8.949262233340103e-05,21.065528392791748,29,0.016541531174085855,0.00019130208097724067,0.0002807947033106417,24.90533709526062
30,1715701432.6411502,8.473643689073237e-05,21.87984299659729,30,0.015313884711997924,0.00020089465703544663,0.000285631093926179,25.719670295715332
31,1715701433.4574976,8.508801284449239e-05,22.696200609207153,31,0.015531634888565285,0.00020780057233055885,0.00029288858517505126,26.536017656326294
32,1715701434.2068903,8.657331069531717e-05,23.44561195373535,32,0.01663503854061669,0.00018650073753519736,0.0002730740482305145,27.285410404205322
33,1715701434.9109018,8.091874587384758e-05,24.14948296546936,33,0.015569915699598652,0.000212232804913292,0.0002931515507871396,27.989421844482422
34,1715701435.6086986,7.526276795185314e-05,24.84743857383728,34,0.014376913421403166,0.00017795823520587366,0.00025322100315772677,28.68721866607666
35,1715701436.3806968,8.123874494484803e-05,25.619454622268677,35,0.014338111624978946,0.00016586702169597313,0.00024710576664082115,29.459216833114624
36,1715701437.0964193,7.708835338702569e-05,26.334956884384155,36,0.013937519380458263,0.00013359716958366772,0.0002106855229706934,30.174939393997192
37,1715701437.8457828,7.323335562191914e-05,27.084461212158203,37,0.01320464071088885,0.00015868154047726313,0.00023191489609918227,30.92430281639099
