loss,_step,step,time,_timestamp,loss_interior,_runtime,l2_error,loss_boundary
2.8637204027634726,0,0,1.9575467109680176,1716353470.5221276,0.00010424341498120131,6.033950567245483,0.6074036747314109,2.8636161593484912
0.38341533546454737,1,1,2.758307456970215,1716353471.0290716,0.004161520157359588,6.540894508361816,0.7089212659259558,0.37925381530718777
0.30655995283094556,2,2,3.2669270038604736,1716353471.537108,0.0026946792377174956,7.048930883407593,0.7257470352012491,0.30386527359322807
0.27117918375114447,3,3,3.7684004306793213,1716353472.0385237,0.019425030359439016,7.550346612930298,0.6485106910461482,0.2517541533917055
0.2596758623217275,4,4,4.269768238067627,1716353472.5398188,0.020408732137702567,8.051641702651978,0.5433272005457562,0.23926713018402493
0.24825909050382672,5,5,4.771459579467773,1716353473.0415714,0.012506067021679071,8.553394317626953,0.6581728272486703,0.23575302348214763
0.23144616229251017,6,6,5.272691011428833,1716353473.5427294,0.01235672782597872,9.05455231666565,0.5367622049444734,0.21908943446653145
0.22231034389215426,7,7,5.773699045181274,1716353474.043769,0.021000324125075378,9.555591821670532,0.6139447688811915,0.20131001976707888
0.21249856433722955,8,8,6.27672004699707,1716353474.5468457,0.014417478525295707,10.058668613433838,0.5023167391752098,0.19808108581193384
0.19776676464425025,9,9,6.7788145542144775,1716353475.0491104,0.01821986212921052,10.560933351516724,0.5988097271846169,0.17954690251503974
0.18879611710284291,10,10,7.280567169189453,1716353475.5505967,0.011054456515163862,11.062419652938843,0.5155788556021225,0.17774166058767904
0.18362960713438428,11,11,7.781578540802002,1716353476.0516875,0.020209913796460647,11.563510417938232,0.5794115329569762,0.16341969333792364
0.1793285599722956,12,12,8.282703876495361,1716353476.5527585,0.010201842523937825,12.064581394195557,0.517602713251102,0.16912671744835778
0.1762170596057879,13,13,8.78766393661499,1716353477.0577745,0.020647607014388912,12.569597482681274,0.5733040551245592,0.15556945259139898
0.1734586030032067,14,14,9.28924012184143,1716353477.5593245,0.008878549950640083,13.071147441864014,0.5388591419183087,0.16458005305256662
0.17136861038426474,15,15,9.79397177696228,1716353478.0642495,0.015485042529469945,13.576072454452515,0.570664848241074,0.1558835678547948
0.16933387527238433,16,16,10.296947479248047,1716353478.5670702,0.007570521656912239,14.078893184661865,0.5485872819004609,0.1617633536154721
0.1675424586333565,17,17,10.799276113510132,1716353479.0696628,0.011742159710452027,14.581485748291016,0.5112189263742135,0.15580029892290448
0.16370459494272455,18,18,11.301344156265259,1716353479.571494,0.01954598245775933,15.083317041397095,0.5368434611650972,0.14415861248496523
0.1614412567249874,19,19,11.803892135620117,1716353480.0741177,0.011436822147296319,15.585940599441528,0.5446182081751468,0.15000443457769108
0.15611267770454967,20,20,12.306376218795776,1716353480.5767725,0.008893229660749999,16.088595390319824,0.515250589920312,0.1472194480437997
0.15461844775849473,21,21,12.80983829498291,1716353481.080074,0.013741637144844365,16.591897010803223,0.5345786201133684,0.14087681061365037
0.15312960938215947,22,22,13.315658330917358,1716353481.5858853,0.007770288479232138,17.097708225250244,0.5094336143571597,0.14535932090292733
0.15160662493090585,23,23,13.81989336013794,1716353482.0901322,0.014098959804102012,17.60195517539978,0.5320683000075417,0.13750766512680385
0.1501125793385201,24,24,14.325847148895264,1716353482.5963264,0.00673461834915052,18.10814929008484,0.4989413030967462,0.14337796098936958
0.14865433345811316,25,25,14.840555906295776,1716353483.1108487,0.01549880015713869,18.622671604156494,0.5158624184955594,0.13315553330097446
0.14692909037260632,26,26,15.34687066078186,1716353483.6172037,0.009198219315978234,19.129026651382446,0.4876396090546117,0.1377308710566281
0.13993806794406197,27,27,15.859744548797607,1716353484.130099,0.013433072907307431,19.641921997070312,0.5018950184476424,0.12650499503675453
0.13846287161349818,28,28,16.36353302001953,1716353484.633818,0.008107323653653494,20.14564085006714,0.44914243318661584,0.1303555479598447
0.1337791491488591,29,29,16.867748737335205,1716353485.1380596,0.021175084403420547,20.649882555007935,0.4714255645143311,0.11260406474543856
0.1297983861535859,30,30,17.374247312545776,1716353485.6446164,0.011188171484971927,21.156439304351807,0.4837961583438847,0.11861021466861398
0.1286163211076185,31,31,17.878689289093018,1716353486.149033,0.006986066266892127,21.660856008529663,0.46093109595522386,0.12163025484072637
0.1266390011986419,32,32,18.383220434188843,1716353486.653583,0.012594035424091696,22.165405988693237,0.47586940229382757,0.11404496577455023
0.12504795764944704,33,33,18.88947105407715,1716353487.1598518,0.00701657511597057,22.671674728393555,0.4527048019678985,0.11803138253347648
0.1229081118011237,34,34,19.394186973571777,1716353487.6645563,0.01247629476543922,23.176379203796387,0.46801443595005915,0.11043181703568447
0.12128037849734068,35,35,19.90196943283081,1716353488.17236,0.006776473230122605,23.68418288230896,0.440405565377032,0.11450390526721807
0.1192654857320549,36,36,20.405821800231934,1716353488.6762075,0.013718136346233959,24.1880304813385,0.46184434244823835,0.10554734938582093
0.1174466065041768,37,37,20.909080266952515,1716353489.1794107,0.0060422642784814275,24.69123363494873,0.4415079265949515,0.11140434222569538
0.11570862275527431,38,38,21.415475368499756,1716353489.6858675,0.010775125931187502,25.19769048690796,0.45603289872896724,0.10493349682408681
0.11359085314165716,39,39,21.919734954833984,1716353490.1901078,0.005241204510879064,25.70193076133728,0.4241042955867058,0.1083496486307781
0.11172197963010322,40,40,22.423629760742188,1716353490.6939929,0.01322349519660233,26.20581579208374,0.4433733162714492,0.09849848443350089
0.1080417604970452,41,42,23.411313772201538,1716353491.6817608,0.01175766523080091,27.193583726882935,0.43216186264634754,0.09628409526624429
