_step,_runtime,loss,step,l2_error,loss_boundary,loss_interior,time,_timestamp
0,5.473885536193848,2.8509263641541267,0,0.5904761291776428,2.850821717436312,0.00010464671781471396,1.5409538745880127,1716274131.6714425
1,5.9626617431640625,0.21617817961914398,1,0.483881182962151,0.19733456978036518,0.0188436098387788,2.277631998062134,1716274132.1602187
2,6.502462148666382,0.1435677343169934,2,0.3488481357039298,0.13940850232541874,0.004159231991574656,2.8172144889831543,1716274132.7000191
3,7.085968255996704,0.0867008411233407,3,0.2095035090662859,0.06456352597121916,0.022137315152121546,3.4008827209472656,1716274133.2835252
4,7.6872334480285645,0.0408610786647324,4,0.15726644635112327,0.030375833613734277,0.010485245050998123,4.002342224121094,1716274133.8847904
5,8.350191831588745,0.024542402804891568,5,0.12705172610711066,0.015982253923272086,0.00856014888161948,4.6650776863098145,1716274134.5477488
6,9.08258581161499,0.015162527502039887,6,0.09335277734282371,0.011345498536587308,0.003817028965452579,5.397352695465088,1716274135.2801428
7,9.821176290512085,0.010220685556045852,7,0.06094377581467741,0.006650723771622,0.0035699617844238522,6.1358561515808105,1716274136.0187333
8,10.56269907951355,0.006045194128008474,8,0.04955532609073714,0.0029087346053430522,0.0031364595226654212,6.876118183135986,1716274136.760256
9,11.341833353042603,0.003161030628963556,9,0.038875452021350586,0.0019551416621376464,0.0012058889668259097,7.656428337097168,1716274137.5393903
10,12.169174194335938,0.0021620752241987215,10,0.030697207585988023,0.001280820510379935,0.0008812547138187863,8.483798503875732,1716274138.3667312
11,13.091003656387329,0.0015304167212018419,11,0.025865809646012553,0.0008788974319647715,0.0006515192892370703,9.405606031417847,1716274139.2885606
12,14.071072578430176,0.0010125586816262515,12,0.021156293305083507,0.0006265540974026727,0.0003860045842235788,10.385615825653076,1716274140.2686296
13,15.088316917419434,0.0007354700405165814,13,0.01853542777378719,0.00044224930120381685,0.00029322073931276456,11.402857303619385,1716274141.285874
14,16.10583472251892,0.0005965783051741413,14,0.017445219293968847,0.0003413443304773191,0.00025523397469682217,12.420080184936523,1716274142.3033917
15,17.2151038646698,0.00044205539657710016,15,0.0159440076099411,0.000269846342875142,0.00017220905370195815,13.529435157775879,1716274143.4126608
16,18.349167346954346,0.0003325796559345162,16,0.014648875420171032,0.0002075239711818336,0.0001250556847526826,14.663519620895386,1716274144.5467243
17,19.46829104423523,0.0002762198927602641,17,0.013857806833987808,0.00017165795535965708,0.00010456193740060705,15.782643795013428,1716274145.665848
18,20.621036767959595,0.00021415705938764517,18,0.01277356354368265,0.00012876642386910357,8.539063551854161e-05,16.935425519943237,1716274146.8185937
19,21.792218685150146,0.0001785799660320799,19,0.010941083586925733,0.00010436994457068124,7.421002146139868e-05,18.10656452178955,1716274147.9897757
20,23.010589122772217,0.00012425190141484774,20,0.00978780293474198,7.647213160021598e-05,4.777976981463176e-05,19.324950456619263,1716274149.208146
21,24.2583487033844,0.00010518822110403577,21,0.008945738584818171,6.660377423314142e-05,3.858444687089434e-05,20.572726249694824,1716274150.4559057
22,25.617326259613037,8.687654847307237e-05,22,0.008478201462356975,5.693533398795794e-05,2.9941214485114426e-05,21.931699991226196,1716274151.8148832
23,27.037482261657715,7.856839703110752e-05,23,0.008003427966173505,5.143013835037594e-05,2.7138258680731573e-05,23.35185170173645,1716274153.2350392
24,28.48036479949951,7.024012568756469e-05,24,0.007438690537888966,4.5259275527553614e-05,2.4980850160011076e-05,24.79463291168213,1716274154.6779218
25,29.90920639038086,6.289982400217646e-05,25,0.00727867974133271,4.082880525223654e-05,2.2071018749939927e-05,26.22333836555481,1716274156.1067634
26,31.33858871459961,5.860980435282067e-05,26,0.006790542135301168,3.8352671779968053e-05,2.025713257285262e-05,27.65279984474182,1716274157.5361457
27,32.77237892150879,5.189552169263259e-05,27,0.006320685565382431,3.345364225677062e-05,1.844187943586197e-05,29.08378028869629,1716274158.969936
28,34.15796947479248,4.862924267550561e-05,28,0.005982911886714779,3.006842819229454e-05,1.8560814483211068e-05,30.472302436828613,1716274160.3555264
29,35.58847951889038,4.5002840183878254e-05,29,0.005919975453221859,2.7280563731962854e-05,1.7722276451915404e-05,31.902819395065308,1716274161.7860365
30,37.017348289489746,4.311125045865749e-05,30,0.005741371620701033,2.6484053526423436e-05,1.6627196932234058e-05,33.331661224365234,1716274163.2149053
31,38.449819564819336,4.010516685399935e-05,31,0.0055113751596433495,2.4427115685159384e-05,1.5678051168839963e-05,34.76412773132324,1716274164.6473765
32,39.876848220825195,3.830977331393435e-05,32,0.005216474258554638,2.2532413345607393e-05,1.577735996832695e-05,36.19117069244385,1716274166.0744052
33,41.3069429397583,3.594546826819316e-05,33,0.005170797677493132,2.0456171116024282e-05,1.5489297152168875e-05,37.62120223045349,1716274167.5045
34,42.71950316429138,3.471647435003046e-05,34,0.005130629891562005,1.9829288690945043e-05,1.4887185659085416e-05,39.03376030921936,1716274168.9170601
35,44.08451437950134,3.294346537988541e-05,35,0.005062410968605945,1.930905516078792e-05,1.3634410219097496e-05,40.398730754852295,1716274170.2820714
36,45.43687701225281,3.1652387733143194e-05,36,0.005051679540993082,1.8989814427512793e-05,1.26625733056304e-05,41.75119686126709,1716274171.634434
37,46.78432607650757,3.081204776518567e-05,37,0.0050801371073458425,1.859020015180343e-05,1.2221847613382238e-05,43.09841585159302,1716274172.981883
38,48.13424730300903,2.957184397705001e-05,38,0.004999771904304798,1.8355970084996676e-05,1.1215873892053333e-05,44.44848132133484,1716274174.3318043
39,49.55410027503967,2.823259098422982e-05,39,0.004923439886007183,1.8065457652928464e-05,1.0167133331301355e-05,45.86837100982666,1716274175.7516572
