loss_boundary,step,loss_interior,l2_error,_timestamp,loss,time,_step,_runtime
2.8631181534892796,0,0.00010188210016203616,1.099492024349475,1716481832.4682717,2.8632200355894417,3.6723873615264893,0,7.875980615615845
0.5138161791891429,1,1.8294302248909438,0.6300712747620921,1716481838.070027,2.3432464040800864,9.55655550956726,1,13.477735996246338
0.2219279560857295,2,0.9298341381525724,0.7326821267605693,1716481842.9524422,1.151762094238302,14.43936562538147,2,18.360151052474976
0.37296294619159964,3,0.4380963764099732,0.7254110405126447,1716481846.328986,0.8110593226015728,17.816236972808838,3,21.736694812774658
0.35111232611940874,4,0.16157797534973237,0.4262810234874513,1716481866.3848908,0.5126903014691411,37.87183737754822,4,41.79259967803955
0.17486079211143457,5,0.049880290912057375,0.6105440011504623,1716481871.5629728,0.22474108302349194,43.048715114593506,5,46.97068166732788
0.13400630058046092,6,0.0734812672347701,0.263424237121154,1716481878.4056969,0.20748756781523103,49.892645597457886,6,53.81340575218201
0.028288791174177413,7,0.012012258387587653,0.12967417168786202,1716481882.818399,0.040301049561765064,54.305450677871704,7,58.22610783576965
0.008189715014835666,8,0.004375502682607902,0.05432979797421976,1716481903.5289397,0.012565217697443568,75.0160460472107,8,78.93664860725403
0.0016426084892787523,9,0.0010770879627341762,0.028501875050985732,1716481911.4780235,0.0027196964520129286,82.9650764465332,9,86.88573241233826
0.0007356286748487446,10,0.0008214470865443879,0.025754020350140544,1716481919.982687,0.0015570757613931323,91.46982932090759,10,95.39039587974548
0.0003359526810998356,11,7.81562842620321e-05,0.0071845197859774735,1716481933.897832,0.0004141089653618677,105.38504648208618,11,109.3055408000946
4.20024748254686e-05,12,0.00031055410118774714,0.004729516542069663,1716481940.1853886,0.0003525565760132157,111.67239284515381,12,115.593097448349
1.9116836058321063e-05,13,0.00010858157740040453,0.005920846515524624,1716481953.7309735,0.0001276984134587256,125.21825313568115,13,129.13868236541748
1.7594127875166183e-05,14,1.119819094419095e-05,0.0061508531006504805,1716481965.292554,2.8792318819357133e-05,136.779616355896,14,140.70026278495789
1.843250700170374e-05,15,8.761462829040541e-06,0.00373941926060925,1716481975.7463593,2.7193969830744283e-05,147.23358273506165,15,151.15406823158264
7.213109814624856e-06,16,5.775031446767298e-06,0.0026773856300446206,1716481992.154877,1.2988141261392154e-05,163.64195561408997,16,167.56258583068848
4.26273044436952e-06,17,4.134024278105953e-06,0.0021542627826189567,1716482006.6191046,8.396754722475473e-06,178.10641741752625,17,182.02681350708008
3.1398363566821543e-06,18,3.2815694172510614e-06,0.0018416629229057546,1716482023.1651733,6.421405773933216e-06,194.65223097801208,18,198.57288217544556
2.4789319412286526e-06,19,2.77175345883591e-06,0.00161150772010877,1716482040.0970666,5.2506854000645625e-06,211.58415365219116,19,215.5047755241394
1.993594849379797e-06,20,2.4293645653248914e-06,0.0014326278156253716,1716482056.223277,4.422959414704688e-06,227.7105312347412,20,231.6309859752655
1.6468250759815353e-06,21,2.139871901462421e-06,0.0013017486258569382,1716482073.8754034,3.7866969774439563e-06,245.36265897750854,21,249.28311228752136
1.403176741927864e-06,22,1.9167915283592912e-06,0.0012117490329924083,1716482088.6438653,3.319968270287155e-06,260.1309790611267,22,264.0515742301941
1.2267416818809763e-06,23,1.7437677771431973e-06,0.001141827975728682,1716482103.4082847,2.9705094590241738e-06,274.8956377506256,23,278.8159935474396
1.0938093540817006e-06,24,1.602515127156174e-06,0.0010822301231970758,1716482117.753789,2.696324481237875e-06,289.24104595184326,24,293.1614978313446
9.88555115099916e-07,25,1.4864145955222843e-06,0.0010330311985962837,1716482132.100139,2.4749697106222004e-06,303.5872025489807,25,307.5078477859497
9.046954736730541e-07,26,1.3884279663922564e-06,0.0009930827621149369,1716482148.5245268,2.2931234400653105e-06,320.01185750961304,26,323.93223571777344
8.3676231031333e-07,27,1.3050190697189216e-06,0.0009599635043681001,1716482165.0904295,2.141781380032252e-06,336.57774329185486,27,340.4981384277344
7.802327914023439e-07,28,1.2331627091444342e-06,0.0009311380639154099,1716482179.8317912,2.0133955005467782e-06,351.3188202381134,28,355.23950004577637
7.320262018567166e-07,29,1.170503075305945e-06,0.0009056950353489982,1716482195.4090483,1.9025292771626615e-06,366.89637780189514,29,370.81675720214844
6.904477524925827e-07,30,1.1151374843242416e-06,0.0008831208052810392,1716482211.543887,1.8055852368168243e-06,383.03120398521423,30,386.95159578323364
6.549519576000399e-07,31,1.0651758478536056e-06,0.0008622790902592901,1716482227.2585015,1.7201278054536457e-06,398.7455816268921,31,402.6662104129791
6.232906652686884e-07,32,1.0202473901294425e-06,0.0008430426122727429,1716482241.858495,1.643538055398131e-06,413.34577655792236,32,417.26620388031006
5.949125058837191e-07,33,9.79398621137687e-07,0.0008255294653422877,1716482256.7349262,1.574311127021406e-06,428.2222521305084,33,432.1426351070404
5.692982473262229e-07,34,9.420998308152113e-07,0.0008090741912243848,1716482273.4147673,1.5113980781414342e-06,444.90205335617065,34,448.82247614860535
5.460678294044397e-07,35,9.078431907970539e-07,0.0007939265619501247,1716482288.5732756,1.4539110202014936e-06,460.06033301353455,35,463.9809844493866
5.24905084421449e-07,36,8.762680930777881e-07,0.0007796979685978674,1716482303.455601,1.4011731774992372e-06,474.9429190158844,36,478.8633098602295
5.055235389390058e-07,37,8.470614274188784e-07,0.0007663575024901774,1716482320.5590425,1.3525849663578842e-06,492.0461332798004,37,495.9667513370514
4.876814834451556e-07,38,8.199588223815311e-07,0.0007537843342949738,1716482337.803026,1.3076403058266868e-06,509.2900149822235,38,513.2107348442078
