loss_interior,step,time,_runtime,_timestamp,l2_error,loss_boundary,loss,_step
0.00010295192607015082,0,1.114696979522705,5.139371633529663,1716289424.3980756,1.809207991967128,2.850249881692749,2.850352833618819,0
0.00038979862544181846,1,1.441497564315796,5.192481756210327,1716289424.4511857,1.7213643845902804,2.64858450641733,2.648974305042772,1
0.0008803850211838781,2,1.4937734603881836,5.2431721687316895,1716289424.501876,1.6324282984449319,2.4541546256535276,2.4550350106747114,2
0.0015503038197469,3,1.5428335666656494,5.294617414474487,1716289424.5533214,1.5411702764761066,2.2642161393214946,2.2657664431412416,3
0.0024040995026879774,4,1.593196153640747,5.3427205085754395,1716289424.6014245,1.4465786598014982,2.07665082966055,2.079054929163238,4
0.003465107407530567,5,1.6425409317016602,5.391169548034668,1716289424.6498735,1.3479805657500836,1.8901588178542759,1.8936239252618063,5
0.0047614902998870876,6,1.6910655498504639,5.439770460128784,1716289424.6984744,1.2451322541247516,1.7043252708407057,1.7090867611405929,6
0.006314792267157218,7,1.7401041984558105,5.482477188110352,1716289424.7411811,1.1383479351257269,1.519619087624026,1.5259338798911832,7
0.008128359402817042,8,1.782348394393921,5.526482343673706,1716289424.7851863,1.0287108546338946,1.3373748910471384,1.3455032504499553,8
0.010179482271977918,9,1.826671838760376,5.56899356842041,1716289424.8276975,0.9184058360201619,1.1597697723867746,1.1699492546587524,9
0.012411834815526478,10,1.8707234859466553,5.612815856933594,1716289424.8715198,0.8112282963120556,0.9897366490463774,1.002148483861904,10
0.014730203811564889,11,1.9125328063964844,5.655584335327148,1716289424.9142883,0.7132969820696308,0.8307918533270185,0.8455220571385834,11
0.0170038994274766,12,1.9543812274932861,5.698195219039917,1716289424.9568992,0.6337149239723744,0.6867746069902074,0.703778506417684,12
0.019072872290319606,13,1.9991347789764404,5.741482257843018,1716289425.0001862,0.5839073928812836,0.5615010321895721,0.5805739044798918,13
0.020756119126399318,14,2.0366404056549072,5.781238555908203,1716289425.0399425,0.5733256059829865,0.4583275439402907,0.47908366306669,14
0.021866928620665558,15,2.080543041229248,5.823618173599243,1716289425.0823221,0.6025706088816118,0.37964147274421856,0.40150840136488414,15
0.022236460781035597,16,2.1230056285858154,5.866628646850586,1716289425.1253326,0.6617771130362248,0.3263327402776415,0.34856920105867706,16
0.021743890841898365,17,2.1658871173858643,5.910139322280884,1716289425.1688433,0.7365340969146881,0.2973388308677272,0.3190827217096256,17
0.020348256149061703,18,2.2115261554718018,5.95415186882019,1716289425.2128558,0.8136369919297024,0.2894015386675739,0.3097497948166356,18
0.018114571744365666,19,2.2529032230377197,5.996750593185425,1716289425.2554545,0.8831119332373073,0.2972143822710337,0.31532895401539934,19
0.015223207947619291,20,2.2964491844177246,6.04089617729187,1716289425.2996001,0.9382892498638163,0.3141067995333897,0.329330007481009,20
0.011953561671089196,21,2.3404428958892822,6.084302186965942,1716289425.3430061,0.9754007674839983,0.33319581331270093,0.3451493749837901,21
0.0086506614093953,22,2.38240647315979,6.126308441162109,1716289425.3850124,0.9930509639239892,0.348634673946126,0.3572853353555213,22
0.005691779970648405,23,2.4252312183380127,6.169255495071411,1716289425.4279594,0.9916189060362665,0.3564952136444081,0.3621869936150565,23
0.0034625567111987313,24,2.4684810638427734,6.212724447250366,1716289425.4714284,0.9726949268472765,0.35504097805500306,0.3585035347662018,24
0.0023402610327917014,25,2.5123705863952637,6.256193399429321,1716289425.5148973,0.9386468022914479,0.34447803659791154,0.34681829763070326,25
0.0026739647642744415,26,2.5561599731445312,6.299836158752441,1716289425.55854,0.8923384862474317,0.3264326618160807,0.32910662658035517,26
0.0047513086874427304,27,2.59869647026062,6.343229293823242,1716289425.6019332,0.8369688678697493,0.3033705718913759,0.3081218805788186,27
0.008747016474604479,28,2.6439523696899414,6.386611223220825,1716289425.6453152,0.7759764301678791,0.2780720989322251,0.2868191154068296,28
0.014656839803528313,29,2.680516004562378,6.427060842514038,1716289425.6857648,0.7129519987715628,0.25320268775648136,0.2678595275600097,29
0.02223140146641993,30,2.727022409439087,6.470940828323364,1716289425.7296448,0.6515021773687234,0.2309853494929465,0.2532167509593664,30
0.030935957484235832,31,2.766240119934082,6.511668920516968,1716289425.7703729,0.5950125813534114,0.21297620997237718,0.243912167456613,31
0.03996910426296953,32,2.8110392093658447,6.555235147476196,1716289425.813939,0.5462936480553536,0.19994925806611272,0.23991836232908226,32
0.04836508825662906,33,2.8590645790100098,6.602905035018921,1716289425.861609,0.5071774692530473,0.1918999727581512,0.24026506101478026,33
0.05517140236799575,34,2.902566432952881,6.646750211715698,1716289425.9054542,0.4782459562900281,0.1881706151711669,0.24334201753916265,34
0.05964740332738717,35,2.9470574855804443,6.689748764038086,1716289425.9484527,0.4588909787569287,0.18767679852942482,0.24732420185681198,35
0.06140788247652365,36,2.9895706176757812,6.733224391937256,1716289425.9919283,0.44773745690437894,0.18918254068731902,0.25059042316384267,36
0.060462573199640636,37,3.031712770462036,6.776400089263916,1716289426.035104,0.44321717352953227,0.19155276636433632,0.252015339563977,37
0.05715613084362316,38,3.077293634414673,6.819907188415527,1716289426.0786111,0.4440086605871952,0.19392591489339348,0.25108204573701665,38
0.05205078030654169,39,3.120354413986206,6.86357569694519,1716289426.1222796,0.44920168702752983,0.19578555084060442,0.24783633114714612,39
0.04579867655017928,40,3.165320634841919,6.908524513244629,1716289426.1672285,0.4582253413795043,0.19694415732916443,0.2427428338793437,40
0.03230662772995248,42,3.2242794036865234,6.9693098068237305,1716289426.2280138,0.48606009162809777,0.1975868794737364,0.2298935072036889,41
