loss_boundary,loss_interior,loss,_step,step,l2_error,time,_timestamp,_runtime
2.820650047601495,0.00010377386007265701,2.8207538214615675,0,0,1.7442788008482175,1.1269869804382324,1716435364.1315727,5.091411828994751
2.4878785704124153,0.00029578714885194595,2.488174357561267,1,1,1.4687884589073161,1.4263134002685547,1716435364.1775153,5.137354373931885
1.915876431532734,0.000998781428547,1.916875212961281,2,2,1.077017938087824,1.4718027114868164,1716435364.2229238,5.182762861251831
1.2218749692236544,0.0028758665215239923,1.2247508357451784,3,3,0.6475597676197139,1.5168533325195312,1716435364.2680597,5.227898836135864
0.5703396984839055,0.00718399772220643,0.577523696206112,4,4,0.8229828805479356,1.5615713596343994,1716435364.3133857,5.273224830627441
0.3233353896508956,0.014470624491411992,0.3378060141423076,5,5,1.5539659250980369,1.60695481300354,1716435364.3596275,5.319466590881348
0.8137208641884334,0.018681050431309104,0.8324019146197424,6,6,1.919424585424369,1.6532635688781738,1716435364.406261,5.366100072860718
1.2991069667409458,0.009954299020078952,1.3090612657610248,7,7,1.4800085540807437,1.6995463371276855,1716435364.4449039,5.404742956161499
0.7684491152752368,0.0015901866919298421,0.7700393019671667,8,8,0.6216522611073079,1.7378098964691162,1716435364.4845152,5.444354295730591
0.28941050118907063,0.023336188895026266,0.3127466900840969,9,9,0.9321771468616791,1.778857946395874,1716435364.5249078,5.484746932983398
0.9065109057020174,0.05956898093746385,0.9660798866394813,10,10,1.2905057368059663,1.81801438331604,1716435364.5632749,5.523113965988159
1.4555628608017648,0.07251816227817985,1.5280810230799446,11,11,0.9462967094679188,1.8561432361602783,1716435364.6014662,5.561305284500122
0.9280751048640044,0.0630156388684814,0.9910907437324857,12,12,0.5640614238306872,1.894296646118164,1716435364.6395657,5.599404811859131
0.31568806584140646,0.04579489456881849,0.36148296041022493,13,13,1.1452564647880465,1.9327261447906494,1716435364.678416,5.6382551193237305
0.4974789994398115,0.032908835744649825,0.5303878351844613,14,14,1.6043938469567796,1.97153639793396,1716435364.716691,5.676530122756958
0.9503590290102669,0.02624416591681683,0.9766031949270837,15,15,1.5852421421814307,2.0095014572143555,1716435364.7547476,5.7145867347717285
0.9236307328853779,0.021096782877803266,0.9447275157631811,16,16,1.1877486373132782,2.0475616455078125,1716435364.7925978,5.752436876296997
0.5319232071505409,0.012211290355243563,0.5441344975057845,17,17,0.755516580105518,2.0855629444122314,1716435364.8333035,5.793142557144165
0.36684203935899196,0.0017127323317380186,0.36855477169073,18,18,0.7184513160134017,2.12654709815979,1716435364.8713822,5.831221342086792
0.6157068424403465,0.002869998371304587,0.6185768408116511,19,19,0.8861337089205515,2.164492607116699,1716435364.9094634,5.86930251121521
0.9394389042679923,0.019777401031855386,0.9592163052998477,20,20,0.8826780704519919,2.2025556564331055,1716435364.9474878,5.907326936721802
0.9366989796305873,0.03238901289164137,0.9690879925222287,21,21,0.7465422044953257,2.240494728088379,1716435364.9854138,5.945252895355225
0.6469112355832793,0.01838914472502038,0.6653003803082997,22,22,0.719404980404428,2.278534173965454,1716435365.0233707,5.983209848403931
0.40132724413540666,0.0010141345599846295,0.40234137869539127,23,23,0.8156992374005606,2.3162331581115723,1716435365.0611103,6.020949363708496
0.3307496313038835,0.04206514858878894,0.3728147798926725,24,24,0.8548514032148318,2.354254722595215,1716435365.0991693,6.059008359909058
0.324352001271474,0.1326035504173225,0.45695555168879654,25,25,0.7725159289655766,2.392090320587158,1716435365.1371653,6.097004413604736
0.28209221237329174,0.16749932096932113,0.44959153334261287,26,26,0.6352160927916922,2.430583953857422,1716435365.1755586,6.135397672653198
0.2507745298941784,0.12101509813668261,0.371789628030861,27,27,0.5527145614029477,2.468505620956421,1716435365.2137723,6.173611402511597
0.27853130941600096,0.07853973643447736,0.35707104585047833,28,28,0.5456088123896159,2.5069074630737305,1716435365.2520752,6.211914300918579
0.3214736580082143,0.04919237267211206,0.3706660306803264,29,29,0.5689915886297109,2.5450260639190674,1716435365.2902377,6.250076770782471
0.32119002330226765,0.028135645709215316,0.349325669011483,30,30,0.6640267020367738,2.585970163345337,1716435365.3312159,6.291054964065552
0.3025523350388156,0.014361653868755105,0.3169139889075707,31,31,0.8464928495266417,2.6244707107543945,1716435365.3697124,6.329551458358765
0.33654578273238855,0.006957401982175547,0.3435031847145641,32,32,0.9635899459168152,2.6633188724517822,1716435365.4082522,6.368091344833374
0.38368482455347624,0.004084854729028586,0.38776967928250483,33,33,0.8686358375815473,2.7016499042510986,1716435365.44628,6.406119108200073
0.3428573721581794,0.0038810012956530257,0.34673837345383246,34,34,0.6402875725174562,2.739269971847534,1716435365.4844718,6.444310903549194
0.30631771007894193,0.0054127362158606085,0.3117304462948025,35,35,0.5543588395582427,2.77736496925354,1716435365.5225978,6.482436895370483
0.37111726085045454,0.007641069092674608,0.37875832994312914,36,36,0.5456932243903109,2.8155477046966553,1716435365.5606427,6.520481824874878
0.33877687006866725,0.00923647550610647,0.3480133455747737,37,37,0.7189880826172889,2.8535773754119873,1716435365.5987267,6.558565855026245
0.28035880073534286,0.010846507157425512,0.2912053078927684,38,38,0.9548623518341958,2.8917174339294434,1716435365.6369748,6.596813917160034
0.35723374346226267,0.01671263952125851,0.3739463829835212,39,39,0.7005156891223268,2.929863929748535,1716435365.6750855,6.634924650192261
0.24542739370033465,0.03494199071381369,0.2803693844141483,40,40,0.44365729114165664,2.9680001735687256,1716435365.7132478,6.673086881637573
0.23630595654547362,0.08350155406686342,0.31980751061233703,41,42,0.7891935708003606,3.0236690044403076,1716435365.7684488,6.728287935256958
