step,l2_error,loss,_step,_runtime,_timestamp,loss_boundary,loss_interior,time
0,1.898987202755837,2.8362820704481586,0,9.29606580734253,1716207158.1583688,2.8361809730629775,0.00010109738518118974,3.119858980178833
1,0.6233583292318331,2.8362716223092277,1,9.820978164672852,1716207158.6832812,2.8361705215395214,0.00010110076970622999,4.584013223648071
2,0.49760853016035805,0.33251113936484866,2,10.238328456878662,1716207159.1006315,0.33185461700456814,0.0006565223602805381,5.002106666564941
3,0.530590569894107,0.29526636749227314,3,10.656798839569092,1716207159.5191019,0.2636847648570096,0.03158160263526357,5.4199254512786865
4,0.7062520089725585,0.4147521527311566,4,11.075788021087646,1716207159.938091,0.3999662665380482,0.014785886193108454,5.8383870124816895
5,2.1132442908535247,0.22592743908168034,5,11.495879173278809,1716207160.3581822,0.2221674266662485,0.003760012415431824,6.256649971008301
6,0.3947887555068361,2.7480771916963813,6,11.9138765335083,1716207160.7761796,2.671938825734734,0.07613836596164729,6.676032543182373
7,0.46772496513581324,0.19516096328372345,7,12.332456588745117,1716207161.1947596,0.18310478250086193,0.012056180782861513,7.094570875167847
8,0.46709224964119755,0.14843504823048914,8,12.752999782562256,1716207161.6153028,0.13968856762244325,0.008746480608045896,7.515140771865845
9,0.4609349567040728,0.14717803604061785,9,13.17094373703003,1716207162.0332468,0.13472811845498012,0.012449917585637744,7.933115243911743
10,0.47866175985423787,0.13948498565679476,10,13.589195489883423,1716207162.4514985,0.12978544265722528,0.009699542999569486,8.351386547088623
11,0.4495088038962531,0.13863476999233665,11,14.009845495223999,1716207162.8721485,0.12899095866157068,0.009643811330765969,8.770083904266357
12,0.4497399752943578,0.1351097235495211,12,14.428235530853271,1716207163.2905385,0.12063853096482076,0.014471192584700346,9.1903555393219
13,0.43215705222799,0.13262275594454126,13,14.846554279327393,1716207163.7088573,0.12222736872949265,0.010395387215048619,9.608710527420044
14,0.37593555263309286,0.13213364743993222,14,15.267752170562744,1716207164.1300552,0.12207917027606784,0.010054477163864374,10.02986478805542
15,0.344435233776764,0.12451447508124033,15,15.68887448310852,1716207164.5511775,0.11132284588037628,0.013191629200864054,10.451028823852539
16,0.27066739087968894,0.07233576072764479,16,16.10843777656555,1716207164.9707408,0.06691824134766147,0.005417519379983314,10.870502710342407
17,0.206087187944724,0.0669043228006163,17,16.527546405792236,1716207165.3898494,0.056974013257470396,0.009930309543145905,11.289700031280518
18,0.235788792493828,0.05450565903946321,18,16.945292234420776,1716207165.8075953,0.04173557880842436,0.012770080231038854,11.707412242889404
19,0.21976542565709983,0.048982050280707484,19,17.3632595539093,1716207166.2255626,0.03659756823504027,0.012384482045667219,12.125412225723267
20,0.20614512480180264,0.048065619416700435,20,17.78108525276184,1716207166.6433883,0.03493207440118714,0.013133545015513295,12.543223142623901
21,0.22646442295260416,0.04029920578028713,21,18.200672149658203,1716207167.0629752,0.03288293198899341,0.00741627379129372,12.962832689285278
22,0.20237349335801566,0.03852380680099331,22,18.62159562110901,1716207167.4838986,0.03182719806516112,0.0066966087358321874,13.383765697479248
23,0.18222706699245905,0.03537237983818563,23,19.045881509780884,1716207167.9081845,0.02699763480318076,0.008374745035004865,13.808000564575195
24,0.1883633946257948,0.0299720895870618,24,19.466163158416748,1716207168.3284662,0.0237174932745436,0.006254596312518199,14.228302955627441
25,0.1793777165969927,0.029779341723526725,25,19.885993480682373,1716207168.7482965,0.023583497899057275,0.00619584382446945,14.648089170455933
26,0.17442926094736458,0.02905365248752105,26,20.304713010787964,1716207169.167016,0.022507140462912693,0.006546512024608357,15.066639423370361
27,0.16183162379764804,0.02882606976256157,27,20.723472595214844,1716207169.5857756,0.02247754841511687,0.006348521347444697,15.48551344871521
28,0.15842320765253495,0.027355886619956093,28,21.141603231430054,1716207170.0039062,0.019923991608265707,0.0074318950116903865,15.903720140457153
29,0.16146113343394222,0.027264151810906877,29,21.560569047927856,1716207170.422872,0.019752194519418526,0.0075119572914883505,16.32269048690796
30,0.16719540345274658,0.026617054993555066,30,21.97932529449463,1716207170.8416283,0.019269489615871646,0.007347565377683418,16.741368293762207
31,0.1659306266696158,0.026471440841914256,31,22.39984941482544,1716207171.2621524,0.019160758802498748,0.007310682039415508,17.161991119384766
32,0.166570976851034,0.025083383900266466,32,22.820003747940063,1716207171.6823068,0.018131097024900178,0.006952286875366289,17.58213996887207
33,0.1386908995352698,0.024761903439397978,33,23.24064803123474,1716207172.102951,0.01800239380619216,0.006759509633205816,18.002681255340576
34,0.13927107446620968,0.022474099893030675,34,23.661195755004883,1716207172.5234988,0.015845210196626693,0.00662888969640398,18.42330765724182
35,0.1480293649877922,0.02225746876679555,35,24.081484079360962,1716207172.943787,0.015663900957786338,0.006593567809009211,18.843589305877686
36,0.1443031536730369,0.02167571430517991,36,24.502071857452393,1716207173.3643749,0.01548608236440011,0.0061896319407798005,19.26414704322815
37,0.14812941360429283,0.021523078559668108,37,24.922443151474,1716207173.7847462,0.015446609519098193,0.006076469040569916,19.68443250656128
38,0.14736107851788474,0.020957064535018635,38,25.34056830406189,1716207174.2028713,0.015121007833948777,0.0058360567010698585,20.10273790359497
39,0.13422401623401028,0.02087422280614712,39,25.75827431678772,1716207174.6205773,0.015038439556655632,0.005835783249491488,20.520437717437744
40,0.134407036244518,0.020434922688928596,40,26.17662286758423,1716207175.038926,0.014406491772574801,0.006028430916353795,20.938753843307495
42,0.12120306332577965,0.019781940445769083,41,26.99289083480835,1716207175.8551939,0.01398918336017185,0.005792757085597232,21.754945516586304
