_step,_runtime,loss,_timestamp,time,loss_interior,loss_boundary,step,l2_error
0,7.991282224655151,0.13810716338990703,1715508792.7613842,1.1473276615142822,0.016712704322372693,0.12139445906753432,0,0.2096780902665125
1,8.138023138046265,0.07461563686039191,1715508792.9081252,1.5292937755584717,0.0010207884143391137,0.0735948484460528,1,0.20647918559814704
2,8.33308482170105,0.07178007018369283,1715508793.1031868,1.724388599395752,0.004490310279511838,0.06728975990418098,2,0.12245269997165123
3,8.571728467941284,0.03843862689778397,1715508793.3418305,1.9630868434906006,0.009070655726338793,0.029367971171445177,3,0.10334113871346566
4,8.819614171981812,0.022701529839882592,1715508793.5897162,2.210999011993408,0.0022024085683548817,0.020499121271527712,4,0.0774651125981437
5,9.170740365982056,0.014615770619179213,1715508793.9408424,2.5621349811553955,0.0022901137252765973,0.012325656893902616,5,0.04305414123546963
6,9.548382759094238,0.007680197642694453,1715508794.3184848,2.9397335052490234,0.002567505897061361,0.0051126917456330925,6,0.045716305195362836
7,9.901634216308594,0.005649268046260962,1715508794.6717362,3.293004035949707,0.0017346357063593558,0.003914632339901606,7,0.0363286678237218
8,10.216517925262451,0.00355082207075913,1715508794.98662,3.6079092025756836,0.0019135736565772416,0.001637248414181888,8,0.024522982700165872
9,10.560441493988037,0.002402327709152238,1715508795.3305435,3.9517626762390137,0.001193279643031705,0.0012090480661205328,9,0.025020812983110593
10,10.919286727905273,0.0017029341049433274,1715508795.6893888,4.310602903366089,0.0007914700122329783,0.0009114640927103491,10,0.021325938507611397
11,11.294553518295288,0.001341805818058173,1715508796.0646555,4.6859118938446045,0.0006937170542772577,0.0006480887637809155,11,0.018031171894001278
12,11.611329555511475,0.0010805195410450953,1715508796.3814316,5.001363277435303,0.0006147695017258948,0.00046575003931920053,12,0.010619250562842322
13,11.934524059295654,0.0007141980746679293,1715508796.704626,5.325889587402344,0.0004797673096883494,0.00023443076497957986,13,0.010007220970392127
14,12.25072956085205,0.000550263672963199,1715508797.0208316,5.642122030258179,0.0003875510671543952,0.00016271260580880383,14,0.008232261051961554
15,12.576390981674194,0.0004395399224657832,1715508797.346493,5.967653036117554,0.00035631550790769724,8.322441455808598e-05,15,0.006372284754095173
16,12.94149923324585,0.00031060106842779715,1715508797.7116013,6.332855463027954,0.0002515054638174222,5.909560461037496e-05,16,0.005482890757363573
17,13.264789581298828,0.00027993405142530647,1715508798.0348916,6.656080722808838,0.00022410676074602034,5.5827290679286115e-05,17,0.004639569453541569
18,13.618181467056274,0.0002555833747741507,1715508798.3882835,7.009573698043823,0.00022203141819314545,3.3551956581005275e-05,18,0.0049051718751187134
19,13.938493728637695,0.00020763524670325964,1715508798.7085958,7.32987904548645,0.00017872759361546863,2.8907653087791024e-05,19,0.003555446451899854
20,14.325344562530518,0.00017729506591104873,1715508799.0954466,7.7166969776153564,0.00015425957558808163,2.303549032296709e-05,20,0.003373311808831313
21,14.699861764907837,0.0001483201216515792,1715508799.4699638,8.091252565383911,0.00013037666068357594,1.7943460968003268e-05,21,0.0032135495280229266
22,15.076257944107056,0.00014304500355895235,1715508799.84636,8.467611074447632,0.00012601036412927246,1.7034639429679886e-05,22,0.003574421470383797
23,15.420475721359253,0.00013718023904678246,1715508800.1905777,8.811761140823364,0.00011563108878272702,2.1549150264055447e-05,23,0.004940607853375117
24,15.7372305393219,0.00012127288969466894,1715508800.5073326,9.128595113754272,8.648688506208822e-05,3.4786004632580725e-05,24,0.005834553949038344
25,16.10697340965271,0.00011106950766092349,1715508800.8770754,9.49836540222168,7.190987468072401e-05,3.915963298019948e-05,25,0.005875430300947643
26,16.421966791152954,0.00010780251968816714,1715508801.1920688,9.813307523727417,6.828038788502464e-05,3.9522131803142496e-05,26,0.005886846615454152
27,16.803040504455566,0.00010431958533617497,1715508801.5731425,10.194210290908813,6.474730453422471e-05,3.957228080195027e-05,27,0.006177968681436641
28,17.183265209197998,9.787323692082454e-05,1715508801.9533672,10.574615478515625,5.861219425144819e-05,3.926104266937635e-05,28,0.005937757271634457
29,17.541274070739746,9.085983139444414e-05,1715508802.311376,10.932630062103271,5.3635330420555124e-05,3.7224500973889015e-05,29,0.00546719593848114
30,17.855905532836914,8.445836209671228e-05,1715508802.6260076,11.247302055358887,4.9123477589428614e-05,3.533488450728367e-05,30,0.0049961594791029735
31,18.168920755386353,8.097130749793881e-05,1715508802.9390228,11.560315132141113,4.806952898431718e-05,3.290177851362162e-05,31,0.003663195690250036
32,18.53873872756958,6.928187218187581e-05,1715508803.3088408,11.929999351501465,5.1740976685392524e-05,1.7540895496483286e-05,32,0.002930139140316843
33,18.90849757194519,5.997344220888115e-05,1715508803.6785996,12.299870014190674,5.159736068097984e-05,8.37608152790131e-06,33,0.0022180236210881735
34,19.229514837265015,5.6012913614205975e-05,1715508803.9996169,12.620804071426392,5.046517016122506e-05,5.5477434529809115e-06,34,0.0018729206894829177
35,19.563141345977783,5.207345849214334e-05,1715508804.3332434,12.954559087753296,4.571631529658262e-05,6.357143195560724e-06,35,0.002050236737488686
36,19.879109144210815,4.8200843015283577e-05,1715508804.6492112,13.270498037338257,4.116117973734113e-05,7.039663277942447e-06,36,0.0022547910169161828
37,20.245125770568848,4.380053436735558e-05,1715508805.0152278,13.636486530303955,3.680418709933775e-05,6.996347268017835e-06,37,0.002170548617340944
38,20.580718755722046,4.1461750662789065e-05,1715508805.3508208,13.972087144851685,3.494173769457432e-05,6.520012968214746e-06,38,0.0021604486256807747
39,20.963597774505615,3.755083599070487e-05,1715508805.7336998,14.354991436004639,3.150111516857475e-05,6.049720822130115e-06,39,0.0021440573429857114
40,21.346778869628906,3.2853420244358916e-05,1715508806.116881,14.7380850315094,2.7321166981336617e-05,5.532253263022298e-06,40,0.0016657788667974011
41,22.017902851104736,2.7394258675814535e-05,1715508806.7880049,15.409281969070435,2.4131581421310193e-05,3.2626772545043425e-06,42,0.0013609405475131487
42,23.299155235290527,2.1811658097222538e-05,1715508808.0692573,16.690505504608154,1.9003665524944986e-05,2.8079925722775526e-06,46,0.0011975641773584059
43,24.800863027572632,1.5615106076832555e-05,1715508809.570965,18.19223666191101,1.49351858393139e-05,6.799202375186539e-07,50,0.0006503132461354014
44,26.60651993751526,1.1826068427975453e-05,1715508811.376622,19.99788784980774,1.0627304785236952e-05,1.198763642738501e-06,55,0.0010382198815124767
45,28.59088897705078,7.531355308570351e-06,1715508813.360991,21.982240200042725,6.332893824581692e-06,1.1984614839886592e-06,61,0.0007484665630586564
46,30.61483073234558,6.198379281131722e-06,1715508815.3849328,24.006104946136475,4.953925838778001e-06,1.2444534423537207e-06,67,0.0008298845644607586
47,32.73333716392517,5.207009636281269e-06,1715508817.5034392,26.124393939971924,4.099613877982543e-06,1.107395758298726e-06,73,0.000610778689673567
48,35.4709689617157,3.6463319240545497e-06,1715508820.241071,28.862262725830078,3.2332460841544413e-06,4.1308583990010834e-07,81,0.00042499506373445446
49,38.27271127700806,2.8249208811271173e-06,1715508823.0428133,31.66406536102295,2.6506523339294925e-06,1.7426854719762473e-07,89,0.0002925822292059572
50,38.56268572807312,2.7612424103194706e-06,1715508823.3327878,31.954071760177612,2.6137261101803783e-06,1.4751630013909243e-07,98,0.00027156061874976714
51,38.731664419174194,2.759984331584237e-06,1715508823.5017664,32.12294626235962,2.6139071664948036e-06,1.460771650894334e-07,107,0.00026875260826088223
52,38.94561243057251,2.759984331584237e-06,1715508823.7157145,32.33692407608032,2.6139071664948036e-06,1.460771650894334e-07,118,0.00026875260826088223
53,39.17152118682861,2.759984331584237e-06,1715508823.9416232,32.56288194656372,2.6139071664948036e-06,1.460771650894334e-07,130,0.00026875260826088223
54,39.384185552597046,2.759984331584237e-06,1715508824.1542876,32.775556325912476,2.6139071664948036e-06,1.460771650894334e-07,143,0.00026875260826088223
55,39.6331570148468,2.759984331584237e-06,1715508824.403259,33.024468421936035,2.6139071664948036e-06,1.460771650894334e-07,157,0.00026875260826088223
56,39.91148352622986,2.759984331584237e-06,1715508824.6815856,33.30288791656494,2.6139071664948036e-06,1.460771650894334e-07,172,0.00026875260826088223
57,40.193644285202026,2.759984331584237e-06,1715508824.9637463,33.58496570587158,2.6139071664948036e-06,1.460771650894334e-07,190,0.00026875260826088223
58,40.48225402832031,2.759984331584237e-06,1715508825.252356,33.87361550331116,2.6139071664948036e-06,1.460771650894334e-07,208,0.00026875260826088223
59,40.83174467086792,2.759984331584237e-06,1715508825.6018467,34.22304654121399,2.6139071664948036e-06,1.460771650894334e-07,229,0.00026875260826088223
60,41.2322416305542,2.759984331584237e-06,1715508826.0023437,34.6236035823822,2.6139071664948036e-06,1.460771650894334e-07,252,0.00026875260826088223
