time,_timestamp,step,l2_error,loss_boundary,loss,_step,loss_interior,_runtime
1.6083550453186035,1715513100.9001484,0,0.2639223266111075,0.12139445906753432,0.13810716338990703,0,0.016712704322372693,5.636991500854492
2.1055054664611816,1715513101.1555414,1,0.2705666955160472,0.11343091928554751,0.12872639311929243,1,0.01529547383374493,5.8923845291137695
2.3712234497070312,1715513101.4202917,2,0.26682870333325426,0.10590692671785111,0.1074094603674672,2,0.0015025336496160798,6.157134771347046
2.607686996459961,1715513101.6566474,3,0.26739506475659447,0.10261288464152205,0.10472798867183349,3,0.002115104030311444,6.393490552902222
2.947617530822754,1715513101.9968314,4,0.2672627655606337,0.10039397070386188,0.10363786934895637,4,0.0032438986450944833,6.7336745262146
3.1910147666931152,1715513102.2401493,5,0.2672528173893504,0.10039624936663494,0.10345356866731999,5,0.0030573193006850435,6.97699236869812
3.4305989742279053,1715513102.4809973,6,0.26724984768515886,0.10038555109425858,0.10344221407234577,6,0.00305666297808719,7.2178404331207275
3.667731523513794,1715513102.7168467,7,0.254038346187587,0.1003830119290093,0.10343952978278191,7,0.0030565178537726176,7.453689813613892
3.8936283588409424,1715513102.9431288,8,0.25392090213675717,0.09519547607234526,0.09879438321230112,8,0.0035989071399558626,7.679971933364868
4.101228475570679,1715513103.150487,9,0.2501536511579752,0.09502886427255741,0.09869641148797009,9,0.003667547215412675,7.887330055236816
4.288563966751099,1715513103.3376439,10,0.2412722854279213,0.09327144868285608,0.09586452002728109,10,0.0025930713444250048,8.07448697090149
4.478463888168335,1715513103.5275548,11,0.24012102334198168,0.08179269062393024,0.09052205640832048,11,0.008729365784390243,8.264397859573364
4.699251890182495,1715513103.748699,12,0.23978082066562773,0.08074888657943108,0.08986520505205794,12,0.009116318472626873,8.485542058944702
4.9000632762908936,1715513103.9491668,13,0.2397600860564448,0.08041250072366508,0.08976642001245548,13,0.009353919288790393,8.686009883880615
5.093783378601074,1715513104.1428416,14,0.242385185015418,0.08039221075369017,0.08975410912213237,14,0.009361898368442203,8.879684686660767
5.291516065597534,1715513104.3407304,15,0.24242053851105805,0.0793683854654974,0.08879142583720218,15,0.009423040371704775,9.077573537826538
5.482367038726807,1715513104.5314481,16,0.24254497170748926,0.07920364676729585,0.0886334741754138,16,0.009429827408117939,9.268291234970093
5.671080827713013,1715513104.7201638,17,0.2429641256250752,0.07929838706436985,0.08859369552466902,17,0.009295308460299157,9.457006931304932
5.8590264320373535,1715513104.9081953,18,0.25496590198984226,0.0792754755097309,0.08854631819170432,18,0.009270842681973418,9.645038366317749
6.054188251495361,1715513105.1032653,19,0.22864708671335396,0.07898639730497646,0.08713528265273154,19,0.008148885347755087,9.840108394622803
6.25980806350708,1715513105.30932,20,0.1872941625972356,0.07194139897353308,0.08404674418661681,20,0.01210534521308374,10.046163082122803
6.454814672470093,1715513105.5039387,21,0.18571113929961505,0.061123127882523366,0.0771403969734196,21,0.016017269090896236,10.240781784057617
6.6643617153167725,1715513105.7134945,22,0.1864791687131797,0.060000390870458734,0.07604906702946126,22,0.016048676159002538,10.450337648391724
6.879287242889404,1715513105.9284441,23,0.1861947808422202,0.060227932620853075,0.07574086117045324,23,0.015512928549600171,10.665287256240845
7.086237192153931,1715513106.1353557,24,0.18550268004098425,0.06004751964953149,0.07562355342508671,24,0.015576033775555217,10.872198820114136
7.29080057144165,1715513106.3399043,25,0.18067092716922356,0.05972876985109254,0.07552306286949448,25,0.015794293018401944,11.076747417449951
7.495041370391846,1715513106.5442095,26,0.1839934244760806,0.05618192036275409,0.07505938567886222,26,0.018877465316108143,11.281052589416504
7.696155786514282,1715513106.7452826,27,0.17569628399718076,0.05668973686271728,0.07074698445221606,27,0.014057247589498785,11.482125759124756
7.896944761276245,1715513106.946034,28,0.17653700506276063,0.05383611927192852,0.06942394300530247,28,0.015587823733373947,11.68287706375122
8.0955171585083,1715513107.1446548,29,0.17494482170459486,0.053723236704331316,0.06787539541259364,29,0.014152158708262334,11.881497859954834
8.295496702194214,1715513107.3446608,30,0.16968397050677023,0.05259094720578807,0.06712530218209865,30,0.014534354976310577,12.081503868103027
8.496155261993408,1715513107.5452588,31,0.1564837723635452,0.04922686185400692,0.06393881399341703,31,0.014711952139410114,12.28210186958313
8.695610523223877,1715513107.744732,32,0.15347960686737414,0.04502689356262085,0.055805864006478675,32,0.010778970443857826,12.481575012207031
8.892573356628418,1715513107.9416785,33,0.152766342680541,0.04279666228517626,0.054627580429056605,33,0.011830918143880351,12.678521633148193
9.094018459320068,1715513108.143195,34,0.15240490704174592,0.042429842339219134,0.05436579826713239,34,0.011935955927913258,12.880038022994995
9.297055959701538,1715513108.3461964,35,0.1520540981046758,0.04215284996421151,0.054182061456107426,35,0.012029211491895916,13.08303952217102
9.497214078903198,1715513108.5463371,36,0.15161928860967505,0.04181342924636464,0.05400455381127626,36,0.012191124564911615,13.283180236816406
9.701289653778076,1715513108.750408,37,0.15134031454338276,0.041686040615430985,0.05385071586472576,37,0.01216467524929477,13.487251043319702
9.897013187408447,1715513108.9461179,38,0.15116844597871965,0.04154072402770284,0.05375174492170978,38,0.01221102089400694,13.682960987091064
10.093199491500854,1715513109.1423056,39,0.1527908398278711,0.041411568234676024,0.053691344927622335,39,0.012279776692946309,13.879148721694946
10.289624452590942,1715513109.3387172,40,0.15577924708251079,0.040971849760791657,0.05331834354040726,40,0.012346493779615603,14.075560331344604
10.703238248825073,1715513109.75257,42,0.14591158149826766,0.03895780549816723,0.04161373198865071,41,0.0026559264904834822,14.489413022994995
