time,loss,_runtime,loss_boundary,loss_interior,step,l2_error,_timestamp,_step
1.114943504333496,0.13810716338990703,6.711025238037109,0.12139445906753432,0.016712704322372693,0,0.2848334676152463,1715511914.9195151,0
2.007751226425171,0.08893645324546902,6.88326358795166,0.07353649317525246,0.01539996007021656,1,0.37064996306532794,1715511915.0917535,1
2.2308900356292725,0.09263204712969433,7.106384992599487,0.08490472157197544,0.007727325557718899,2,0.3111148672042313,1715511915.314875,2
2.4493730068206787,0.06704685009996997,7.324969291687012,0.058185742984658805,0.008861107115311165,3,0.2176171584796395,1715511915.5334592,3
2.787562847137451,0.03780275098076618,7.663065671920776,0.03128530739986116,0.006517443580905017,4,0.08221399385349933,1715511915.8715556,4
3.122318983078003,0.017952835739971293,7.997793912887573,0.00946173458666887,0.008491101153302422,5,0.05090207160829719,1715511916.2062838,5
3.3084003925323486,0.008504003827529454,8.183876752853394,0.00346455530869757,0.005039448518831884,6,0.038705238964070875,1715511916.3923666,6
3.5302822589874268,0.005248423003764021,8.40573763847351,0.0017641442945993296,0.003484278709164691,7,0.033034821160443956,1715511916.6142275,7
3.7479469776153564,0.004610400617404406,8.623460292816162,0.0010819623810829908,0.0035284382363214156,8,0.025774491952964062,1715511916.8319502,8
4.069201469421387,0.003964442665046732,8.94469165802002,0.0007397237916018849,0.003224718873444848,9,0.03567003781357984,1715511917.1531816,9
4.3928821086883545,0.0031845663411697337,9.269614696502686,0.0010622442719517428,0.002122322069217991,10,0.03812642425541174,1715511917.4781046,10
4.640281677246094,0.0023155699166006365,9.51571774482727,0.0009997371740862976,0.0013158327425143391,11,0.028517111673606405,1715511917.7242076,11
5.118347883224487,0.0012767474817630931,9.99387240409851,0.00045421015097368026,0.0008225373307894129,12,0.020909839751390505,1715511918.2023623,12
5.436450481414795,0.0005422422413305291,10.311925888061523,0.00024959736843413796,0.0002926448728963911,13,0.024238703121821987,1715511918.5204158,13
5.874394416809082,0.0005388473566601988,10.749852180480957,0.000288580585551074,0.00025026677110912487,14,0.025353233144046944,1715511918.958342,14
6.171504259109497,0.0005045504846753461,11.046976327896118,0.00027969082016139575,0.00022485966451395032,15,0.018725038773879325,1715511919.2554662,15
6.582494258880615,0.0003689568310842996,11.458047151565552,0.0001671354734036142,0.0002018213576806854,16,0.014139730018046397,1715511919.666537,16
6.834223985671997,0.00026289028338039597,11.709710359573364,0.00010779639501124769,0.0001550938883691483,17,0.015617219037137068,1715511919.9182003,17
7.5111329555511475,0.00024908660576948924,12.386640787124634,0.0001209209048126309,0.00012816570095685836,18,0.019744785937579685,1715511920.5951307,18
7.788464069366455,0.0003143824566552738,12.663918256759644,0.00020894388975552865,0.00010543856689974514,19,0.010383380356563337,1715511920.8724082,19
8.106741666793823,0.00016806878893952716,12.982209205627441,9.143144404855407e-05,7.663734489097309e-05,20,0.006421011664223091,1715511921.190699,20
8.359306573867798,0.00011256987755263226,13.234782218933105,4.5099098004415126e-05,6.747077954821713e-05,21,0.00489172557909129,1715511921.443272,21
8.785601139068604,8.894004087930202e-05,13.661126136779785,2.6934503832193275e-05,6.200553704710874e-05,22,0.004315104027362022,1715511921.869616,22
9.206315040588379,7.065982900931076e-05,14.081789493560791,1.6387979258871648e-05,5.427184975043911e-05,23,0.004502035052900935,1715511922.2902794,23
9.519363403320312,6.136454682630303e-05,14.394847869873047,1.254726305039864e-05,4.881728377590439e-05,24,0.0039901589568612636,1715511922.6033378,24
10.016051292419434,4.822746208802839e-05,14.891565084457397,9.630427559694956e-06,3.859703452833343e-05,25,0.0040321807018893,1715511923.100055,25
10.290971517562866,4.3222839527475235e-05,15.166452646255493,7.80201293009478e-06,3.542082659738046e-05,26,0.003987160802592351,1715511923.3749425,26
10.745185613632202,3.9786176104234936e-05,15.620674133300781,6.862620609795138e-06,3.29235554944398e-05,27,0.0038697711183220784,1715511923.829164,27
10.969794988632202,3.679717767976659e-05,15.845272779464722,7.318999574202486e-06,2.947817810556411e-05,28,0.00306865659575372,1715511924.0537627,28
11.297799348831177,3.098645641289056e-05,16.17356014251709,4.1279393665245546e-06,2.6858517046366004e-05,29,0.0025437194051279224,1715511924.38205,29
11.671063423156738,2.5892755727423456e-05,16.54651689529419,2.8147801225406e-06,2.3077975604882856e-05,30,0.002124174583993327,1715511924.7550068,30
11.887308597564697,2.1911886497635124e-05,16.76275658607483,2.4185174751613765e-06,1.9493369022473746e-05,31,0.0018577488017941985,1715511924.9712465,31
12.709421396255493,1.8028893104081874e-05,17.584998846054077,2.480350421035741e-06,1.5548542683046132e-05,32,0.0027002835562981754,1715511925.7934887,32
13.136219501495361,1.7634691539868386e-05,18.011746406555176,5.396891799075792e-06,1.2237799740792595e-05,33,0.002047008994990984,1715511926.2202363,33
13.600468873977661,1.3389476324071238e-05,18.476004600524902,3.996935483438003e-06,9.392540840633235e-06,34,0.002026686052852981,1715511926.6844945,34
14.218988418579102,1.14153270942838e-05,19.094531059265137,3.485006508690432e-06,7.930320585593367e-06,35,0.002359180546031549,1715511927.303021,35
14.587393522262573,1.1360324754559422e-05,19.463069677352905,4.604425924322437e-06,6.755898830236985e-06,36,0.002603333528905936,1715511927.6715596,36
15.025119543075562,9.524805333030344e-06,19.900638580322266,3.4832775967763165e-06,6.041527736254026e-06,37,0.0021767611502761077,1715511928.1091285,37
15.828724145889282,8.552655829919882e-06,20.704214811325073,3.055696673889608e-06,5.4969591560302735e-06,38,0.0014835555014201165,1715511928.9127047,38
