_runtime,loss_interior,_step,_timestamp,loss,step,l2_error,loss_boundary,time
6.538491249084473,0.016712704322372693,0,1715508790.6498983,0.13810716338990703,0,0.2658892825708852,0.12139445906753432,1.040055274963379
6.545686483383179,0.014241626112262514,1,1715508790.6570935,0.13058256899104875,1,0.25894145020295983,0.11634094287878624,1.2622015476226807
6.550899267196655,0.011971972972798202,2,1715508790.6623063,0.12355257456284097,2,0.25250343826713134,0.11158060159004277,1.267530918121338
6.555725336074829,0.009904524376754082,3,1715508790.6671324,0.11702408004191871,3,0.24661303961442171,0.10711955566516462,1.27242112159729
6.560381174087524,0.008039371379002836,4,1715508790.6717882,0.11100155662868624,4,0.24129998013466133,0.10296218524968341,1.2771024703979492
6.565038442611694,0.006375916533556632,5,1715508790.6764455,0.1054866843162792,5,0.23658288807956027,0.09911076778272257,1.2817621231079102
6.5697596073150635,0.004912923291625347,6,1715508790.6811666,0.10047803598765376,6,0.23246638572060005,0.09556511269602841,1.2864949703216553
6.574467420578003,0.003648618471565253,7,1715508790.6858745,0.09597082766781082,7,0.22893881670657523,0.09232220919624556,1.291184425354004
6.579098463058472,0.0025808101474342547,8,1715508790.6905055,0.09195670543864384,8,0.22597134151980153,0.0893758952912096,1.2958042621612549
6.58368444442749,0.00170694303461936,9,1715508790.6950915,0.08842356109177266,9,0.2235190304504089,0.08671661805715329,1.3004026412963867
6.588373422622681,0.0010239890876117537,10,1715508790.6997805,0.08535542334139397,10,0.22152388096405,0.08433143425378221,1.3050966262817383
6.593044996261597,0.000528108798145954,11,1715508790.704452,0.08273246204667144,11,0.21991895511869036,0.08220435324852549,1.3097572326660156
6.599591970443726,0.0002141393359524685,12,1715508790.710999,0.08053110057630891,12,0.21863283508522557,0.08031696124035645,1.3143866062164307
6.604303598403931,7.504818909083132e-05,13,1715508790.7157106,0.0787242233180767,13,0.21759402671918446,0.07864917512898587,1.3210206031799316
6.608952045440674,0.00010145460822230508,14,1715508790.720359,0.07728148110883937,14,0.21673511124454634,0.07718002650061706,1.3256802558898926
6.613626718521118,0.0002812551697772754,15,1715508790.7250338,0.07616969918855052,15,0.215996351376495,0.07588844401877325,1.330348014831543
6.618153095245361,0.0005993747976459208,16,1715508790.7295601,0.07535338179605983,16,0.2153284256945859,0.0747540069984139,1.3348760604858398
6.622781038284302,0.0010376812013124387,17,1715508790.734188,0.07479530185740983,17,0.21469410765266492,0.0737576206560974,1.3394980430603027
6.627422571182251,0.0015751056096915026,18,1715508790.7388296,0.07445716525745859,18,0.21406888941833602,0.07288205964776709,1.3441438674926758
6.632104873657227,0.0021879961859464247,19,1715508790.743512,0.0743003403932145,19,0.21344060547308993,0.07211234420726807,1.3488366603851318
6.636794090270996,0.0028507139762384737,20,1715508790.7482011,0.07428664416418758,20,0.21280810348544485,0.07143593018794911,1.3535230159759521
6.641484498977661,0.0035364706318367035,21,1715508790.7528915,0.0743791750706497,21,0.21217909588254005,0.07084270443881299,1.3582127094268799
6.6461920738220215,0.004218381187178122,22,1715508790.757599,0.07454317590070912,22,0.2115674590391135,0.070324794713531,1.3629233837127686
6.650890350341797,0.00487066166162132,23,1715508790.7622974,0.07474689059952529,23,0.21099032442053695,0.06987622893790396,1.3675932884216309
6.6555867195129395,0.0054698604444109854,24,1715508790.7669938,0.07496235972495757,24,0.21046530686603634,0.06949249928054659,1.372309923171997
6.659893989562988,0.005995990463743713,25,1715508790.771301,0.07516608524444102,25,0.210008153948906,0.0691700947806973,1.3766322135925293
6.664424657821655,0.0064334334223546084,26,1715508790.7758317,0.07533949489099985,26,0.20963099723039166,0.06890606146864524,1.3811547756195068
6.6689159870147705,0.0067715182672476735,27,1715508790.780323,0.07546915197202023,27,0.20934126979189258,0.06869763370477255,1.3856406211853027
6.673402786254883,0.007004725613266738,28,1715508790.7848098,0.0755466858438933,28,0.20914125441170855,0.06854196023062657,1.390101671218872
6.677696943283081,0.007132524146452216,29,1715508790.789104,0.07556845333037875,29,0.20902816193846394,0.06843592918392653,1.3944191932678223
6.682122230529785,0.0071588905465911545,30,1715508790.7935293,0.07553497284620288,30,0.20899461284610296,0.06837608229961173,1.3988430500030518
6.6864824295043945,0.0070915932663190165,31,1715508790.7978895,0.07545019430595258,31,0.20902939792406944,0.06835860103963357,1.4031829833984375
6.690865755081177,0.00694133137938785,32,1715508790.8022728,0.07532067686499024,32,0.20911841326447672,0.06837934548560239,1.407560110092163
6.695269346237183,0.0067208161194451735,33,1715508790.8066764,0.07515474456205726,33,0.20924568786286188,0.06843392844261208,1.4119923114776611
6.699641704559326,0.006443869982395686,34,1715508790.8110487,0.07496168024919704,34,0.20939444087713377,0.06851781026680136,1.4163715839385986
6.703979253768921,0.006124601381222116,35,1715508790.8153863,0.07475100431150176,35,0.2095481162993296,0.06862640293027965,1.4206981658935547
6.7083539962768555,0.005776695437012446,36,1715508790.819761,0.07453186946512441,36,0.2096913461771037,0.06875517402811196,1.4250586032867432
6.712766170501709,0.005412845546111854,37,1715508790.8241732,0.0743125883227456,37,0.20981079319185036,0.06889974277663376,1.4294986724853516
6.717479705810547,0.005044336585675879,38,1715508790.8288867,0.07410029758413521,38,0.2098958241119788,0.06905596099845933,1.434204339981079
6.72209095954895,0.00468077902399745,39,1715508790.833498,0.07390075228472766,39,0.20993897148366836,0.0692199732607302,1.4388067722320557
6.726725101470947,0.004329983643973418,40,1715508790.8381321,0.0737182358675557,40,0.20993615394650286,0.06938825222358229,1.4434492588043213
