loss_boundary,_step,_timestamp,l2_error,loss,step,time,loss_interior,_runtime
0.12139445906753432,0,1715715279.5454612,0.27330341781950945,0.13810716338990703,0,1.3999264240264893,0.016712704322372693,5.444268226623535
0.12139413040176016,1,1715715279.6031392,0.21096787243978346,0.13810665494702262,1,1.694465160369873,0.01671252454526248,5.501946210861206
0.0719072843847806,2,1715715279.638515,0.21685400465720214,0.07459961638092509,2,1.7299737930297852,0.0026923319961444916,5.537322044372559
0.07141054139165301,3,1715715279.6708982,0.20473592358824005,0.07336913417310237,3,1.7624564170837402,0.001958592781449353,5.569705247879028
0.06960659814835608,4,1715715279.7046754,0.19397082114826134,0.07293887674100195,4,1.796060562133789,0.003332278592645873,5.603482484817505
0.0680708483193173,5,1715715279.739623,0.1489963218415001,0.06940740019260225,5,1.8310420513153076,0.0013365518732849542,5.638430118560791
0.04428949477012501,6,1715715279.775444,0.1600890974549315,0.056957722492756914,6,1.8669328689575195,0.012668227722631905,5.674251079559326
0.04434556984909531,7,1715715279.8084018,0.17507526562208933,0.05601721452167961,7,1.8999288082122803,0.011671644672584303,5.707208871841431
0.0298075219657386,8,1715715279.8409808,0.11221395372754127,0.039292502189976784,8,1.9325692653656006,0.009484980224238182,5.739787817001343
0.02423314743760931,9,1715715279.873179,0.10134416545211353,0.03184141284322609,9,1.9629778861999512,0.007608265405616782,5.77198600769043
0.020919014496248507,10,1715715279.9034626,0.10615426919159622,0.02725215578065789,10,1.9949853420257568,0.006333141284409381,5.802269697189331
0.021543186699992924,11,1715715279.933563,0.12187209975115235,0.02680170733460163,11,2.025146245956421,0.005258520634608706,5.832370042800903
0.02178235547005323,12,1715715279.963358,0.10900936741007013,0.025358926413067622,12,2.054917573928833,0.0035765709430143947,5.8621649742126465
0.02174294719924185,13,1715715279.9931054,0.10661739929362708,0.02471787760795132,13,2.0846750736236572,0.002974930408709468,5.891912460327148
0.021396278185224018,14,1715715280.0244606,0.10638481033291702,0.024553582291551766,14,2.115812301635742,0.003157304106327747,5.923267602920532
0.021560567137127274,15,1715715280.057144,0.1127389708389849,0.024200190326567894,15,2.148569345474243,0.00263962318944062,5.955950975418091
0.021151145729536344,16,1715715280.0888824,0.10167864332355034,0.023829361775589603,16,2.180279016494751,0.00267821604605326,5.98768949508667
0.020850730293937962,17,1715715280.1211257,0.09944689317058611,0.023413660872320764,17,2.212524890899658,0.002562930578382802,6.019932746887207
0.020641041746749907,18,1715715280.1531677,0.09241347403626478,0.023242673003669053,18,2.244560480117798,0.002601631256919147,6.051974773406982
0.020454675884172845,19,1715715280.1856184,0.09789666496322227,0.021752648038279653,19,2.277003288269043,0.001297972154106808,6.084425449371338
0.02030272071192897,20,1715715280.2181141,0.0991199323622967,0.021588269170074517,20,2.3094494342803955,0.0012855484581455478,6.1169211864471436
0.02027137920064325,21,1715715280.2536385,0.09609456386797428,0.021425131098812732,21,2.3450074195861816,0.0011537518981694814,6.152445554733276
0.019982982967726277,22,1715715280.2858515,0.0989816782806952,0.0212592746521711,22,2.3772480487823486,0.0012762916844448239,6.184658527374268
0.01981063183973657,23,1715715280.3179834,0.09999683078965892,0.021117319711515904,23,2.4093685150146484,0.0013066878717793334,6.216790437698364
0.019533718688906174,24,1715715280.3504055,0.09741015454841472,0.021033385659929082,24,2.4417672157287598,0.001499666971022909,6.2492125034332275
0.01940342981950023,25,1715715280.382793,0.10044359029432343,0.020921493419039212,25,2.4741339683532715,0.001518063599538982,6.281599998474121
0.01895170885610724,26,1715715280.4152322,0.1023671993494584,0.020790824312345964,26,2.506627321243286,0.0018391154562387266,6.31403923034668
0.019002904206060784,27,1715715280.4475915,0.10007300862345724,0.020723595465122077,27,2.538935661315918,0.001720691259061294,6.346398591995239
0.018305955334636036,28,1715715280.4802725,0.10147316494474821,0.0204165820709739,28,2.5716652870178223,0.0021106267363378626,6.379079580307007
0.01835401627895808,29,1715715280.514866,0.10130879217322065,0.020232755294754354,29,2.606205701828003,0.0018787390157962744,6.413673162460327
0.016794920472709734,30,1715715280.5476234,0.10489999447668226,0.01913106788301806,30,2.63899564743042,0.0023361474103083253,6.446430444717407
0.015633350838852526,31,1715715280.580221,0.08278372971540537,0.017932692562599946,31,2.6716501712799072,0.0022993417237474182,6.479027986526489
0.012390010874236412,32,1715715280.6114433,0.08497345493281329,0.015578961682836626,32,2.7028398513793945,0.0031889508086002136,6.5102503299713135
0.011601781933387015,33,1715715280.6426501,0.08027547045762992,0.014361620023630676,33,2.734058141708374,0.00275983809024366,6.541457176208496
0.011404832448614175,34,1715715280.6735523,0.07601238303698157,0.013709468100698657,34,2.7650585174560547,0.0023046356520844804,6.572359323501587
0.010926970212331667,35,1715715280.703911,0.07852661046568471,0.013420496034834353,35,2.7954347133636475,0.0024935258225026852,6.602718114852905
0.010418465816633613,36,1715715280.7374113,0.07264487808825558,0.01233290926753002,36,2.8289096355438232,0.0019144434508964064,6.636218309402466
0.010531569706377785,37,1715715280.7674356,0.0653093289542718,0.01187557475309724,37,2.859034538269043,0.0013440050467194552,6.666242599487305
0.010311273370329879,38,1715715280.7986815,0.06721157666878061,0.011504984877606086,38,2.8901681900024414,0.0011937115072762072,6.69748854637146
0.009846660622751503,39,1715715280.8295414,0.06615865670939829,0.010937373052741582,39,2.9210174083709717,0.0010907124299900795,6.72834849357605
0.009897347564354361,40,1715715280.861284,0.06333116656553,0.010796300519144516,40,2.9527957439422607,0.0008989529547901553,6.760091066360474
