_step,loss_interior,_runtime,l2_error,step,time,loss,_timestamp,loss_boundary
0,0.016712704322372693,7.480154275894165,0.21326844599477404,0,1.4720923900604248,0.13810716338990703,1715711136.6911092,0.12139445906753432
1,0.0017312186860595584,7.5573976039886475,0.19880927532536624,1,2.360030174255371,0.0847766140951476,1715711136.7683525,0.08304539540908804
2,0.005910639299421893,7.630181074142456,0.18105731878987869,2,2.432889699935913,0.08137065064337469,1715711136.841136,0.07546001134395279
3,0.01311221030758963,7.7002339363098145,0.21698890896614245,3,2.503119707107544,0.07896014688102171,1715711136.9111888,0.06584793657343208
4,0.003982277260096854,7.775694847106934,0.23557132386686702,4,2.5770955085754395,0.0694238731219365,1715711136.9866498,0.06544159586183965
5,0.0008817482166928627,7.85310959815979,0.18297775539381858,5,2.6558115482330322,0.06591822716663322,1715711137.0640645,0.06503647894994036
6,0.0044914902526172655,7.93447208404541,0.14661007401800313,6,2.737161159515381,0.05117073496194396,1715711137.145427,0.04667924470932669
7,0.002121495000866419,8.00896954536438,0.12957320383470494,7,2.8116512298583984,0.04180743636686592,1715711137.2199244,0.039685941365999504
8,0.003462925919056595,8.084245681762695,0.09520631137541104,8,2.886854648590088,0.039744471642823145,1715711137.2952006,0.03628154572376655
9,0.005428932747350638,8.157476663589478,0.08923979368717073,9,2.960226058959961,0.030730198265997086,1715711137.3684316,0.02530126551864645
10,0.001774042769527958,8.230041027069092,0.08604715662257881,10,3.0327229499816895,0.024739807134502797,1715711137.440996,0.022965764364974838
11,0.0013002780267401834,8.305379152297974,0.07916153812547701,11,3.1080429553985596,0.023044806156286266,1715711137.516334,0.02174452812954608
12,0.002561795268192621,8.378646612167358,0.07620959084443428,12,3.1813628673553467,0.02164132653712196,1715711137.5896015,0.01907953126892934
13,0.003221987268400818,8.452599287033081,0.07071004481894277,13,3.255190134048462,0.020783933234175538,1715711137.6635542,0.01756194596577472
14,0.0035637443634476363,8.525403261184692,0.07520983207061367,14,3.328136682510376,0.018442806465405918,1715711137.7363582,0.01487906210195828
15,0.0030247464754440145,8.597140789031982,0.08234602204984826,15,3.3998069763183594,0.017186567141856523,1715711137.8080957,0.014161820666412507
16,0.002575285289871052,8.671230554580688,0.08816034798949302,16,3.4739174842834473,0.016567558951383014,1715711137.8821855,0.013992273661511961
17,0.0023732068633039107,8.746976852416992,0.09467136782388531,17,3.5496091842651367,0.01639467424447228,1715711137.9579318,0.014021467381168369
18,0.0021444216385602395,8.82007646560669,0.09782820326858392,18,3.622749090194702,0.016270529394077186,1715711138.0310314,0.014126107755516946
19,0.0020284848835860976,8.898560285568237,0.11103371634401088,19,3.701110601425171,0.016229613683024086,1715711138.1095152,0.014201128799437988
20,0.001304586858855815,8.974806785583496,0.11421121219805674,20,3.7775633335113525,0.015956749341613407,1715711138.1857617,0.01465216248275759
21,0.0011251536352195942,9.046860933303833,0.12524456068917542,21,3.849656820297241,0.015920090636255317,1715711138.2578158,0.014794937001035723
22,0.0007216115510650336,9.122393131256104,0.12566806777478198,22,3.9250874519348145,0.01565801619807294,1715711138.333348,0.014936404647007908
23,0.0007470645490648009,9.194806814193726,0.1123386269819727,23,3.9975697994232178,0.015653152699945643,1715711138.4057617,0.014906088150880844
24,0.002062431685648166,9.268648147583008,0.055670278223328894,24,4.071354866027832,0.014489299822454994,1715711138.479603,0.012426868136806827
25,0.004715653299385567,9.345689296722412,0.055670278223328894,25,4.148162603378296,0.013335399910582517,1715711138.5566442,0.00861974661119695
26,0.004715653299385567,9.420096158981323,0.055670278223328894,26,4.222872018814087,0.013335399910582517,1715711138.631051,0.00861974661119695
27,0.004715653299385567,9.493322610855103,0.05792053895230469,27,4.296041250228882,0.013335399910582517,1715711138.7042775,0.00861974661119695
28,0.004018285735624058,9.565537691116333,0.05792053895230469,28,4.368431329727173,0.012922261937815554,1715711138.7764926,0.008903976202191495
29,0.004018285735624058,9.637337446212769,0.058174482992292186,29,4.440047740936279,0.012922261937815554,1715711138.8482924,0.008903976202191495
30,0.004001623028286543,9.713016748428345,0.060414830448693495,30,4.515682697296143,0.012917220419572634,1715711138.9239717,0.008915597391286091
31,0.003030796201114576,9.787487030029297,0.060411408951512015,31,4.5901267528533936,0.01205256278107997,1715711138.998442,0.009021766579965396
32,0.0028690370695199823,9.86159610748291,0.059693649387905966,32,4.664279222488403,0.011919689660479755,1715711139.072551,0.009050652590959772
33,0.0026684461005909627,9.935785055160522,0.05704212179323585,33,4.738457202911377,0.011696666411897955,1715711139.14674,0.009028220311306992
34,0.0025390613014083592,10.008989810943604,0.05656816562554749,34,4.811603784561157,0.01140672594638477,1715711139.2199447,0.008867664644976412
35,0.002547160674121092,10.081579446792603,0.05762503653626568,35,4.884231090545654,0.011371954654437903,1715711139.2925344,0.008824793980316811
36,0.0023003924481610314,10.154319047927856,0.062111575143230256,36,4.957008361816406,0.01079959825514718,1715711139.365274,0.008499205806986149
37,0.0022188318905155455,10.22708511352539,0.06524880450235898,37,5.029795169830322,0.010609370250540838,1715711139.43804,0.008390538360025292
38,0.0021925903898456305,10.300619125366211,0.06826931383048147,38,5.103338718414307,0.01057482807166652,1715711139.511574,0.008382237681820889
39,0.0021489133716256705,10.374437808990479,0.07329086823588642,39,5.177151203155518,0.010548307903631258,1715711139.5853927,0.008399394532005588
40,0.0019976739980437914,10.447561979293823,0.0751880241063325,40,5.250160455703735,0.010480489220748386,1715711139.658517,0.008482815222704594
41,0.0016962865219079257,10.59011697769165,0.08509667636384816,42,5.392788887023926,0.010328310413454982,1715711139.801072,0.008632023891547056
