loss_interior,time,l2_error,_step,loss_boundary,loss,step,_timestamp,_runtime
121.19427431142233,2.6524829864501953,1.1441364263708746,0,1.472848557425189,122.66712286884753,0,1716414561.1209967,6.622551679611206
106.01429807240797,4.071970224380493,0.9032135384007263,1,0.7035401487089389,106.7178382211169,1,1716414562.2984684,7.800023317337036
89.73562553312017,5.2458131313323975,1.0885544754022305,2,0.42011548400420523,90.15574101712437,2,1716414563.4724572,8.97401213645935
40.44729021351668,6.422101736068726,1.149579417488876,3,0.7281688319843467,41.17545904550103,3,1716414564.6488006,10.150355577468872
34.52631226000832,7.599623441696167,1.213805767273696,4,0.8741805941466043,35.40049285415492,4,1716414565.8263686,11.32792353630066
33.74258409689351,8.776878833770752,1.213805767273696,5,0.9930715681305047,34.73565566502401,5,1716414567.0035858,12.505140781402588
33.74258409689351,9.953243255615234,1.2222837710110805,6,0.9930715681305047,34.73565566502401,6,1716414568.180057,13.681612014770508
33.71214245283088,11.129544019699097,1.2388869300563246,7,1.0081393014030058,34.72028175423389,7,1716414569.3564205,14.857975482940674
33.64714519214797,12.309924125671387,1.2552732160167248,8,1.0374978630153175,34.684643055163285,8,1716414570.536794,16.03834891319275
33.58357169764845,13.48672103881836,1.2880739351437032,9,1.0662998524563656,34.64987155010482,9,1716414571.7133799,17.214934825897217
33.47556397048138,14.664833784103394,1.3207492147486244,10,1.123689928131805,34.599253898613185,10,1716414572.891528,18.393082857131958
33.382459083239716,15.84228801727295,1.3522315121596706,11,1.1808898627009174,34.56334894594063,11,1716414574.0689404,19.57049536705017
33.256628416929374,17.01367473602295,1.412832544946866,12,1.2364083385941422,34.49303675552352,12,1716414575.2403395,20.741894483566284
32.9396693063227,18.18478226661682,1.5311104413330079,13,1.3450219918698016,34.2846912981925,13,1716414576.411422,21.91297698020935
32.344855383004834,19.35573935508728,1.6382409213235904,14,1.5652778499934277,33.91013323299826,14,1716414577.5823913,23.083946228027344
31.687350634686045,20.52688765525818,1.723119389917339,15,1.7768186410909097,33.46416927577695,15,1716414578.7535386,24.255093574523926
30.66817202055299,21.697893619537354,1.8393863134310324,16,1.9558784367023554,32.62405045725534,16,1716414579.9245944,25.426149368286133
28.2289473765094,22.870282411575317,1.9635010227913183,17,2.226756355460789,30.45570373197019,17,1716414581.0973172,26.598872184753418
23.721872189363786,24.04404854774475,2.063864781348907,18,2.5881466170651275,26.310018806428914,18,1716414582.271147,27.77270197868347
17.760977274214994,25.217716693878174,2.1128551043410746,19,2.9238784315554724,20.684855705770467,19,1716414583.4448118,28.946366786956787
16.95594612843723,26.39157199859619,2.141179241724696,20,3.053940367728591,20.00988649616582,20,1716414584.6184165,30.11997151374817
16.737519469187745,27.5654034614563,2.155327100763001,21,3.1253596913665485,19.862879160554293,21,1716414585.7923005,31.29385542869568
16.666562555874215,28.740009307861328,2.1686839098281387,22,3.160534505673532,19.827097061547747,22,1716414586.9668915,32.468446493148804
16.60608667812772,29.9133403301239,2.1810123253120177,23,3.193711808380493,19.799798486508212,23,1716414588.1402311,33.641786098480225
16.54816499981556,31.087376356124878,2.203542887566421,24,3.2245338904016863,19.77269889021725,24,1716414589.31428,34.81583499908447
16.44105575830134,32.261075019836426,2.2441063178457616,25,3.2816104984279426,19.72266625672928,25,1716414590.4881608,35.989715814590454
16.268629782346213,33.43573617935181,2.3121544707000443,26,3.387177431150759,19.65580721349697,26,1716414591.6627033,37.16425824165344
15.85848700837347,34.60976028442383,2.6997953115798223,27,3.5761325632018135,19.434619571575283,27,1716414592.8370507,38.338605642318726
8.945593565822353,35.7870090007782,2.712668009639562,28,4.967974516776565,13.913568082598918,28,1716414594.0143657,39.515920639038086
8.437990091027364,36.96444034576416,2.6850284263997595,29,5.038064118323851,13.476054209351215,29,1716414595.1919343,40.69348931312561
7.1756517717087505,38.14372539520264,2.66634237544156,30,4.957182983461826,12.132834755170578,30,1716414596.3717604,41.87331533432007
6.077424298238034,39.325138330459595,2.675819509893372,31,4.866153292457632,10.943577590695666,31,1716414597.552691,43.054245948791504
5.738198614363787,40.50436758995056,2.6813020164275456,32,4.885712913655797,10.623911528019583,32,1716414598.7322443,44.23379921913147
5.67728309284768,41.683847427368164,2.6958214130870837,33,4.901865490449148,10.579148583296828,33,1716414599.9116297,45.41318464279175
5.5564845999013395,42.86741614341736,2.7027276684834236,34,4.9468855041546895,10.503370104056028,34,1716414601.095003,46.59655785560608
5.503859951318636,44.04870104789734,2.7136920527387947,35,4.967916296645751,10.471776247964387,35,1716414602.276314,47.77786898612976
5.3568374574294575,45.229910135269165,2.72332434900854,36,4.999530243427869,10.356367700857326,36,1716414603.457573,48.95912790298462
5.079397769940223,46.41113495826721,2.7114856910074594,37,5.018856386428302,10.098254156368526,37,1716414604.638752,50.14030694961548
4.75010129111906,47.59330725669861,2.641052385939452,38,4.963678413696248,9.713779704815309,38,1716414605.8209963,51.322551250457764
4.373672955503216,48.77464580535889,2.583198325711416,39,4.69655748586712,9.070230441370336,39,1716414607.002435,52.503989934921265
4.388842714656114,49.9565372467041,2.5077742386166553,40,4.493161350081427,8.88200406473754,40,1716414608.1843054,53.68586039543152
4.368433867526773,52.300700426101685,2.2516112201951963,41,3.9688674494023695,8.337301316929143,42,1716414610.5284584,56.0300133228302
3.3778414176525904,56.96735167503357,1.908887257345362,42,2.552315767760533,5.930157185413123,46,1716414615.1953223,60.696877241134644
2.623460803147069,61.638915061950684,1.4749411578845646,43,1.7156543038519783,4.3391151069990475,50,1716414619.8673847,65.36893963813782
