l2_error,loss_boundary,step,_step,loss,_timestamp,_runtime,time,loss_interior
1.733070002197532,1.4817143299829294,0,0,123.05843355728524,1716205536.07886,10.217420101165771,3.860874891281128,121.5767192273023
2.6904816245277035,2.111415335222411,1,1,20.5711694374645,1716205538.0175805,12.156140565872192,6.703595161437988,18.45975410224209
1.056337803172029,4.991846320802301,2,2,9.63832218612547,1716205540.000182,14.138741970062256,8.68577265739441,4.646475865323168
0.9464738992972986,0.7424103681905,3,3,3.3571228017206076,1716205542.0227227,16.161282777786255,10.7083740234375,2.6147124335301077
0.5032634821956454,0.6204253979568566,4,4,1.381711987800116,1716205544.0905652,18.229125261306763,12.776039838790894,0.7612865898432596
0.25687842361904006,0.18255060903247886,5,5,0.6876976537832473,1716205546.2002268,20.338786840438843,14.885647773742676,0.5051470447507684
0.247348435039688,0.052730852893961254,6,6,0.3776042983079714,1716205548.359077,22.497637033462524,17.044562101364136,0.32487344541401014
0.24570677353240597,0.05133132752800399,7,7,0.19259850632504896,1716205550.5492315,24.68779158592224,19.234496116638184,0.14126717879704498
0.21768755272504542,0.05268689432336081,8,8,0.12287232344898506,1716205552.8052208,26.94378089904785,21.489275455474854,0.07018542912562425
0.1786099142614368,0.04121104813865285,9,9,0.08622382712363597,1716205555.0861137,29.224673748016357,23.77156114578247,0.045012778984983105
0.11891045625128543,0.02804798317539713,10,10,0.06290942175963114,1716205557.4044795,31.543039560317993,26.089818000793457,0.03486143858423401
0.08217886287379982,0.01266176790549315,11,11,0.04040778921218883,1716205559.7623506,33.90091061592102,28.447662115097046,0.02774602130669568
0.056113421610297816,0.0061750158796556815,12,12,0.026171512167375493,1716205562.1542406,36.29280066490173,30.839171648025513,0.019996496287719812
0.04051039554099368,0.002998463658361402,13,13,0.015891910591517178,1716205564.602569,38.74112915992737,33.287710666656494,0.012893446933155776
0.0317072138998789,0.0016355315079849395,14,14,0.010966875574837106,1716205567.0761938,41.21475386619568,35.7611129283905,0.009331344066852166
0.028638771584820283,0.0010454715235150747,15,15,0.007353926599330304,1716205569.5888405,43.72740054130554,38.274004220962524,0.006308455075815229
0.026656428565916587,0.0008682598972350965,16,16,0.005446010421503128,1716205572.1704504,46.30901050567627,40.85566854476929,0.004577750524268031
0.022959455360613855,0.0007386990768932568,17,17,0.0043253280714307145,1716205574.7467365,48.88529658317566,43.43194532394409,0.0035866289945374577
0.019543853748129385,0.0005534032525170045,18,18,0.0034164362741809697,1716205577.3183308,51.45689082145691,46.00352931022644,0.002863033021663965
0.01735455916336199,0.0003946106411568728,19,19,0.0026462300533012335,1716205579.8932297,54.031789779663086,48.57838296890259,0.0022516194121443606
0.016973066966891222,0.0003103894188454999,20,20,0.002080670197564026,1716205582.4796226,56.61818265914917,51.164700746536255,0.0017702807787185262
0.015941075371063953,0.00028329327382654396,21,21,0.001661212256649946,1716205585.0463812,59.18494129180908,53.731364011764526,0.0013779189828234022
0.015020501280026343,0.0002495320932256498,22,22,0.0013209212770959374,1716205587.6173048,61.75586485862732,56.30233979225159,0.0010713891838702876
0.014920193264047796,0.00022091246462124865,23,23,0.0011268521356688677,1716205590.186489,64.32504916191101,58.87165546417236,0.000905939671047619
0.015232748322360596,0.00021656847084111348,24,24,0.0009708713730058827,1716205592.7517178,66.89027786254883,61.436816930770874,0.0007543029021647692
0.014563131368420098,0.00021841737029834761,25,25,0.0008197254888321742,1716205595.288939,69.42749905586243,63.97414183616638,0.0006013081185338266
0.013944129681515368,0.00019909862725322837,26,26,0.0007150862464935324,1716205597.8169003,71.9554603099823,66.50203609466553,0.000515987619240304
0.01346125382263723,0.00018511740024799487,27,27,0.0006441239061659824,1716205600.3607569,74.49931693077087,69.04594731330872,0.0004590065059179876
0.012990521782829834,0.0001709477715533178,28,28,0.0005901449925106972,1716205602.9272556,77.06581568717957,71.61227631568909,0.00041919722095737946
0.012293162366830493,0.00015745467632276322,29,29,0.0005434340667526594,1716205605.4951952,79.63375520706177,74.18008995056152,0.00038597939042989615
0.012063288943301973,0.0001409438903353878,30,30,0.0004961442958218412,1716205608.0649886,82.20354866981506,76.75000214576721,0.00035520040548645346
0.011716704769275848,0.00013476000281551924,31,31,0.0004592021795123629,1716205610.6261957,84.7647557258606,79.3113226890564,0.00032444217669684366
0.01126302892743712,0.00012526640809821369,32,32,0.0004253937368241089,1716205613.1921685,87.33072853088379,81.87727284431458,0.0003001273287258952
0.010973859745990286,0.0001160258761378384,33,33,0.0004002172597420744,1716205615.775088,89.91364812850952,84.46016573905945,0.000284191383604236
0.010607628881875844,0.00010914677456513717,34,34,0.0003707443200660018,1716205618.3298633,92.46842336654663,87.0149712562561,0.0002615975455008646
0.01037827383100034,0.0001026988235588113,35,35,0.00034579668701024215,1716205620.8952234,95.03378343582153,89.58030033111572,0.00024309786345143086
0.00994059195756233,9.753341278122498e-05,36,36,0.0003278386573162194,1716205623.4752192,97.61377930641174,92.16026520729065,0.00023030524453499442
0.009502554069691305,9.057194811734742e-05,37,37,0.0003106355920067666,1716205626.0433671,100.18192720413208,94.72840023040771,0.0002200636438894192
0.009067209988585366,8.291277377566829e-05,38,38,0.00029441833862522976,1716205628.5981038,102.73666381835938,97.28311419487,0.00021150556484956148
0.008687236944460226,7.523005731900338e-05,39,39,0.0002791696915415963,1716205631.172812,105.31137204170227,99.8575975894928,0.00020393963422259291
0.008353492159167454,6.94946573201621e-05,40,40,0.00026703486773419237,1716205633.7507734,107.889333486557,102.43567943572998,0.00019754021041403028
0.008008212756150102,6.181030371461627e-05,42,41,0.00024649887921239917,1716205638.8990047,113.03756475448608,107.5840437412262,0.0001846885754977829
0.007169139319899787,5.139408388623207e-05,46,42,0.00021427363175005267,1716205649.1042922,123.24285221099854,117.78935384750366,0.0001628795478638206
0.006832477783201484,4.601649659496709e-05,50,43,0.00018853251463637352,1716205659.3379493,133.47650933265686,128.02290773391724,0.00014251601804140642
