time,loss_interior,loss_boundary,step,_runtime,l2_error,loss,_step,_timestamp
1.3723313808441162,128.40312366804486,1.46923991609473,0,6.025567054748535,1.56108402517422,129.87236358413958,0,1716042702.1106071
3.4125778675079346,80.32768213567783,1.5482484222584039,1,7.785895824432373,1.5605435830392598,81.87593055793624,1,1716042703.870936
4.282939195632935,54.031381666083625,1.36637148971925,2,8.65604281425476,1.3356684840754416,55.397753155802874,2,1716042704.741083
5.578179597854614,40.01380484214498,1.2857652681111622,3,9.951300382614136,0.6262601585371023,41.29957011025614,3,1716042706.0363405
7.4004528522491455,32.280914667997926,0.22439037796384476,4,11.77354907989502,0.3059415801340432,32.50530504596177,4,1716042707.8585892
8.480477809906006,3.6794940718275027,0.05826290687741271,5,12.853668212890625,0.21801403954210263,3.7377569787049154,5,1716042708.9387083
11.185343742370605,1.2497836990968518,0.037192263067785176,6,15.559763193130493,0.12273327754505471,1.286975962164637,6,1716042711.6448033
13.478384017944336,0.16774976203047312,0.010960551333863394,7,17.85155749320984,0.06738558389655414,0.17871031336433651,7,1716042713.9365976
16.464146614074707,0.011908402971678698,0.0029620972987259918,8,20.83748984336853,0.022544273812698613,0.01487050027040469,8,1716042716.92253
19.081417322158813,0.0027224845304975706,0.0005103053460584076,9,23.454618215560913,0.01657676857832227,0.003232789876555978,9,1716042719.5396583
22.580584287643433,0.0011241434847521097,0.0002791092089379373,10,26.953712940216064,0.013942042664452309,0.001403252693690047,10,1716042723.038753
26.38015913963318,0.0006659526895431024,0.00019687068361954108,11,30.753302574157715,0.012328246038058675,0.0008628233731626436,11,1716042726.8383427
30.035186052322388,0.0004461552701644345,0.00015859637976809753,12,34.40829133987427,0.011464651167683956,0.000604751649932532,12,1716042730.4933314
33.61594820022583,0.00033811580103193463,0.00013631078203592753,13,37.98907446861267,0.010783187066376257,0.00047442658306786213,13,1716042734.0741146
37.128735065460205,0.00027497017790054,0.00012090338449721085,14,41.50194215774536,0.010250719276875287,0.0003958735623977508,14,1716042737.5869823
41.0169894695282,0.00023102362934877656,0.0001095847892148175,15,45.39036798477173,0.009827129556265406,0.00034060841856359405,15,1716042741.475408
44.71507787704468,0.00019887895231709084,0.00010099300427500597,16,49.08829045295715,0.009480371243734203,0.0002998719565920968,16,1716042745.1733305
47.92615222930908,0.00017408912582094586,9.420726617109527e-05,17,52.29929256439209,0.009192904718851074,0.00026829639199204116,17,1716042748.3843327
51.07037854194641,0.00015433556818508922,8.857657244679511e-05,18,55.44350528717041,0.00894866711137281,0.00024291214063188433,18,1716042751.5285454
54.58885979652405,0.00013823222239356452,8.37745250176139e-05,19,58.96199607849121,0.008721655346587165,0.00022200674741117843,19,1716042755.0470362
57.8418927192688,0.00012508398944409516,7.955757898014846e-05,20,62.215033292770386,0.008513383512110112,0.00020464156842424364,20,1716042758.3000734
61.30761361122131,0.00011426488802417956,7.58288882401438e-05,21,65.68074655532837,0.008322185201137923,0.00019009377626432334,21,1716042761.7657866
64.23286700248718,0.00010507604905427458,7.243947543376845e-05,22,68.60608053207397,0.0081437258848785,0.00017751552448804303,22,1716042764.6911206
67.13826894760132,9.710511571367445e-05,6.934319335791184e-05,23,71.51164054870605,0.00797610303027292,0.00016644830907158628,23,1716042767.5966806
70.11139130592346,9.014611154430336e-05,6.649898866046734e-05,24,74.4846556186676,0.00781801794879733,0.0001566451002047707,24,1716042770.5696957
73.10341739654541,8.402557930115328e-05,6.387489338558631e-05,25,77.47655439376831,0.007668560553414803,0.0001479004726867396,25,1716042773.5615945
76.09092617034912,7.861023068097876e-05,6.144404977730592e-05,26,80.4640543460846,0.007526805175701534,0.00014005428045828469,26,1716042776.5490944
79.11040759086609,7.378833927595507e-05,5.9184851088636986e-05,27,83.48353695869446,0.007392073374488961,0.00013297319036459205,27,1716042779.568577
82.13315272331238,6.947251953990466e-05,5.707836660335996e-05,28,86.50627851486206,0.007263709576841248,0.00012655088614326463,28,1716042782.5913186
85.24345088005066,6.558821428867475e-05,5.510939006928032e-05,29,89.61659121513367,0.007141248485556362,0.00012069760435795507,29,1716042785.7016313
88.26047945022583,6.207548350512835e-05,5.326420503394792e-05,30,92.63360619544983,0.007024290259278713,0.00011533968853907627,30,1716042788.7186463
91.2936897277832,5.888487625100722e-05,5.153157231759533e-05,31,95.66682744026184,0.0069122887909060194,0.00011041644856860254,31,1716042791.7518675
94.34755682945251,5.597391515180219e-05,4.990132350241399e-05,32,98.72076320648193,0.006805003963314855,0.00010587523865421618,32,1716042794.8058033
97.45301032066345,5.3307192990635974e-05,4.836477700138775e-05,33,101.82633924484253,0.006702126805420186,0.00010167196999202372,33,1716042797.9113793
100.50615167617798,5.085574756838024e-05,4.69141153492779e-05,34,104.87934517860413,0.006603333317652231,9.776986291765814e-05,34,1716042800.9643853
103.50732564926147,4.859414765957591e-05,4.554257848518308e-05,35,107.88055205345154,0.0065083843942917545,9.4136726144759e-05,35,1716042803.9655921
106.61198043823242,4.650112052131009e-05,4.424395072888938e-05,36,110.98511362075806,0.006417042272446271,9.074507125019947e-05,36,1716042807.0701537
109.65380716323853,4.4558198287832e-05,4.301275218122458e-05,37,114.02692294120789,0.0063291157116222565,8.757095046905657e-05,37,1716042810.111963
112.69175124168396,4.274979784546062e-05,4.184406813306086e-05,38,117.0648820400238,0.006244429428177796,8.459386597852147e-05,38,1716042813.1499221
115.78490900993347,4.106216167035328e-05,4.0733472444078824e-05,39,120.1580867767334,0.006162743755205457,8.17956341144321e-05,39,1716042816.2431269
