l2_error,_step,loss_interior,loss,step,_runtime,time,_timestamp,loss_boundary
1.564695018307818,0,122.56912432524902,124.08265238026816,0,5.241855621337891,1.1431705951690674,1715937845.0326617,1.5135280550191317
1.5613783596588664,1,122.52784326948634,124.03448523091112,1,5.2874884605407715,1.4463982582092285,1715937845.0782945,1.5066419614247826
1.5580648476088683,2,122.48637610658002,123.98617201867036,2,5.330649375915527,1.4855906963348389,1715937845.1214554,1.49979591209033
1.554744149265249,3,122.44459936915557,123.93756807208881,3,5.373460531234741,1.5276899337768555,1715937845.1642666,1.492968702933239
1.5514067016023023,4,122.40238110449032,123.88852023154992,4,5.414489269256592,1.5703744888305664,1715937845.2052953,1.4861391270596025
1.5480435485409987,5,122.3595793768785,123.83886729067085,5,5.449399471282959,1.6117002964019775,1715937845.2402055,1.4792879137923454
1.5446465233712987,6,122.3160492958556,123.78844664255212,6,5.484226226806641,1.6462783813476562,1715937845.2750323,1.4723973466965061
1.5412078623089474,7,122.27164533556767,123.73709679286243,7,5.518674850463867,1.6810245513916016,1715937845.309481,1.4654514572947563
1.537719785469787,8,122.22622114726481,123.68465631286294,8,5.552834987640381,1.7152140140533447,1715937845.343641,1.4584351655981287
1.5341742984134588,9,122.17962713037949,123.63096057090361,9,5.590577125549316,1.7545530796051025,1715937845.3813832,1.451333440524126
1.530563184780098,10,122.13170768605522,123.57583861732732,10,5.6269755363464355,1.7928440570831299,1715937845.4177816,1.4441309312720942
1.5268780345600392,11,122.08229943410348,123.51911142387362,11,5.663679122924805,1.8301668167114258,1715937845.4544852,1.4368119897701543
1.523110260165958,12,122.03123051922525,123.46059127897317,12,5.699904203414917,1.8655683994293213,1715937845.4907103,1.429360759747916
1.5192511411997378,13,121.97832044949688,123.4000816840692,13,5.736480474472046,1.903242588043213,1715937845.5272865,1.4217612345723252
1.5152918490114988,14,121.92337984584739,123.3373772176953,14,5.772929906845093,1.9396617412567139,1715937845.563736,1.4139973718479182
1.5112234179212531,15,121.8662099361051,123.27226309961506,15,5.809426307678223,1.9751510620117188,1715937845.6002324,1.4060531635099653
1.5070366967823297,16,121.80660180204356,123.20451439456217,16,5.845853805541992,2.01230525970459,1715937845.6366599,1.3979125925186076
