l2_error,_timestamp,loss_boundary,time,_runtime,loss,step,loss_interior,_step
1.568519354097863,1715889048.2140572,1.5065911277318942,1.109537124633789,5.9250712394714355,125.70620408701404,0,124.19961295928215,0
1.5679701463969453,1715889048.2630038,1.5060287645377706,1.6716294288635254,5.974017858505249,125.70214661180945,1,124.19611784727168,1
1.5671509788840188,1715889048.3074944,1.5049107376614852,1.714324712753296,6.018508434295654,125.69407339727867,2,124.18916265961718,2
1.5660645923803271,1715889048.3519711,1.5032434336367193,1.7586987018585205,6.062985181808472,125.6820173281842,3,124.17877389454748,3
1.5647133267924684,1715889048.3962798,1.5010327646416874,1.8027737140655518,6.1072938442230225,125.66600106243548,4,124.16496829779379,4
1.5630989719605939,1715889048.432397,1.4982839329089905,1.8478798866271973,6.143410921096802,125.64603488320628,5,124.1477509502973,5
1.5612225873012584,1715889048.4687982,1.495001127462841,1.8836445808410645,6.17981219291687,125.62211380883736,6,124.12711268137451,6
1.559084292922696,1715889048.5051515,1.4911871596881172,1.9200923442840576,6.216165542602539,125.59421397764672,7,124.1030268179586,7
1.5566830344874816,1715889048.542766,1.4868430438889515,1.9563658237457275,6.253780126571655,125.56228830821108,8,124.07544526432213,8
1.5540163235173592,1715889048.5789065,1.48196752832141,1.9944162368774414,6.2899205684661865,125.52626141440011,9,124.0442938860787,9
1.5510799540667741,1715889048.6146476,1.4765565811803372,2.029914379119873,6.325661659240723,125.48602372737119,10,124.00946714619086,10
1.5478676957205437,1715889048.6504436,1.4706028346861253,2.0658140182495117,6.361457586288452,125.44142474257977,11,123.97082190789365,11
1.544370961672628,1715889048.68632,1.464094988754213,2.1017775535583496,6.397334098815918,125.39226526696277,12,123.92817027820855,12
1.5405784491746,1715889048.7223375,1.4570171737313276,2.1378746032714844,6.433351516723633,125.33828848755014,13,123.88127131381881,13
1.536475747832519,1715889048.7583373,1.449348269320987,2.1739583015441895,6.469351291656494,125.27916961469766,14,123.82982134537667,14
1.5320449089619403,1715889048.7941756,1.4410611740355477,2.2094924449920654,6.505189657211304,125.2145037664317,15,123.77344259239615,15
1.5272639662952037,1715889048.8303638,1.432122016187786,2.2459845542907715,6.541377782821655,125.1437916486506,16,123.71166963246282,16
1.5221063944789006,1715889048.866262,1.4224892933738664,2.2817444801330566,6.577275991439819,125.06642243990953,17,123.64393314653566,17
1.5165404865466348,1715889048.902184,1.4121129222808637,2.3177525997161865,6.6131980419158936,124.98165309583815,18,123.56954017355729,18
1.5105286242009017,1715889048.9379084,1.4009331739728565,2.353372573852539,6.648922443389893,124.88858302735018,19,123.48764985337732,19
1.5040264042103346,1715889048.9737384,1.3888794607978747,2.3893988132476807,6.684752464294434,124.78612274986074,20,123.39724328906286,20
1.4969815688725034,1715889049.0094411,1.3758689285446946,2.425187587738037,6.720455169677734,124.67295460481317,21,123.29708567626848,21
1.4893326657767716,1715889049.0451605,1.3618047897124865,2.461122751235962,6.756174564361572,124.54748295536342,22,123.18567816565094,22
1.4810073281524228,1715889049.0809767,1.3465743081404922,2.496860980987549,6.791990756988525,124.40777025691014,23,123.06119594876965,23
1.4719200159861157,1715889049.1172657,1.3300463079720386,2.532848834991455,6.828279733657837,124.25145394944751,24,122.92140764147547,24
1.461968980830297,1715889049.1535177,1.312068025504526,2.5689892768859863,6.864531755447388,124.0756369782117,25,122.76356895270717,25
1.4510321001678133,1715889049.189774,1.2924610431640884,2.6051740646362305,6.900788068771362,123.87674155448202,26,122.58428051131794,26
1.4389610499179633,1715889049.2260628,1.2710159301315076,2.641479730606079,6.937076807022095,123.65031093839906,27,122.37929500826755,27
1.425573016013664,1715889049.2619998,1.2474850506515267,2.6779062747955322,6.973013877868652,123.39073663280175,28,122.14325158215021,28
1.410638744516554,1715889049.2979746,1.2215727737763482,2.713442802429199,7.008988618850708,123.09087693111253,29,121.86930415733619,29
1.3938651343912314,1715889049.3339963,1.1929220154134321,2.750087261199951,7.045010328292847,122.74151485564921,30,121.54859284023578,30
1.3748697106631032,1715889049.3700447,1.1610956697613157,2.785879373550415,7.081058740615845,122.33057525357688,31,121.16947958381557,31
