loss_boundary,loss,time,_step,l2_error,_runtime,step,_timestamp,loss_interior
1.4859162905632222,123.76418148628935,1.9666643142700195,0,1.5710481944081223,5.986883640289307,0,1716245235.4628875,122.27826519572612
1.4859152122714367,123.76417289575535,2.689105749130249,1,12.80913063298299,6.439400911331177,1,1716245235.9154048,122.27825768348391
81.23710881011345,772857.5712499982,3.1420373916625977,2,3.1331020670755296,6.892191171646118,2,1716245236.368195,772776.3341411881
5.490477527306606,35584.30653760292,3.5946826934814453,3,1.9282117690853022,7.344793081283569,3,1716245236.820797,35578.81606007561
2.2782144606317747,7002.918315499517,4.048039197921753,4,1.61032439616033,7.798292875289917,4,1716245237.2742968,7000.640101038885
1.7027947825765726,512.9746021302002,4.502046346664429,5,1.5101181134353012,8.253823518753052,5,1716245237.7298274,511.2718073476237
1.5510699213943784,215.29483160682526,4.9595537185668945,6,1.4542390997875168,8.709749460220337,6,1716245238.1857533,213.74376168543088
1.465927056229873,109.92537845298223,5.413365125656128,7,1.50555912507402,9.16350531578064,7,1716245238.6395092,108.45945139675236
1.5723046611272196,87.18783429968933,5.867398023605347,8,1.564169381733453,9.617737054824829,8,1716245239.093741,85.61552963856211
1.6900738426575233,36.481569081864656,6.321197509765625,9,1.6206540860342318,10.072075366973877,9,1716245239.5480793,34.79149523920713
1.8017596266006615,28.051858786064496,6.7759928703308105,10,1.6567936155543075,10.526200771331787,10,1716245240.0022047,26.250099159463836
1.8843203831616955,23.47463693585547,7.233338832855225,11,1.739816668699668,10.983669996261597,11,1716245240.459674,21.590316552693775
2.072647824183886,17.841380476546906,7.687870979309082,12,1.78409292454917,11.439011096954346,12,1716245240.915015,15.768732652363019
2.174996905948864,15.027543384600559,8.143493890762329,13,1.7763464420123514,11.894368648529053,13,1716245241.3703725,12.852546478651695
2.153812364206483,11.283346542385832,8.598053693771362,14,1.7346009554686241,12.348260879516602,14,1716245241.8242648,9.129534178179348
2.059572552814783,9.51980193897881,9.051280736923218,15,1.6947487689973035,12.80136513710022,15,1716245242.277369,7.460229386164027
1.9575395673388876,8.523816063470893,9.504097938537598,16,1.6130096676708001,13.254254341125488,16,1716245242.7302582,6.566276496132004
1.7547679460411492,7.191166384194213,9.956614017486572,17,1.4589649895873724,13.706705093383789,17,1716245243.182709,5.436398438153064
1.4350005280944103,5.873638307898664,10.409142255783081,18,1.3018189972794392,14.159226417541504,18,1716245243.6352303,4.438637779804253
1.1412093013708493,5.168225207719139,10.86501145362854,19,1.0226079469060352,14.615084171295166,19,1716245244.091088,4.02701590634829
0.6992920488664067,3.751020404642306,11.31804609298706,20,0.8991806411582901,15.06819748878479,20,1716245244.5442014,3.051728355775899
0.5392512547066148,3.3390286686573107,11.771186828613281,21,0.7933421196660003,15.521225214004517,21,1716245244.997229,2.799777413950696
