loss,_step,time,_timestamp,loss_interior,step,_runtime,l2_error,loss_boundary
124.22442694356862,0,2.1032683849334717,1715870820.4689393,122.79211073975024,0,6.100637197494507,1.1341092725068966,1.43231620381837
110.00570398679172,1,3.388995885848999,1715870821.4130108,109.35044196180633,1,7.044708728790283,0.907512987824615,0.6552620249853863
99.7138714700491,2,4.337038040161133,1715870822.3599806,99.27525858338464,2,7.991678476333618,1.0001339348384286,0.43861288666446163
81.0045997662399,3,5.286955833435059,1715870823.309742,80.53030534047461,3,8.941439867019653,0.4725196459801948,0.47429442576529823
64.13750004457788,4,6.232489585876465,1715870824.2552464,63.99054191512798,4,9.88694429397583,0.5984361246959327,0.14695812944989495
52.42832402958995,5,7.175853967666626,1715870825.1987119,52.17542747539768,5,10.83040976524353,0.7135577878267833,0.25289655419226914
46.58259344837872,6,8.117642164230347,1715870826.140494,46.235958216739206,6,11.772192001342773,0.6346242836609299,0.34663523163951016
42.390640549321084,7,9.080713748931885,1715870827.1037169,42.070931908400574,7,12.735414743423462,1.1238926811179133,0.3197086409205074
32.63126183985349,8,10.048359632492065,1715870828.0714378,31.74300604843427,8,13.70313572883606,1.1117617461834797,0.8882557914192152
31.082659834378582,9,11.01549768447876,1715870829.0383568,30.244019420079642,9,14.67005467414856,1.0774417637406692,0.8386404142989381
29.84206198326526,10,11.96483826637268,1715870829.9876993,29.022608930470593,10,15.619397163391113,1.107366403258978,0.8194530527946688
29.334591630706473,11,12.908924102783203,1715870830.931889,28.46023494120218,11,16.563586950302124,1.121964029931232,0.8743566895042917
28.774654133702153,12,13.853289365768433,1715870831.8762023,27.89237241735295,12,17.50790023803711,1.1311303153565906,0.8822817163492064
28.360642653447684,13,14.817591667175293,1715870832.840447,27.45370156867195,13,18.472144842147827,1.1668792595016348,0.9069410847757351
27.897524174339257,14,15.776857852935791,1715870833.7997007,26.95030473880445,14,19.431398630142212,1.1767420796314167,0.9472194355348047
27.477463547651915,15,16.73937964439392,1715870834.7621949,26.50044400945573,15,20.393892765045166,1.189269025356551,0.9770195381961845
27.150795838651995,16,17.71565270423889,1715870835.7386668,26.161388246147315,16,21.370364665985107,1.2253928311974658,0.9894075925046792
26.788457840950894,17,18.679001331329346,1715870836.701847,25.733832528921944,17,22.333544969558716,1.2324041459381048,1.0546253120289497
26.43647601086578,18,19.652950286865234,1715870837.6757376,25.381153853790856,18,23.307435512542725,1.248592229970507,1.055322157074921
26.137424096094765,19,20.628705978393555,1715870838.6519043,25.04601404778401,19,24.283602237701416,1.2588645401366083,1.0914100483107565
25.87554641625193,20,21.596354007720947,1715870839.6193554,24.772895358888647,20,25.25105333328247,1.2983797819670921,1.1026510573632837
25.592177317398743,21,22.5654776096344,1715870840.5884526,24.416494587897905,21,26.220150470733643,1.295214800932773,1.1756827295008376
25.2790563925898,22,23.543047428131104,1715870841.5659218,24.111314128606935,22,27.197619676589966,1.533541380002633,1.167742263982865
23.447184978700527,23,24.505351781845093,1715870842.5284371,21.872157351168838,23,28.16013503074646,1.5262102422775032,1.57502762753169
22.258279215589486,24,25.477478504180908,1715870843.5004086,20.664163404742588,24,29.13210654258728,1.55620843764435,1.594115810846896
22.06374837018333,25,26.441321849822998,1715870844.4643135,20.404402826075138,25,30.09601140022278,1.5537524932716575,1.6593455441081915
21.928211867118495,26,27.421329259872437,1715870845.444262,20.275764799583015,26,31.07595992088318,2.2393498808804124,1.6524470675354805
17.581014272143424,27,28.389789581298828,1715870846.4128277,14.210359568758728,27,32.04452562332153,2.216922007104994,3.3706547033846967
17.368342470781755,28,29.368044137954712,1715870847.390986,14.078246105656183,28,33.02268385887146,2.203125978278543,3.290096365125571
17.237626535525635,29,30.34694194793701,1715870848.3697894,13.965450589675596,29,34.001487255096436,2.199884374833437,3.272175945850038
17.12213015793371,30,31.308943033218384,1715870849.3320475,13.868937518714281,30,34.96374535560608,2.185993430490642,3.253192639219431
16.592590934687763,31,32.2800931930542,1715870850.3029878,13.367774222051793,31,35.934685707092285,2.1862443156492706,3.2248167126359717
16.442136423087373,32,33.248549938201904,1715870851.2714157,13.226671710352274,32,36.90311360359192,2.244417611151066,3.215464712735097
16.31312195162819,33,34.21718883514404,1715870852.2401712,12.92629652248871,33,37.87186908721924,2.2325681902764627,3.3868254291394777
16.198869554282815,34,35.192882776260376,1715870853.215901,12.854071669870992,34,38.84759879112244,2.2253619537971834,3.3447978844118245
16.116377718527893,35,36.15649724006653,1715870854.1793132,12.78362406909632,35,39.81101107597351,2.222523755907654,3.3327536494315746
16.06577339667811,36,37.090951442718506,1715870855.1139731,12.74601336478579,36,40.74567103385925,2.241332773276345,3.3197600318923186
15.927195264182743,37,38.06900191307068,1715870856.091933,12.546435453140376,37,41.72363090515137,2.234753743849567,3.380759811042367
15.85420722586883,38,39.029051303863525,1715870857.0520587,12.498380293494154,38,42.683756589889526,2.2451650561997596,3.3558269323746766
15.789485552837977,39,39.9729220867157,1715870857.9960656,12.39797987421101,39,43.627763509750366,2.2407324912879187,3.391505678626967
15.739584177204504,40,40.91478896141052,1715870858.9378202,12.365411740926612,40,44.569518089294434,2.2645585490899665,3.3741724362778913
15.542232624695453,41,42.78135299682617,1715870860.804208,12.135521832576273,42,46.43590593338013,2.2608403055962167,3.4067107921191795
15.275039599461012,42,46.61649417877197,1715870864.639525,11.817295027736218,46,50.271222829818726,2.2800784367186333,3.4577445717247937
15.089973974349796,43,50.36334824562073,1715870868.3863833,11.59328274207381,50,54.018081188201904,2.2920653503016677,3.4966912322759853
