_timestamp,_step,l2_error,loss_interior,loss,step,_runtime,loss_boundary,time
1716251097.774624,0,0.34618881299940646,0.00041418499753252756,0.5324957759357283,0,5.87138819694519,0.5320815909381957,1.678269863128662
1716251098.4744184,1,0.31490192549063095,0.03170458698380988,0.10109198061572844,1,6.571182489395142,0.06938739363191855,2.6917564868927
1716251099.1740644,2,0.29408004187453357,0.018941964032640122,0.07781833772814926,2,7.270828485488892,0.05887637369550914,3.391770601272583
1716251100.0391533,3,0.22758221869675324,0.0063175705765612985,0.05774032882017707,3,8.13591742515564,0.05142275824361577,4.256812572479248
1716251101.214729,4,0.16206559810519322,0.005520870676608608,0.037213302871560786,4,9.311493158340454,0.03169243219495218,5.432387351989746
1716251102.6812522,5,0.15217250286471057,0.011690150629004085,0.029391144135432538,5,10.778016328811646,0.017700993506428453,6.898787021636963
1716251104.3009624,6,0.14689820180889138,0.008590735999500856,0.024492757474108798,6,12.39772653579712,0.015902021474607942,8.517284631729126
1716251106.0468504,7,0.141671956833387,0.004431213042908625,0.01933339612035568,7,14.143614530563354,0.014902183077447053,10.264395713806152
1716251108.033917,8,0.13470756661336244,0.002154775747142707,0.015989547140442855,8,16.130681037902832,0.013834771393300149,12.251396656036377
1716251110.1853492,9,0.12448653119791618,0.0016690393997111628,0.014117324527821102,9,18.282113313674927,0.01244828512810994,14.402804136276245
1716251112.65464,10,0.11116034940303583,0.002126676323935344,0.0126931177135075,10,20.75140404701233,0.010566441389572155,16.872066497802734
1716251115.2402906,11,0.09731436674824212,0.0032955904562347307,0.011635608507025257,11,23.33705472946167,0.008340018050790527,19.45764994621277
1716251117.9928372,12,0.08346357404163111,0.004803826328359229,0.011018400307319608,12,26.089601278305054,0.00621457397896038,22.209653615951538
1716251121.1614523,13,0.06758753521325006,0.0057730422953710964,0.010260338642021992,13,29.258216381072998,0.004487296346650896,25.377815008163452
1716251126.0188715,14,0.042914505032843865,0.0023516154626508287,0.005015348229754428,14,34.11563563346863,0.0026637327671036,30.234930515289307
1716251130.1868255,15,0.010709492969434789,0.0011694521714816072,0.002157816390176738,15,38.283589601516724,0.000988364218695131,34.40280795097351
1716251134.4448354,16,0.008200874364517285,0.0003557830068925656,0.00043016508249640737,16,42.54159951210022,7.438207560384178e-05,38.66086030006409
1716251139.444421,17,0.006369971477639678,0.00011575530962398198,0.00015669395825684251,17,47.54118514060974,4.093864863286053e-05,43.66048741340637
1716251144.6666987,18,0.004722610172962865,6.33041564280589e-05,8.81694189172383e-05,18,52.76346278190613,2.4865262489179396e-05,48.88271975517273
1716251151.8071446,19,0.004051181376713554,3.918720379701049e-05,5.327940172630407e-05,19,59.90390872955322,1.4092197929293572e-05,56.0228750705719
1716251157.4150631,20,0.004018151463066907,2.671289186693116e-05,3.681498657342575e-05,20,65.51182723045349,1.010209470649459e-05,61.631070613861084
1716251162.7980216,21,0.0039029053058095412,1.9108680862364017e-05,2.8432807065172855e-05,21,70.8947856426239,9.324126202808838e-06,67.01403975486755
1716251168.4053378,22,0.003402937860304718,1.3689913954975372e-05,2.2143106841358244e-05,22,76.50210189819336,8.453192886382875e-06,72.62134313583374
1716251174.0924284,23,0.002979841591455556,9.653605797025403e-06,1.600600955076339e-05,23,82.18919253349304,6.3524037537379875e-06,78.30841302871704
1716251179.9220743,24,0.002402385466262096,6.612137679004112e-06,1.1418822052689939e-05,24,88.01883840560913,4.806684373685826e-06,84.13805413246155
1716251188.0580947,25,0.0025674086956677376,4.658087135640828e-06,7.812509860593057e-06,25,96.15485882759094,3.1544227249522294e-06,92.27408146858215
1716251190.5681438,26,0.0026326249587605784,3.432134386294371e-06,6.930453050602613e-06,26,98.6649079322815,3.4983186643082416e-06,94.78410196304321
1716251200.9068985,27,0.002562110374905853,2.4771034133834505e-06,6.101836855798127e-06,27,109.00366258621216,3.624733442414677e-06,105.12260842323303
1716251204.115643,28,0.002612291634008683,1.7760423031589191e-06,5.182934963349069e-06,28,112.21240711212158,3.40689266019015e-06,108.33159136772156
1716251209.5035927,29,0.0021936149044695305,1.322873037330725e-06,4.840385138631532e-06,29,117.60035681724548,3.5175121013008068e-06,113.71947693824768
1716251224.6070151,30,0.0016921765850814205,1.0131951768057345e-06,3.501058293841016e-06,30,132.70377922058105,2.4878631170352818e-06,128.82261395454407
1716251229.6720324,31,0.0012684308872322886,9.112432333041431e-07,2.39415341595313e-06,31,137.7687964439392,1.482910182648987e-06,133.88796067237854
1716251232.87308,32,0.0013435418211339956,1.8108489235513187e-06,2.6545427074673853e-06,32,140.9698441028595,8.436937839160665e-07,137.08835363388062
1716251269.1931283,33,0.001112796187641251,1.469129080311378e-06,2.403252786897356e-06,33,177.28989243507385,9.341237065859778e-07,173.40876865386963
1716251272.357424,34,0.0010228187099534608,1.3561910409224595e-06,1.9895619366232493e-06,34,180.4541881084442,6.3337089570079e-07,176.57337379455566
1716251275.5085917,35,0.0009570008380830018,1.3579680745173175e-06,1.8920722738771676e-06,35,183.6053557395935,5.341041993598501e-07,179.7245283126831
1716251280.9426632,36,0.0009018688566362362,1.1954259241102035e-06,1.6627835261905584e-06,36,189.03942728042603,4.6735760208035495e-07,185.15859651565552
1716251317.2162275,37,0.0011938107471676908,1.110924219744051e-06,1.5321712911848966e-06,37,225.3129916191101,4.212470714408456e-07,221.4317548274994
1716251320.7183943,38,0.0008963726492722986,2.3820658121641003e-07,1.0150968604217746e-06,38,228.81515836715698,7.768902792053645e-07,224.93430948257446
