loss_boundary,_runtime,loss_interior,_step,_timestamp,step,time,l2_error,loss
0.5364868456378977,10.320574283599854,0.000417686404377217,0,1716140351.1446624,0,3.0891149044036865,0.20705313283028484,0.536904532042275
0.027946507610060223,12.215277433395386,0.008617286198872915,1,1716140353.0393655,1,6.211941242218018,0.15734991763008238,0.03656379380893314
0.015637495722006196,14.160181283950806,0.0027916741484163453,2,1716140354.9842694,2,8.157126903533936,0.14422003851865814,0.018429169870422542
0.013379892619191874,16.139115810394287,0.0012090408745035674,3,1716140356.963204,3,10.135415077209473,0.12799219461278893,0.01458893349369544
0.010287996216180118,18.165724277496338,0.0013656181383361328,4,1716140358.9898124,4,12.161174774169922,0.10059987228739514,0.011653614354516251
0.0065405935222057066,20.23670244216919,0.002416931079578064,5,1716140361.0607905,5,14.232245445251465,0.08892882291077629,0.00895752460178377
0.005075202833615659,22.351178646087646,0.0016182782118086105,6,1716140363.1752667,6,16.3467276096344,0.07741064645436958,0.00669348104542427
0.0037891060693861886,24.511770248413086,0.0017916410811843857,7,1716140365.3358583,7,18.507347345352173,0.061881089703059396,0.005580747150570574
0.0023703920640366525,26.713298082351685,0.0009467836910281371,8,1716140367.5373862,8,20.706664323806763,0.04679536696438276,0.0033171757550647897
0.001408123175945634,28.939414978027344,0.0007042402344118568,9,1716140369.763503,9,22.934072494506836,0.03975986072834918,0.002112363410357491
0.0009750054650109561,31.216755390167236,0.0005147976033344165,10,1716140372.0408435,10,25.212351322174072,0.02461988563058142,0.0014898030683453726
0.00036784479381432816,33.552695512771606,0.0004547832212949532,11,1716140374.3767836,11,27.548381805419922,0.0173359321160605,0.0008226280151092814
0.00018877008114426424,35.90807127952576,0.0003467017247917373,12,1716140376.7321594,12,29.90311026573181,0.013710429954608848,0.0005354718059360016
0.00011844563813736345,38.30918550491333,0.00019615963313036316,13,1716140379.1332736,13,32.30486488342285,0.01126100601204811,0.0003146052712677266
8.361086417374356e-05,40.76280736923218,0.00015639051298324048,14,1716140381.5868955,14,34.75848340988159,0.009885194919355474,0.00024000137715698402
6.148888612881149e-05,43.26105546951294,0.0001239200971844916,15,1716140384.0851436,15,37.25664305686951,0.00934817481937477,0.0001854089833133031
5.459441702709272e-05,45.80677652359009,8.803810526438491e-05,16,1716140386.6308646,16,39.80226182937622,0.008457170968616335,0.00014263252229147763
4.409398774887749e-05,48.40216040611267,6.498300124274348e-05,17,1716140389.2262485,17,42.397717237472534,0.007883755917844956,0.00010907698899162096
3.850702517424342e-05,51.04102325439453,5.135347999199831e-05,18,1716140391.8651114,18,45.03668808937073,0.007322351818687699,8.986050516624173e-05
3.1070060848904514e-05,53.71828269958496,3.80690177595171e-05,19,1716140394.5423708,19,47.71390724182129,0.006878468762598467,6.913907860842161e-05
2.6782888731665313e-05,56.418898820877075,3.50577910864471e-05,20,1716140397.242987,20,50.41452431678772,0.006381319551810448,6.184067981811241e-05
2.2780895016246966e-05,59.152137994766235,3.0105091432215044e-05,21,1716140399.976226,21,53.147876501083374,0.005433786907087556,5.288598644846201e-05
1.6687711882320678e-05,61.92109131813049,2.6078835909742494e-05,22,1716140402.7451794,22,55.916754722595215,0.005135697903438829,4.276654779206317e-05
1.4759916856058347e-05,64.73125553131104,2.3950729667843097e-05,23,1716140405.5553436,23,58.726914167404175,0.004831930982273615,3.8710646523901446e-05
1.2880024061876664e-05,67.5727641582489,2.0767130797662587e-05,24,1716140408.3968523,24,61.568413496017456,0.004323080022344799,3.364715485953925e-05
1.0096953458602914e-05,70.42469263076782,1.7045087937011267e-05,25,1716140411.2487807,25,64.41958975791931,0.003857285457691588,2.7142041395614183e-05
8.543487017872517e-06,73.27267456054688,1.5102627977598487e-05,26,1716140414.0967627,26,67.26837754249573,0.003669943587082544,2.3646114995471004e-05
7.824292070939765e-06,76.13597774505615,1.360900523156146e-05,27,1716140416.9600658,27,70.13155221939087,0.0034254528911549114,2.1433297302501224e-05
7.005145257413878e-06,79.00334739685059,1.1932349038793331e-05,28,1716140419.8274355,28,72.99879169464111,0.0033670560873629114,1.8937494296207208e-05
6.438765841338607e-06,81.86661314964294,1.0362178214988934e-05,29,1716140422.6907012,29,75.86227178573608,0.0031954723290174634,1.680094405632754e-05
5.873762815921215e-06,84.73517608642578,9.683773932922452e-06,30,1716140425.5592642,30,78.73037099838257,0.0030274870971361573,1.5557536748843668e-05
5.131593619424189e-06,87.6157295703888,8.045135996371816e-06,31,1716140428.4398177,31,81.61142539978027,0.002777527873110197,1.3176729615796005e-05
4.379787066847567e-06,90.46891355514526,7.005300945493178e-06,32,1716140431.2930017,32,84.46459794044495,0.002667218574397313,1.1385088012340746e-05
4.11962931281135e-06,93.32028698921204,6.394221631595071e-06,33,1716140434.144375,33,87.31600594520569,0.0026031034095215307,1.0513850944406421e-05
3.881181892130375e-06,96.21088886260986,5.706153414468859e-06,34,1716140437.034977,34,90.20654821395874,0.002537579212618773,9.587335306599233e-06
3.6887477486710575e-06,99.06521129608154,5.054699439264632e-06,35,1716140439.8892994,35,93.06038975715637,0.00243916121020003,8.74344718793569e-06
3.4371010380304316e-06,101.90779519081116,4.6388304068222385e-06,36,1716140442.7318833,36,95.90264344215393,0.0023902947245561584,8.075931444852671e-06
3.2158751521020828e-06,104.75485348701477,4.040049024370884e-06,37,1716140445.5789416,37,98.75053262710571,0.0023232015280657326,7.255924176472967e-06
3.00175963918949e-06,107.62317967414856,3.725954850882148e-06,38,1716140448.4472678,38,101.6188428401947,0.002229346064980365,6.7277144900716385e-06
