_runtime,loss_interior,time,_timestamp,loss_boundary,step,loss,_step,l2_error
6.687704563140869,0.00041626237146168165,1.98150634765625,1716256104.2781615,0.5434850314148942,0,0.5439012937863559,0,1.0276890589152727
7.371143102645874,0.000416275266584788,3.160151243209839,1716256104.9616,0.543483506453418,1,0.5438997817200029,1,0.3596061372533007
8.050716400146484,0.00015302429738232393,3.839779853820801,1716256105.6411734,0.08218830070676722,2,0.08234132500414955,2,0.3386798877732534
8.735909223556519,0.0030903104644319462,4.523999929428101,1716256106.3263662,0.07359787308192582,3,0.07668818354635777,3,0.20102617064090256
9.418505668640137,0.02381523739968002,5.207052230834961,1716256107.0089626,0.026026316117251213,4,0.04984155351693123,4,0.20046030857345273
10.100367069244385,0.01051727703146667,5.88807225227356,1716256107.690824,0.02651688287349529,5,0.03703415990496196,5,0.1945936572518394
10.79357361793518,0.00965842301778872,6.573132753372192,1716256108.3840306,0.025304944509247727,6,0.034963367527036444,6,0.1715436283703261
11.474906206130981,0.011582808273089048,7.2636048793792725,1716256109.0653632,0.019975475584620758,7,0.031558283857709805,7,0.17360219256585185
12.15677285194397,0.004645952302157409,7.945934295654297,1716256109.7472298,0.01950306784284203,8,0.02414902014499944,8,0.15357936231510216
12.838342666625977,0.0029426011493672646,8.627161741256714,1716256110.4287996,0.016141440864605505,9,0.01908404201397277,9,0.15117004192460282
13.519758462905884,0.002522786535786235,9.308425664901733,1716256111.1102154,0.015665741032823914,10,0.018188527568610148,10,0.15033132091079984
14.200323104858398,0.002195068495018639,9.989485025405884,1716256111.79078,0.015505477601538864,11,0.017700546096557503,11,0.1501620251045844
14.881641864776611,0.0020762825704328572,10.67048168182373,1716256112.4720988,0.015469393397208523,12,0.01754567596764138,12,0.14962263723979022
15.562962532043457,0.00148673925960384,11.35161280632019,1716256113.1534195,0.015197618121976167,13,0.016684357381580008,13,0.14726243948294016
16.24444341659546,0.0013938737983951151,12.03354024887085,1716256113.8349004,0.014662609577367113,14,0.016056483375762227,14,0.14250092175098303
16.925280570983887,0.0015242834182355935,12.71443247795105,1716256114.5157375,0.013770145807425216,15,0.01529442922566081,15,0.14110000419772367
17.60673975944519,0.0015184066761461835,13.395667314529419,1716256115.1971967,0.01347932926578233,16,0.014997735941928514,16,0.14097246754886408
18.28774333000183,0.001171257880727344,14.07636833190918,1716256115.8782003,0.01327441263102586,17,0.014445670511753203,17,0.13514135989105214
18.96816062927246,0.001316655465985419,14.757412195205688,1716256116.5586176,0.01226308734036441,18,0.013579742806349828,18,0.1328521446146599
19.64629626274109,0.0011593121981541218,15.435447931289673,1716256117.2367532,0.011866216201260825,19,0.013025528399414947,19,0.12762414057675409
20.323967456817627,0.0012271862541303326,16.11323308944702,1716256117.9144244,0.011059000269640113,20,0.012286186523770446,20,0.12663066763961855
21.00272798538208,0.0011985413889759387,16.79197406768799,1716256118.593185,0.010907728434191485,21,0.012106269823167424,21,0.12122751599480652
21.684354066848755,0.0013733786367637918,17.473555326461792,1716256119.274811,0.010102680975177056,22,0.011476059611940849,22,0.12066480381586721
22.36237859725952,0.0013702734068581515,18.15156841278076,1716256119.9528356,0.010000053727738299,23,0.01137032713459645,23,0.1185975183840444
23.044156312942505,0.0012723566120887927,18.83322286605835,1716256120.6346133,0.009578196089706701,24,0.010850552701795494,24,0.11779234920599375
23.724615335464478,0.0013216517763401747,19.513386726379395,1716256121.3150723,0.009403539417287226,25,0.0107251911936274,25,0.11702441934543886
24.40475082397461,0.0013338194730850496,20.193994760513306,1716256121.9952078,0.009199391760829099,26,0.010533211233914149,26,0.11634960611975571
25.086024522781372,0.0013728880678187093,20.875063180923462,1716256122.6764815,0.009039596743909804,27,0.010412484811728514,27,0.11579837470175493
25.76541018486023,0.0013757970057614833,21.554528951644897,1716256123.3558671,0.008880740561530435,28,0.010256537567291918,28,0.1149465873469552
26.444682121276855,0.0014000159665993226,22.233598709106445,1716256124.035139,0.008680815733158603,29,0.010080831699757925,29,0.11402192343578355
27.12583565711975,0.0014306498989551926,22.91473078727722,1716256124.7162926,0.00848532985602521,30,0.009915979754980403,30,0.11065708800775335
27.806374073028564,0.001615367036851804,23.595327615737915,1716256125.396831,0.007943600678738614,31,0.009558967715590418,31,0.10388718294575852
28.486781358718872,0.0020881582713572064,24.275930404663086,1716256126.0772383,0.0070136551261981385,32,0.009101813397555345,32,0.09434527864609571
29.16797971725464,0.002378523806787912,24.95713996887207,1716256126.7584367,0.0059019607064536355,33,0.008280484513241548,33,0.09160582297033275
29.848194360733032,0.0022945090687944082,25.637454986572266,1716256127.4386513,0.005613271732384705,34,0.007907780801179114,34,0.08878430583063827
30.526495933532715,0.0018956000348616172,26.315527200698853,1716256128.116953,0.005323179450142286,35,0.007218779485003903,35,0.08740684367455016
31.204608917236328,0.001675382546370332,26.99388861656189,1716256128.7950659,0.005146894278594996,36,0.006822276824965328,36,0.08520308554428425
31.883270978927612,0.001333762516908282,27.67216658592224,1716256129.473728,0.004838789704229587,37,0.00617255222113787,37,0.08340792969865507
32.56185579299927,0.001241361614741651,28.351114988327026,1716256130.1523128,0.004594905266811968,38,0.00583626688155362,38,0.07520014132031637
33.238993883132935,0.00132802320013032,29.028240442276,1716256130.8294508,0.0036148354468368217,39,0.004942858646967142,39,0.07365223183212488
33.91604781150818,0.0008717617345967507,29.705307006835938,1716256131.5065048,0.0034544855963337872,40,0.004326247330930538,40,0.06807912357013964
35.251155614852905,0.0006432607010734035,31.04037308692932,1716256132.8416126,0.0023198695599163494,42,0.002963130260989753,41,0.056554623242713487
