loss,_step,_runtime,_timestamp,loss_boundary,loss_interior,l2_error,step,time
0.5342178719986095,0,5.119129180908203,1716437629.8607721,0.5337865951322375,0.0004312768663720596,0.9844965951903882,0,1.0246469974517822
0.4947332951486007,1,5.159923315048218,1716437629.9015663,0.4931423985414762,0.0015908966071245417,0.9435953055665335,1,1.3880205154418945
0.4574650126339778,2,5.200016021728516,1716437629.941659,0.4539400485278968,0.00352496410608098,0.9022832044094315,2,1.4283473491668701
0.42229557899162756,3,5.239863634109497,1716437629.9815066,0.416027934274782,0.006267644716845547,0.8603763127621766,3,1.4680449962615967
0.389163971151599,4,5.2798285484313965,1716437630.0214715,0.3792990225346395,0.009864948616959517,0.8177553399501916,4,1.5078930854797363
0.35809961967439385,5,5.312875509262085,1716437630.0545185,0.34373073970263873,0.01436887997175513,0.7743557000692601,5,1.547973871231079
0.32919836427982013,6,5.34584379196167,1716437630.0874867,0.3093644311330633,0.019833933146756858,0.7301698217737741,6,1.5810561180114746
0.30260756544229767,7,5.378861904144287,1716437630.1205049,0.27629550088824006,0.026312064554057612,0.6852668370821988,7,1.614025592803955
0.2785201648062017,8,5.412468910217285,1716437630.1541119,0.2446745861654997,0.03384557864070197,0.6398226525220679,8,1.6465082168579102
0.25716533203878783,9,5.447263717651367,1716437630.1889067,0.21470948613514604,0.04245584590364179,0.5941576351513794,9,1.6805768013000488
0.23878900046556356,10,5.480498790740967,1716437630.2221417,0.1866627413683658,0.052126259097197765,0.5487794269812633,10,1.7160520553588867
0.22362057584220485,11,5.512752532958984,1716437630.2543955,0.16084153065524986,0.062779045186955,0.5044244417075547,11,1.748232364654541
0.2118236871533572,12,5.545094966888428,1716437630.286738,0.13757677604016663,0.07424691111319058,0.46208097174081747,12,1.7804598808288574
0.20343172505821283,13,5.577341794967651,1716437630.3189847,0.11718796058553343,0.0862437644726794,0.42296103194833,13,1.8127286434173584
0.1982755956020175,14,5.6096673011779785,1716437630.3513103,0.09993202568729229,0.0983435699147252,0.3883739345726763,14,1.845024824142456
0.1959237097301032,15,5.642187833786011,1716437630.3838308,0.08594039163063663,0.10998331809946656,0.35946722741830167,15,1.8775134086608887
0.19567047344916108,16,5.674487590789795,1716437630.4161305,0.07515834271489852,0.12051213073426256,0.3368933335578503,16,1.9097745418548584
0.1966093672555439,17,5.706873893737793,1716437630.4485168,0.06731792818490506,0.12929143907063884,0.32058282360851015,17,1.9421396255493164
0.19778958909434396,18,5.739579916000366,1716437630.4812229,0.06197341963929283,0.13581616945505115,0.30980036112625203,18,1.974801778793335
0.1983994058426345,19,5.772000074386597,1716437630.513643,0.05859485889396792,0.13980454694866656,0.3034631570132093,19,2.0072853565216064
0.19789934751327043,20,5.8047168254852295,1716437630.5463598,0.05667726928339675,0.14122207822987368,0.30051327059145294,20,2.0400969982147217
0.19606499537139274,21,5.83733606338501,1716437630.578979,0.05581887617156706,0.1402461191998257,0.30015140190038675,21,2.0727217197418213
0.19295005013812605,22,5.869297742843628,1716437630.6109407,0.055749147354812685,0.13720090278331337,0.301885091161973,22,2.1046040058135986
0.188805382442851,23,5.901707172393799,1716437630.6433501,0.056315086207623,0.13249029623522798,0.30545093721121525,23,2.1370089054107666
0.18398778885518738,24,5.93403172492981,1716437630.6756747,0.05744513642648196,0.1265426524287054,0.3106919367632869,24,2.1693544387817383
0.17887951933491877,25,5.966139078140259,1716437630.707782,0.0591080121738817,0.11977150716103707,0.31744801620060803,25,2.2014691829681396
0.17382787412836184,26,5.998351812362671,1716437630.7399948,0.0612773219679827,0.11255055216037915,0.32548792103861396,26,2.233649730682373
0.16910672065595697,27,6.030587673187256,1716437630.7722306,0.0639069664455349,0.10519975421042208,0.3344872004894105,27,2.265892267227173
0.16489795945622027,28,6.0628204345703125,1716437630.8044634,0.06691831154453563,0.09797964791168462,0.34404238756236755,28,2.2980732917785645
0.161289275225299,29,6.094991445541382,1716437630.8366344,0.07019784510040415,0.09109143012489486,0.3537055242426012,29,2.330249071121216
0.15828390206512816,30,6.12727165222168,1716437630.8689146,0.0736028869212018,0.08468101514392634,0.3630242338327071,30,2.362645149230957
0.155818111206843,31,6.158953428268433,1716437630.9005964,0.07697253532783221,0.07884557587901078,0.3715773726173937,31,2.3940629959106445
0.15378249524989035,32,6.1907799243927,1716437630.9324229,0.0801411387987882,0.07364135645110213,0.37900163360149725,32,2.425842523574829
0.15204376643201545,33,6.222446918487549,1716437630.9640899,0.08295199522027458,0.06909177121174087,0.38500839684018384,33,2.4575324058532715
0.1504645914900699,34,6.254438400268555,1716437630.9960814,0.08526954697089024,0.06519504451917965,0.38939220095075844,34,2.4896790981292725
0.14891982498745912,35,6.289348125457764,1716437631.030991,0.08698893300280977,0.06193089198464934,0.39203288891537336,35,2.524547576904297
0.14730827141191657,36,6.321762323379517,1716437631.0634053,0.08804230024244464,0.059265971169471944,0.39289338326857637,36,2.557089328765869
0.14555974077083492,37,6.3538830280303955,1716437631.095526,0.08840172716748679,0.05715801360334812,0.3920146279757458,37,2.589099168777466
0.1436376377985842,38,6.38549542427063,1716437631.1271384,0.08807895430513875,0.05555868349344546,0.38950872420480354,38,2.6208302974700928
0.14153764104461314,39,6.4182727336883545,1716437631.1599157,0.08712233988833323,0.05441530115627989,0.38555077543964733,39,2.6524369716644287
0.1392832053362576,40,6.450146675109863,1716437631.1917896,0.08561157040034319,0.053671634935914425,0.38036949561276484,40,2.6853508949279785
0.134501013201345,41,6.493926286697388,1716437631.2355692,0.08135995903020486,0.05314105417114012,0.3674522799907528,42,2.7290425300598145
