_timestamp,step,_runtime,_step,l2_error,loss_boundary,loss_interior,loss,time
1716183924.535921,0,7.4195921421051025,0,0.4536887958133323,0.5372383199481474,0.00041647661924950913,0.5376547965673969,2.0001368522644043
1716183925.0180357,1,7.901706695556641,1,0.32599743521102076,0.11373855561768181,0.023943467178731397,0.1376820227964132,2.979222536087036
1716183925.4998112,2,8.383482217788696,2,0.30150820137677076,0.06278954418617005,0.00907140514574654,0.0718609493319166,3.46140456199646
1716183925.9854088,3,8.869079828262329,3,0.25888405346924825,0.0547582015398306,0.0011318844187070108,0.055890085958537616,3.9469778537750244
1716183926.468732,4,9.352403163909912,4,0.24544009383005022,0.04131259711819662,0.005461311829884223,0.04677390894808084,4.430298089981079
1716183926.9506488,5,9.834319829940796,5,0.22347646618710815,0.03736162306882279,0.0020875738717554913,0.03944919694057828,4.912279367446899
1716183927.4345124,6,10.318183422088623,6,0.20918661995470755,0.03146158945348423,0.003138863337039946,0.03460045279052417,5.39596152305603
1716183927.9166198,7,10.800290822982788,7,0.19346445945418095,0.027810266415278572,0.004638829833106854,0.03244909624838543,5.878218650817871
1716183928.4019458,8,11.285616874694824,8,0.19256141482764827,0.024015470529314315,0.0022813795814387115,0.02629685011075303,6.363342523574829
1716183928.884796,9,11.76846694946289,9,0.178895900691674,0.02380872154668313,0.0024709240612021555,0.026279645607885288,6.846322536468506
1716183929.3682485,10,12.251919507980347,10,0.17258671667279255,0.020825568977927807,0.0024665299016376836,0.02329209887956549,7.329745292663574
1716183929.851371,11,12.735042095184326,11,0.1696036424821903,0.019539877927194763,0.002316726812381366,0.021856604739576128,7.8129353523254395
1716183930.3348072,12,13.218478202819824,12,0.1574949100690211,0.018938652727714514,0.0027185165468788853,0.0216571692745934,8.296340227127075
1716183930.819788,13,13.703459024429321,13,0.14633439219904545,0.016536581282459932,0.0034351565199261884,0.01997173780238612,8.781323671340942
1716183931.302527,14,14.186197996139526,14,0.1419659387815909,0.01437150536147813,0.002308014008067497,0.016679519369545627,9.263930559158325
1716183931.785993,15,14.669664144515991,15,0.14010005828367703,0.013522432296125346,0.0014433837992220498,0.014965816095347395,9.74739122390747
1716183932.2700589,16,15.153729915618896,16,0.1365418628411915,0.013160931559058902,0.0016358712730031857,0.014796802832062087,10.231581211090088
1716183932.752544,17,15.636214971542358,17,0.12887814444076282,0.012492017743657224,0.001814829704926585,0.014306847448583808,10.71392273902893
1716183933.2347124,18,16.118383407592773,18,0.1212201701065724,0.011163999754351674,0.0012973820958387286,0.012461381850190403,11.196205139160156
1716183933.7185566,19,16.602227687835693,19,0.11753883017687893,0.009957248271671989,0.0016045329298013465,0.011561781201473335,11.679995059967041
1716183934.2048955,20,17.088566541671753,20,0.11078503482856938,0.009401694209926993,0.0016478095912412763,0.01104950380116827,12.166149616241455
1716183934.6874797,21,17.57115077972412,21,0.10794394153089597,0.008409033416234685,0.0008793326715936515,0.009288366087828338,12.648930549621582
1716183935.1703427,22,18.05401372909546,22,0.09877467619037095,0.008001908094725724,0.001094961306574662,0.009096869401300386,13.131698608398438
1716183935.6528323,23,18.536503314971924,23,0.09539640568936983,0.006697869404623764,0.0007571831954452468,0.00745505260006901,13.614177703857422
1716183936.1352615,24,19.018932580947876,24,0.09250263258051662,0.006205900155425268,0.0008410385968855337,0.007046938752310801,14.096575021743774
1716183936.6192253,25,19.502896308898926,25,0.08957078982532764,0.005783590035405757,0.0005996795008478659,0.0063832695362536235,14.580467224121094
1716183937.1055825,26,19.989253520965576,26,0.08231177070082266,0.0053764054399412856,0.0006174184005317173,0.0059938238404730025,15.06674575805664
1716183937.589944,27,20.473614931106567,27,0.0777620237166379,0.004483183965906549,0.0005648873899308954,0.005048071355837445,15.551132202148438
1716183938.0743704,28,20.958041429519653,28,0.07334845138083518,0.003986949963455352,0.0006847448030847271,0.004671694766540079,16.03551435470581
1716183938.5600939,29,21.44376492500305,29,0.06858474356719434,0.003548295483480419,0.0005003244190866924,0.004048619902567111,16.521233797073364
1716183939.0470388,30,21.930709838867188,30,0.059452501737409534,0.00310604318966621,0.00037442199787241913,0.003480465187538629,17.008156299591064
1716183939.5375865,31,22.421257495880127,31,0.051592528290312016,0.0023471840352995935,0.0004644269572556425,0.002811610992555236,17.498652458190918
1716183940.0275536,32,22.911224603652954,32,0.04847737338720882,0.0017731759805065222,0.00040782015051707963,0.002180996131023602,17.988622665405273
1716183940.5155754,33,23.39924645423889,33,0.046177131979066637,0.0015587231762948437,0.00029983799512163506,0.0018585611714164788,18.47665047645569
1716183941.007907,34,23.89157795906067,34,0.044324217911404555,0.0014018884420390516,0.00025183266590262824,0.0016537211079416798,18.96897554397583
1716183941.4985273,35,24.382198333740234,35,0.043042539269154995,0.0012791742172204646,0.00022846312657931952,0.001507637343799784,19.459563970565796
1716183941.9889286,36,24.872599601745605,36,0.04188625972304844,0.0011953963757051502,0.0001562793997623529,0.001351675775467503,19.9499671459198
1716183942.4759798,37,25.35965085029602,37,0.04076910250020084,0.0011220436603259162,0.00014344027294393869,0.0012654839332698548,20.436978578567505
1716183942.962951,38,25.846621990203857,38,0.039803660358525096,0.0010536872420531115,0.00011697297902866348,0.0011706602210817749,20.92399835586548
1716183943.452937,39,26.336607933044434,39,0.03865239568386524,0.0009972622552473101,0.0001100220083615283,0.0011072842636088384,21.41393280029297
1716183943.939974,40,26.82364511489868,40,0.03769440023069177,0.0009349942161896648,0.00010886923848095382,0.0010438634546706186,21.901044845581055
