loss_boundary,_step,loss,step,_runtime,l2_error,_timestamp,loss_interior,time
2.9929348288213,0,2.992959675888267,0,2.880390167236328,0.6633388968717472,1723045654.984543,2.484706696701231e-05,1.7634658813476562
0.2656159409065316,1,0.2770046320617116,1,3.2021193504333496,0.5655685096896069,1723045655.3062723,0.011388691155179972,2.4135189056396484
0.15687190547896948,2,0.17697365269114954,2,3.5623629093170166,0.43173241760669273,1723045655.6665158,0.02010174721218006,2.7733700275421143
0.109930238322924,3,0.12445070140074113,3,3.9658515453338623,0.25496244908198884,1723045656.0700045,0.014520463077817129,3.175762176513672
0.03741579868393336,4,0.05295074566394118,4,4.39875054359436,0.1739021147227461,1723045656.5029035,0.015534946980007817,3.6099941730499268
0.020742335976824254,5,0.02982382434015055,5,4.873910427093506,0.1505364968241729,1723045656.9780633,0.009081488363326295,4.085077285766602
0.019361276345864604,6,0.02588367907859426,6,5.386029481887817,0.121137577075509,1723045657.4901824,0.006522402732729655,4.597092151641846
0.012368895674166209,7,0.016629995471689144,7,5.942638874053955,0.09075079848735687,1723045658.0467918,0.004261099797522935,5.153728246688843
0.006035189869756433,8,0.009557104949355254,8,6.529450178146362,0.06975567230122952,1723045658.633603,0.003521915079598821,5.740631818771362
0.003901094422924284,9,0.005524249380150773,9,7.169803857803345,0.05464337475190056,1723045659.2739568,0.0016231549572264887,6.380775451660156
0.0022633947033295653,10,0.0033388255875870664,10,7.863370895385742,0.04992951857368288,1723045659.9675238,0.001075430884257501,7.074324607849121
0.0017252851527198166,11,0.0024451929808991858,11,8.57231068611145,0.0427524576172135,1723045660.6764636,0.0007199078281793691,7.78310227394104
0.0015187475636606086,12,0.002083439936417501,12,9.282078266143799,0.03561913999291086,1723045661.3862312,0.0005646923727568923,8.491883516311646
0.001208128939788216,13,0.0016956654266921394,13,9.990746974945068,0.029086759643888772,1723045662.0949,0.0004875364869039235,9.201927661895752
0.0010605409769139271,14,0.001517054126559438,14,10.701261758804321,0.029310550635206892,1723045662.8054147,0.00045651314964551085,9.912297487258911
0.0007405520821682612,15,0.001130356459891838,15,11.41454267501831,0.029755132108739563,1723045663.5186956,0.0003898043777235768,10.625681161880493
0.0006802400124436878,16,0.0009872827925616263,16,12.13369345664978,0.023519775914187302,1723045664.2378464,0.00030704278011793845,11.344813108444214
0.0006515396188406852,17,0.0009457904556799787,17,12.859415054321289,0.022206969237888487,1723045664.963568,0.0002942508368392935,12.07023310661316
0.0005000993273130169,18,0.0007845488493350396,18,13.581549167633057,0.022563179871695642,1723045665.685702,0.0002844495220220227,12.792587280273438
0.0004907059043473547,19,0.0007629784271601797,19,14.313491582870483,0.02197913207333305,1723045666.4176445,0.00027227252281282504,13.524313688278198
0.00041570359059544664,20,0.00066847501015504,20,15.04179573059082,0.02150354076297595,1723045667.1459486,0.0002527714195595933,14.252531051635742
0.0004556688543685421,21,0.0006996470504357337,21,15.758573532104492,0.022496375941977426,1723045667.8627264,0.00024397819606719156,14.969508171081543
0.0003654643080387078,22,0.0005901628898067552,22,16.483097314834595,0.02129019894404111,1723045668.5872502,0.00022469858176804735,15.69410228729248
0.00038619529223888217,23,0.0005993209663507934,23,17.196773767471313,0.01979235242348009,1723045669.3009267,0.00021312567411191125,16.407681465148926
0.0004653803499477539,24,0.0006759816723179162,24,17.911568641662598,0.019533739805836406,1723045670.0157216,0.00021060132237016234,17.12249493598938
0.000351499448256719,25,0.0005529174985066399,25,18.626150369644165,0.019321015534710603,1723045670.7303033,0.00020141805024992095,17.83701992034912
0.0003616764140914081,26,0.0005606727017568097,26,19.33939552307129,0.018936861645591566,1723045671.4435484,0.0001989962876654016,18.550428867340088
0.0003135319228295229,27,0.00046817982441113256,27,20.06448459625244,0.01819812027776514,1723045672.1686375,0.00015464790158160963,19.27544331550598
0.0003282187526299113,28,0.00048572782262030725,28,20.7799654006958,0.0169578600678128,1723045672.8841183,0.00015750906999039592,19.990721702575684
0.0002604086454300747,29,0.00038331642420369536,29,21.496855974197388,0.017006507496918774,1723045673.601009,0.00012290777877362069,20.70790123939514
0.0002468654817970076,30,0.000367226321220146,30,22.20343780517578,0.017163406542714227,1723045674.3075907,0.00012036083942313839,21.41437077522278
0.0002438777765177279,31,0.0003642413653366035,31,22.930057287216187,0.016776964177074468,1723045675.0342102,0.00012036358881887557,22.141083002090454
0.0002134450389925816,32,0.0003354649048388058,32,23.640849590301514,0.016179342724698297,1723045675.7450025,0.0001220198658462242,22.85177493095398
0.00020581363503228745,33,0.00031389063493813613,33,24.34772539138794,0.015297198112787843,1723045676.4518783,0.0001080769999058487,23.558624029159546
0.00019293984179214165,34,0.00029241683112458976,34,25.053174257278442,0.014447844669389231,1723045677.1573272,9.947698933244811e-05,24.264213800430298
0.00016652145952304062,35,0.0002601415664719838,35,25.76708698272705,0.014098751260109638,1723045677.87124,9.362010694894322e-05,24.977872848510742
0.00014449746532802776,36,0.0002399765215001436,36,26.477705240249634,0.013836039762135394,1723045678.5818582,9.547905617211587e-05,25.688748836517334
0.0001451776707062286,37,0.0002352481134273621,37,27.190104007720947,0.01394430032317545,1723045679.294257,9.007044272113351e-05,26.400968313217163
0.00013914870996557867,38,0.00022439989503687368,38,27.916202306747437,0.013746820426990523,1723045680.0203552,8.525118507129503e-05,27.127235889434814
0.0001514399317539796,39,0.0002258433314748283,39,28.638675689697266,0.01320241948510076,1723045680.7428286,7.44033997208487e-05,27.84948706626892
0.0001140672074290336,40,0.000186579074574262,40,29.35294461250305,0.01264524771590299,1723045681.4570975,7.25118671452284e-05,28.563937425613403
