_timestamp,loss_boundary,step,l2_error,loss_interior,time,_step,_runtime,loss
1723045651.6917484,2.7664645100319722,0,0.6527818025925082,0.00037414547225684495,1.2291975021362305,0,2.411130428314209,2.766838655504229
1723045651.99955,0.2534808835183663,1,0.5460541404212067,0.008994909081344567,1.7900128364562988,1,2.7189321517944336,0.2624757925997109
1723045652.3432424,0.15074757161100477,2,0.3344870266950405,0.010267802412971625,2.1357104778289795,2,3.062624454498291,0.1610153740239764
1723045652.7281952,0.06320388085483226,3,0.2520659525300855,0.026089586528790173,2.5207149982452393,3,3.4475772380828857,0.08929346738362244
1723045653.1549845,0.03483745892433238,4,0.2640706711337412,0.012283420398791135,2.947535276412964,4,3.874366521835327,0.04712087932312352
1723045653.620224,0.050682678509457735,5,0.1949587886231761,0.010097680129256586,3.4127955436706543,5,4.339606046676636,0.060780358638714324
1723045654.1245842,0.026462432388933914,6,0.1600966646678451,0.007987276217114033,3.9171149730682373,6,4.843966245651245,0.034449708606047943
1723045654.663022,0.018378080076308954,7,0.1499888713068756,0.004135732421672006,4.455518007278442,7,5.382404088973999,0.02251381249798096
1723045655.241925,0.015514449579859334,8,1357508156.8774405,0.003313904680305077,5.034636735916138,8,5.961307048797607,0.01882835426016441
1723045655.8531,8.933135763540699e+17,9,587725770.2307501,0.0,5.645819425582886,9,6.572482109069824,8.933135763540699e+17
1723045656.501961,1.6857824122717245e+17,10,614154980.8720605,0.0,6.294659376144409,10,7.221343040466309,1.6857824122717245e+17
1723045657.1805675,1.403835965915953e+17,11,520430599.005022,0.0,6.973276138305664,11,7.899949550628662,1.403835965915953e+17
1723045657.8859303,1.0027585972243605e+17,12,449006931.84432214,0.0,7.677248477935791,12,8.60531234741211,1.0027585972243605e+17
1723045658.577691,5.938601696080761e+16,13,446268238.99998873,0.0,8.370391130447388,13,9.297073125839233,5.938601696080761e+16
1723045659.2660666,5.019529651640836e+16,14,476921560.34287167,0.0,9.058784484863281,14,9.985448598861694,5.019529651640836e+16
1723045659.9571214,1.2995793998669352e+17,15,409356436.80909437,0.0,9.749838829040527,15,10.676503419876099,1.2995793998669352e+17
1723045660.6460874,5.656254113900536e+16,16,4823092437649.582,0.0,10.43875503540039,16,11.365469455718994,5.656254113900536e+16
1723045661.3390675,1.1874257013528028e+25,17,354139572509.15356,0.0,11.131752729415894,17,12.058449506759644,1.1874257013528028e+25
1723045662.0299847,7.665041478882588e+22,18,34138101601.29406,0.0,11.822715044021606,18,12.749366760253906,7.665041478882588e+22
1723045662.724531,1.1578837917851602e+21,19,23224276945.354362,0.0,12.51725149154663,19,13.443912982940674,1.1578837917851602e+21
1723045663.4109964,1.591052672219966e+20,20,7165706524.667997,0.0,13.203720569610596,20,14.130378484725952,1.591052672219966e+20
1723045664.1040096,1.562082702496281e+19,21,9450074316.060429,0.0,13.896722316741943,21,14.823391675949097,1.562082702496281e+19
1723045664.7955933,2.0344632253424538e+18,22,9241243128.416681,0.0,14.58832335472107,22,15.514975309371948,2.0344632253424538e+18
1723045665.4933088,1.7459911314963856e+17,23,9234823279.432917,0.0,15.28602409362793,23,16.212690830230713,1.7459911314963856e+17
1723045666.1882293,4.577222979672995e+16,24,9234576347.810795,0.0,15.980910301208496,24,16.90761137008667,4.577222979672995e+16
1723045666.88291,1.3762456300607205e+17,25,9237902026.666302,0.0,16.67552375793457,25,17.60229206085205,1.3762456300607205e+17
1723045667.5761511,4.2553806237888623e+20,26,6561872895.636801,0.0,17.36885690689087,26,18.295533180236816,4.2553806237888623e+20
1723045668.2668324,3.121011384542771e+17,27,6517451965.007419,0.0,18.05954885482788,27,18.98621439933777,3.121011384542771e+17
1723045668.9666069,4.241157201440135e+20,28,252613741457.98373,0.0,18.759315490722656,28,19.685988903045654,4.241157201440135e+20
1723045669.6555064,5.82387429611429e+22,29,173536070167.2979,0.0,19.448219299316406,29,20.37488842010498,5.82387429611429e+22
1723045670.3449569,2.466520513117733e+22,30,350381991628.0113,0.0,20.137667179107666,30,21.06433892250061,2.466520513117733e+22
1723045671.0343864,6.543231123371977e+22,31,241442716309.16516,0.0,20.82707929611206,31,21.75376844406128,6.543231123371977e+22
1723045671.7254555,3.4353805094313303e+22,32,126233137985.05571,0.0,21.51814842224121,32,22.44483757019043,3.4353805094313303e+22
1723045672.413447,8.432510336425451e+21,33,270965007744.1899,0.0,22.20617365837097,33,23.132828950881958,8.432510336425451e+21
1723045673.106444,5.0608016897658195e+22,34,44719847515.944664,0.0,22.898942232131958,34,23.825825929641724,5.0608016897658195e+22
1723045673.8046622,2.7111909465613685e+21,35,89157522343.99129,0.0,23.597233533859253,35,24.524044275283813,2.7111909465613685e+21
1723045674.4928906,5.506867558087406e+21,36,121127084931.32173,0.0,24.285578966140747,36,25.21227264404297,5.506867558087406e+21
1723045675.182776,6.326487897584892e+21,37,122146996527.7522,0.0,24.975499868392944,37,25.90215802192688,6.326487897584892e+21
1723045675.872976,1.5168671120595825e+22,38,103452673429.4121,0.0,25.66553044319153,38,26.592358112335205,1.5168671120595825e+22
1723045676.5618076,6.441462207413128e+21,39,93179568443.70107,0.0,26.35452651977539,39,27.281189680099487,6.441462207413128e+21
1723045677.2556756,3.818422016213544e+21,40,58570847156.0237,0.0,27.048362493515015,40,27.97505760192871,3.818422016213544e+21
1723045678.6304705,4.75785947081305e+21,42,797045669556.8563,0.0,28.423059940338135,41,29.349852561950684,4.75785947081305e+21
1723045681.3794105,1.6995971342987897e+21,46,2164540445001.6238,0.0,31.172122478485107,42,32.098792552948,1.6995971342987897e+21
