loss_interior,loss,_runtime,_timestamp,l2_error,loss_boundary,step,time,_step
6.3281793471193575e-06,2.631392111380915,2.789731979370117,1723045654.430166,1.6772809766493881,2.631385783201568,0,1.2763257026672363,0
0.001438294733720964,2.280879163287001,3.409217596054077,1723045655.0496516,1.6216048706013775,2.27944086855328,1,2.173008680343628,1
0.02712921879515495,2.1159378595811065,3.972907066345215,1723045655.613341,1.6212292856181167,2.0888086407859516,2,2.7367329597473145,2
0.019635878527154222,1.600077179199329,4.506826162338257,1723045656.1472602,0.3031088479425898,1.5804413006721747,3,3.270573377609253,3
0.0653243833134517,0.16245566841829367,5.456872224807739,1723045657.0973063,0.276512867554679,0.097131285104842,4,4.2205212116241455,4
0.01080921829250317,0.07671347046273294,6.330114126205444,1723045657.9705482,0.04003340874475989,0.06590425217022977,5,5.0936665534973145,5
0.01611078974836191,0.017123943512759497,7.12697172164917,1723045658.7674057,0.07926546892060217,0.0010131537643975855,6,5.889285564422607,6
0.0012943095015256958,0.0044737416167100015,8.565805673599243,1723045660.2062397,0.051115757559521226,0.003179432115184306,7,7.329395532608032,7
0.0003613609988238404,0.0021974123336675243,10.008782625198364,1723045661.6492167,0.01618996032760852,0.0018360513348436838,8,8.772324800491333,8
0.00016657256220822686,0.0003175602607407207,11.49006199836731,1723045663.130496,0.011474376338348613,0.00015098769853249383,9,10.253643274307251,9
4.211164661538139e-05,0.00014843646094889301,14.547822713851929,1723045666.1882567,0.008484182934531554,0.00010632481433351163,10,13.311190366744995,10
2.0130699217778728e-05,7.099365389984065e-05,17.40054202079773,1723045669.040976,0.011072727594851247,5.086295468206193e-05,11,16.164117574691772,11
1.730895339202612e-05,7.4022534269628e-05,19.5880708694458,1723045671.228505,0.010829167643706937,5.6713580877601876e-05,12,18.351577043533325,12
1.0375613172830297e-05,6.220773455332649e-05,22.5608172416687,1723045674.2012513,0.010784208957896651,5.183212138049619e-05,13,21.324443340301514,13
9.01677180603054e-06,6.244874962714491e-05,25.060275554656982,1723045676.7007096,0.009427118805930694,5.3431977821114366e-05,14,23.823885917663574,14
1.1785384508329888e-05,6.21799080408853e-05,26.900221586227417,1723045678.5406556,0.0065903602090936365,5.0394523532555414e-05,15,25.663824319839478,15
2.8036163927807662e-05,5.91535735136266e-05,27.926064491271973,1723045679.5664985,0.005816008184469003,3.1117409585818936e-05,16,26.689687967300415,16
2.9508624945698177e-05,5.548444336400397e-05,32.96538949012756,1723045684.6058235,0.005038935359245071,2.5975818418305797e-05,17,31.72866415977478,17
3.0866209888432906e-05,5.096948579064922e-05,34.65474581718445,1723045686.2951798,0.004793616056650469,2.0103275902216316e-05,18,33.418379068374634,18
2.7576221980102002e-05,4.6133841323026756e-05,35.61678600311279,1723045687.25722,0.004704795930558772,1.8557619342924753e-05,19,34.380321979522705,19
2.5051205371623348e-05,4.547367321235205e-05,40.49988770484924,1723045692.1403217,0.004578867689036479,2.0422467840728704e-05,20,39.26253890991211,20
2.301573170246233e-05,4.29999983301346e-05,41.416603565216064,1723045693.0570376,0.004447166342588507,1.9984266627672263e-05,21,40.17922496795654,21
2.322602917889381e-05,4.04073392297493e-05,42.343130111694336,1723045693.9835641,0.004298384585264699,1.718131005085549e-05,22,41.106733560562134,22
2.343190844676729e-05,3.932033073111365e-05,43.285192251205444,1723045694.9256263,0.004195860944127789,1.5888422284346354e-05,23,42.04878091812134,23
2.249077428337912e-05,3.74825383645909e-05,44.21923780441284,1723045695.8596718,0.004158129657004513,1.4991764081211778e-05,24,42.98175501823425,24
2.179190641701565e-05,3.761575961219556e-05,45.159279346466064,1723045696.7997134,0.004067746904952976,1.5823853195179912e-05,25,43.92285633087158,25
2.0583853490988614e-05,3.5670793741372965e-05,46.114654779434204,1723045697.7550888,0.003931473452919249,1.5086940250384351e-05,26,44.878241539001465,26
2.0791957451725485e-05,3.413378424449839e-05,51.148396492004395,1723045702.7888305,0.0038581530488703973,1.3341826792772902e-05,27,49.911675691604614,27
2.0393096321327297e-05,3.4321371498660114e-05,52.02387738227844,1723045703.6643114,0.0037563606857439376,1.3928275177332816e-05,28,50.78748393058777,28
1.9418264231040042e-05,3.13948069238475e-05,52.96863079071045,1723045704.6090648,0.0036867682148773624,1.1976542692807461e-05,29,51.7321662902832,29
1.8943779868676684e-05,3.0885207284148836e-05,53.89248299598694,1723045705.532917,0.0035768884593368844,1.194142741547215e-05,30,52.65577983856201,30
1.8527861764659216e-05,3.106697078789942e-05,54.94419741630554,1723045706.5846314,0.0035022427120743023,1.2539109023240205e-05,31,53.70773363113403,31
1.8815213115352963e-05,3.06172113007161e-05,55.86369323730469,1723045707.5041273,0.003364362519272638,1.1801998185363141e-05,32,54.626949071884155,32
1.828678972410488e-05,2.9969378562531973e-05,56.80004549026489,1723045708.4404795,0.0031728626170688936,1.1682588838427092e-05,33,55.563623666763306,33
1.7673460264627645e-05,2.775962172385062e-05,57.73919892311096,1723045709.379633,0.0030153380536089556,1.0086161459222978e-05,34,56.502379179000854,34
1.6679336617535008e-05,2.602412219479719e-05,58.70841026306152,1723045710.3488443,0.0028638675573061326,9.34478557726218e-06,35,57.47200608253479,35
1.5457956917384603e-05,2.3842154482070273e-05,63.74028253555298,1723045715.3807166,0.002752545840719851,8.38419756468567e-06,36,62.503469705581665,36
1.504047357395649e-05,1.8939747680995702e-05,64.7187991142273,1723045716.3592331,0.0033478466265776195,3.899274107039212e-06,37,63.48216533660889,37
