_runtime,step,_timestamp,loss_interior,loss_boundary,loss,time,l2_error,_step
2.333724021911621,0,1723045655.079763,2.484706696701231e-05,2.9929348288213,2.992959675888267,1.4981093406677246,1.8787101722735342,0
2.3585684299468994,1,1723045655.1046073,1.1177409118097733e-05,2.8290889831005317,2.82910016050965,1.881765604019165,1.8330103856184021,1
2.3825414180755615,2,1723045655.1285803,7.07158008371597e-06,2.7391032482731235,2.739110319853207,1.9055490493774414,1.7875922524975927,2
2.405188798904419,3,1723045655.1512277,1.1810518819317564e-05,2.5508203127708127,2.550832123289632,1.9279589653015137,1.7418239531723965,3
2.4279568195343018,4,1723045655.1739957,2.452207444488694e-05,2.5763294596411144,2.576353981715559,1.9515788555145264,1.6949274537341854,4
2.450835943222046,5,1723045655.1968749,4.937083864458924e-05,2.428279808333846,2.4283291791724904,1.9738836288452148,1.6462089941244926,5
2.4731879234313965,6,1723045655.2192268,8.386534903054093e-05,2.195300511436067,2.1953843767850976,1.9958925247192383,1.595045477871287,6
2.4954261779785156,7,1723045655.241465,0.00013396274478423285,2.065692895115758,2.065826857860542,2.018098831176758,1.5408418639012402,7
2.519940137863159,8,1723045655.265979,0.00020928389811642606,2.05946194536863,2.0596712292667463,2.0428171157836914,1.4829811702223914,8
2.5423340797424316,9,1723045655.288373,0.00032911074826268795,2.015798031936024,2.0161271426842866,2.064896821975708,1.4209655705693944,9
2.564610004425049,10,1723045655.310649,0.00048818511534392487,1.7443536189811388,1.7448418040964828,2.087376356124878,1.3546160733316905,10
2.5877785682678223,11,1723045655.3338175,0.0006862272926130367,1.764631040372226,1.7653172676648392,2.1107027530670166,1.2836286051696242,11
2.6112608909606934,12,1723045655.3572998,0.0009553608311543448,1.5729215482632506,1.573876909094405,2.132744073867798,1.2081722085953577,12
2.632446765899658,13,1723045655.3784857,0.001372403886528148,1.3619071784653316,1.3632795823518598,2.15667462348938,1.1287428837154814,13
2.6527743339538574,14,1723045655.3988132,0.0018643858932112334,1.3168276332767619,1.3186920191699731,2.177429437637329,1.045994294028375,14
2.672975540161133,15,1723045655.4190145,0.00251261807088205,1.1906652292040607,1.1931778472749428,2.197378635406494,0.9611550071779754,15
2.693293333053589,16,1723045655.4393322,0.003229139678312137,1.008985994609514,1.0122151342878263,2.2178893089294434,0.8764571183747187,16
2.7140095233917236,17,1723045655.4600484,0.004053359996515335,0.9747244356115357,0.978777795608051,2.238633632659912,0.7945713803940747,17
2.735137701034546,18,1723045655.4811766,0.004991582443865812,0.8194222698602787,0.8244138523041444,2.2596917152404785,0.7200331086597861,18
2.7564735412597656,19,1723045655.5025125,0.0060695442259643545,0.6599175535994365,0.6659870978254009,2.281102418899536,0.6583279018887546,19
2.7776801586151123,20,1723045655.523719,0.006819508953647966,0.5648298046021998,0.5716493135558477,2.3022401332855225,0.6154773409087142,20
2.798771858215332,21,1723045655.5448108,0.0076992249591870615,0.5152120050210022,0.5229112299801892,2.3230276107788086,0.5961985344381054,21
2.8191463947296143,22,1723045655.5651853,0.008449691616064967,0.4655080770382955,0.47395776865436046,2.3432788848876953,0.6023815710023559,22
2.8396241664886475,23,1723045655.585663,0.008860865306261421,0.3860366615890353,0.3948975268952967,2.3639230728149414,0.6316301425052643,23
2.860643148422241,24,1723045655.606682,0.00903227694998602,0.36083445843351125,0.3698667353834973,2.3849380016326904,0.6776947436243055,24
2.8810524940490723,25,1723045655.6270914,0.009041353186499995,0.32951149902312454,0.33855285220962456,2.405344247817993,0.7331857194908145,25
2.9018259048461914,26,1723045655.6478648,0.0089895137697302,0.32587834337548144,0.3348678571452116,2.426372528076172,0.791817410089897,26
2.922771692276001,27,1723045655.6688106,0.008520387122730788,0.3316098688686681,0.3401302559913989,2.4472484588623047,0.8491143607032823,27
2.9432125091552734,28,1723045655.6892514,0.007990838754150431,0.3307727603311224,0.3387635990852728,2.4673337936401367,0.9008803274868146,28
2.9635331630706787,29,1723045655.709572,0.00725844507996388,0.3720585883006409,0.3793170333806048,2.4877843856811523,0.9437738164699031,29
2.9843099117279053,30,1723045655.7303488,0.006600122084083906,0.37518966269427917,0.38178978477836306,2.5086872577667236,0.9771791495754311,30
3.0055031776428223,31,1723045655.751542,0.005833751305384424,0.38714840541732715,0.3929821567227116,2.5297982692718506,1.0001276619829174,31
3.029027223587036,32,1723045655.7750661,0.005109896989579978,0.39640929330595626,0.40151919029553623,2.5550520420074463,1.0129283096868233,32
3.0499444007873535,33,1723045655.7959833,0.004301414104183919,0.3846879112200131,0.38898932532419705,2.574470281600952,1.0155525328700925,33
3.070300817489624,34,1723045655.8163397,0.003494813715942745,0.37471079637003907,0.3782056100859818,2.5945866107940674,1.0095496044438466,34
3.0906851291656494,35,1723045655.836724,0.0029621739463268413,0.39003836999438446,0.3930005439407113,2.6154956817626953,0.9950816723418875,35
3.1115121841430664,36,1723045655.857551,0.0021900798177895836,0.40461610127430675,0.4068061810920963,2.636045455932617,0.9741521879870135,36
3.131484031677246,37,1723045655.877523,0.0016503638446929288,0.37140231582059635,0.37305267966528927,2.6556766033172607,0.9475975136727273,37
3.15191388130188,38,1723045655.8979528,0.0011241712809631978,0.3744741602832444,0.3755983315642076,2.6760072708129883,0.916516884070392,38
3.173011064529419,39,1723045655.91905,0.0008141002060742869,0.379403624713862,0.38021772491993633,2.6972062587738037,0.8817924620912563,39
3.193370819091797,40,1723045655.9394097,0.0005991187523692265,0.32865041123884237,0.3292495299912116,2.717864751815796,0.844927216998986,40
