loss_boundary,step,time,_timestamp,loss,loss_interior,_step,l2_error,_runtime
8.543661131781071e-08,38,1483.9586408138275,1723047169.8221226,2.047845827547323e-07,1.1934797143692158e-07,38,0.00025875200495489907,1484.3548085689545
5.94549490061606e-08,39,1521.8500685691833,1723047207.7135549,1.6338667030652992e-07,1.0393172130036932e-07,39,0.0002215211880844003,1522.2462408542633
4.597537996771225e-08,40,1560.0622520446777,1723047245.9257014,1.323282759112385e-07,8.635289594352626e-08,40,0.0002608969117799221,1560.458387374878
4.959753335436961e-08,42,1636.943115234375,1723047322.8066263,1.4821855818391745e-07,9.862102482954785e-08,41,0.0002591178421294873,1637.3393123149872
4.20289307759435e-08,46,1788.7967994213104,1723047474.660281,1.1076675946509033e-07,6.873782868914683e-08,42,0.00022429142357378233,1789.1929669380188
4.332614433221065e-08,50,1940.2057838439941,1723047626.0693278,1.1293443893718414e-07,6.960829460497349e-08,43,0.00020937771698917141,1940.6020138263702
5.064803876924095e-08,55,2129.0975155830383,1723047814.9610927,1.1228682299973899e-07,6.163878423049804e-08,44,0.00021884397212992583,2129.493778705597
3.259807458934489e-08,61,2356.3646619319916,1723048042.2281747,8.241064755019861e-08,4.9812572960853734e-08,45,0.0001641700633245208,2356.760860681534
2.5420436206681252e-08,67,2583.6150851249695,1723048269.4783473,7.499255719753196e-08,4.9572120990850705e-08,46,0.0001532016422665535,2584.011033296585
2.613088439565796e-08,73,2810.5295553207397,1723048496.393131,6.352025529713119e-08,3.7389370901473234e-08,47,0.00017352993853734605,2810.925817012787
2.261593475644163e-08,78,3000.3187172412872,1723048686.1831794,6.06822332234628e-08,3.806629846702117e-08,48,0.00013812397599280841,3000.7158653736115
