loss_boundary,step,time,_timestamp,loss,loss_interior,_step,l2_error,_runtime
2.515194173220324,0,38.429646492004395,1723045724.706871,2.515526377583242,0.00033220436291789117,0,1.5771383592064427,39.23955702781677
2.2212455721925553,1,76.63016366958618,1723045762.493676,2.277916696150638,0.05667112395808279,1,0.9020406994065363,77.02636194229126
0.9078908047468621,2,114.7129590511322,1723045800.576132,1.0284877701532074,0.12059696540634532,2,0.879589948770962,115.10881805419922
0.8826644678845913,3,152.62294721603394,1723045838.4863534,0.992056946018127,0.10939247813353574,3,0.9227731601660951,153.0190393924713
0.596809097702688,4,190.70526885986328,1723045876.568602,0.6202936093081693,0.023484511605481404,4,0.5572533605096108,191.10128808021545
0.20674898388271584,5,228.88917183876038,1723045914.7524219,0.21217441282403557,0.005425428941319727,5,0.4035310697188336,229.28510785102844
0.1189342654755788,6,267.5177779197693,1723045953.3812206,0.12092026615606613,0.0019860006804873387,6,0.07697611675848079,267.91390657424927
0.008146556439101787,7,306.084103345871,1723045991.947405,0.012963118331525698,0.00481656189242391,7,0.01534167466056568,306.4800910949707
0.00013845258238189196,8,344.18748021125793,1723046030.0507922,0.000409217828400677,0.00027076524601878506,8,0.011039013719136036,344.58347821235657
6.875372338709081e-05,9,382.19897532463074,1723046068.0622709,9.606127910806054e-05,2.7307555720969738e-05,9,0.0025199909126045433,382.5949568748474
6.966213768517506e-06,10,420.3684856891632,1723046106.2321515,1.0851606069234562e-05,3.885392300717055e-06,10,0.002098462772181792,420.7648375034332
3.8689127843727505e-06,11,458.1547906398773,1723046144.0181265,6.387939494107894e-06,2.5190267097351434e-06,11,0.0019485833490975135,458.55081248283386
2.858236597906641e-06,12,496.04992628097534,1723046181.9133637,4.601353354531638e-06,1.7431167566249978e-06,12,0.0013618656494705497,496.4460496902466
1.8869994106993041e-06,13,533.9277029037476,1723046219.791094,3.1763085016234076e-06,1.2893090909241037e-06,13,0.0011538587765522134,534.3237800598145
1.294505720067225e-06,14,571.8643221855164,1723046257.7277932,2.3201456690910903e-06,1.025639949023865e-06,14,0.0011716976081907412,572.2604792118073
1.1862877736958066e-06,15,609.569896697998,1723046295.433443,2.054080681867651e-06,8.677929081718444e-07,15,0.0009249389749081413,609.9661290645599
7.441546874864997e-07,16,647.2351145744324,1723046333.0983663,1.5480753159911628e-06,8.039206285046631e-07,16,0.0008846821402397147,647.6310522556305
5.662748653638803e-07,17,685.2039523124695,1723046371.0673685,1.1596810862820695e-06,5.93406220918189e-07,17,0.0007408690633094544,685.6000545024872
4.56567671682647e-07,18,723.0593674182892,1723046408.9226148,9.529237026779365e-07,4.963560309952895e-07,18,0.0005988746445732712,723.4553008079529
3.4493451919096806e-07,19,760.6550650596619,1723046446.5186455,7.434258033156458e-07,3.984912841246777e-07,19,0.0006432386599422301,761.0513315200806
2.9420555843099023e-07,20,798.6278438568115,1723046484.491395,6.623567218330742e-07,3.6815116340208395e-07,20,0.0005761761452364413,799.024080991745
2.7289865524752977e-07,21,836.4195463657379,1723046522.282917,5.880306397931966e-07,3.151319845456668e-07,21,0.0005824107538863535,836.815603017807
2.939728663304823e-07,22,874.0934672355652,1723046559.9569213,6.370695263017629e-07,3.4309665997128066e-07,22,0.0005007552440319439,874.489607334137
2.0595813295857027e-07,23,912.0714926719666,1723046597.9347124,4.740403181448252e-07,2.680821851862549e-07,23,0.000446556762377042,912.4673984050751
1.8245015997867335e-07,24,950.2194514274597,1723046636.083042,4.293082620690638e-07,2.4685810209039046e-07,24,0.0004675988644275478,950.6157279014587
2.1292312762541902e-07,25,988.7083413600922,1723046674.5721543,4.623550115389015e-07,2.4943188391348245e-07,25,0.0004956401169716909,989.1048402786255
1.7684774384387403e-07,26,1027.2880470752716,1723046713.151473,4.0877939622288737e-07,2.3193165237901333e-07,26,0.00044264684519340766,1027.684159040451
1.295730034692093e-07,27,1065.7682297229767,1723046751.6315665,3.2466308608883424e-07,1.9509008261962494e-07,27,0.00033870867033878563,1066.1642525196075
1.1633756165178787e-07,28,1104.0539872646332,1723046789.917429,2.7472249278934265e-07,1.5838493113755478e-07,28,0.00035367437807320366,1104.4501149654388
8.8714887529535e-08,29,1142.3731706142426,1723046828.2367475,2.4999462295833034e-07,1.6127973542879536e-07,29,0.000335216191143253,1142.7694334983826
9.529041698211891e-08,30,1180.7488253116608,1723046866.6125958,2.679199808594777e-07,1.7262956387735877e-07,30,0.0003768420222949028,1181.145281791687
1.1890163931156109e-07,31,1218.6502094268799,1723046904.513561,2.671103400632604e-07,1.4820870075169933e-07,31,0.0003627418286071604,1219.0462470054626
1.0702257636813252e-07,32,1256.4337570667267,1723046942.2972531,2.6863605697843686e-07,1.6161348061030434e-07,32,0.00032539993848723083,1256.8299391269684
8.460174404064084e-08,33,1294.4503185749054,1723046980.3137147,2.0913976573072302e-07,1.2453802169008216e-07,33,0.00027440225569613514,1294.8464007377625
6.665150403970382e-08,34,1332.4978549480438,1723047018.3613098,1.7205134256126098e-07,1.0539983852155717e-07,34,0.00030170270133892166,1332.8939957618713
7.517421080075222e-08,35,1370.3528099060059,1723047056.216479,1.9666984274503386e-07,1.2149563194428165e-07,35,0.0002991392541503676,1370.749165058136
6.31630234944549e-08,36,1408.175276517868,1723047094.0387235,1.8464787251635469e-07,1.2148484902189979e-07,36,0.0002486906590923928,1408.5714094638824
6.820659353870764e-08,37,1445.835788488388,1723047131.6991174,1.671585155041704e-07,9.895192196546278e-08,37,0.0003125156119455863,1446.2318034172058
