_runtime,loss_boundary,loss_interior,loss,_step,l2_error,_timestamp,time,step
2.5573627948760986,2.3941474858584644,1.0692413319824011e-05,2.394158178271784,0,0.7381627492471764,1723045695.0442228,1.591712474822998,0
2.97564959526062,0.3833111772352157,0.00249298242912781,0.3858041596643435,1,0.7942142305447722,1723045695.4625096,2.348775863647461,1
3.4016478061676025,0.3577921511365312,0.0008430312253656554,0.35863518236189684,2,0.6193071987139882,1723045695.8885078,2.7734649181365967,2
3.868701934814453,0.30566400953275347,0.008927775768385654,0.3145917853011391,3,0.6823371686399191,1723045696.355562,3.241896390914917,3
4.359941005706787,0.30610160783816465,0.007814482237784547,0.3139160900759492,4,0.7027051543065872,1723045696.846801,3.733170747756958,4
4.858902454376221,0.24967784905131907,0.02422675908040879,0.27390460813172784,5,0.599529177247608,1723045697.3457625,4.232147693634033,5
5.341892719268799,0.246288553618418,0.020158036722793763,0.26644659034121176,6,0.6922116194782592,1723045697.8287528,4.71392822265625,6
5.769030570983887,0.2237477525414812,0.009447640664510164,0.23319539320599136,7,0.5950951703974683,1723045698.2558906,5.142263650894165,7
6.232671022415161,0.21474844499512746,0.016464318964627005,0.23121276395975446,8,0.6607901003973291,1723045698.719531,5.606164216995239,8
6.677771329879761,0.19280143612808903,0.011564718186170992,0.20436615431426003,9,0.5360129256468829,1723045699.1646314,6.050968885421753,9
7.130161762237549,0.17836365286600825,0.02259305930762251,0.20095671217363076,10,0.6274064299942655,1723045699.6170218,6.503457307815552,10
7.583505868911743,0.17436317653404812,0.014425070236324668,0.1887882467703728,11,0.5542953891527732,1723045700.070366,6.95680570602417,11
8.001916408538818,0.16426963859837362,0.019048951031273235,0.18331858962964687,12,0.5892687247726461,1723045700.4887764,7.37493109703064,12
8.419753551483154,0.16720007517010232,0.012295344570317923,0.17949541974042024,13,0.5436421012416084,1723045700.9066136,7.792954444885254,13
8.8626549243927,0.15393702027025108,0.02391820452767571,0.1778552247979268,14,0.5902755905834889,1723045701.349515,8.235829591751099,14
9.334398746490479,0.170755125337618,0.010483429896559539,0.18123855523417753,15,0.5193326690707425,1723045701.8212588,8.70759892463684,15
9.808187246322632,0.15210171276881357,0.017237637396427138,0.1693393501652407,16,0.5587932712830526,1723045702.2950473,9.181342601776123,16
10.269999027252197,0.16945306259355142,0.012123478806324774,0.1815765413998762,17,0.4971366145496775,1723045702.756859,9.643250942230225,17
10.693020343780518,0.16165402714149424,0.021843318969381704,0.18349734611087595,18,0.5481418223849657,1723045703.1798804,10.066022872924805,18
11.147006273269653,0.16463118054703105,0.014496873277569055,0.1791280538246001,19,0.51304347504217,1723045703.6338663,10.520074605941772,19
11.586305618286133,0.15773746141377457,0.014341469248030371,0.17207893066180494,20,0.5236711784637529,1723045704.0731657,10.959356307983398,20
11.991434574127197,0.13188871143019665,0.01086218104730005,0.1427508924774967,21,0.5074086870211112,1723045704.4782946,11.364399433135986,21
12.42999005317688,0.12386288952221963,0.022190659403765956,0.1460535489259856,22,0.5221793385294209,1723045704.91685,11.8028085231781,22
12.890088558197021,0.13612645400480078,0.011554990322549679,0.14768144432735045,23,0.49638113013620977,1723045705.3769486,12.26311993598938,23
13.337137699127197,0.12482897178820336,0.01675900417777282,0.1415879759659762,24,0.49735689220696244,1723045705.8239977,12.709974527359009,24
13.775371551513672,0.13869998405335154,0.009580291445080224,0.14828027549843176,25,0.45953729836002233,1723045706.2622316,13.148353099822998,25
14.208320140838623,0.12604222573161689,0.016287119184593635,0.14232934491621052,26,0.48891913047511776,1723045706.6951802,13.581281661987305,26
14.66532039642334,0.12438175127462521,0.01233138152615325,0.13671313280077846,27,0.5196787586528947,1723045707.1521804,14.038340091705322,27
15.113457679748535,0.1180574840910492,0.011469535537075314,0.12952701962812452,28,0.4747057240089759,1723045707.6003177,14.486486673355103,28
15.568608045578003,0.12064516846294557,0.0128398611347231,0.13348502959766867,29,0.5139282081034781,1723045708.055468,14.941611766815186,29
16.03521490097046,0.13078408299959166,0.011128758278789291,0.14191284127838094,30,0.44866656803406757,1723045708.522075,15.408204555511475,30
16.46472692489624,0.12339980249672244,0.017675192463921133,0.14107499496064357,31,0.4802027106884249,1723045708.951587,15.837716102600098,31
16.919172525405884,0.12107625330808303,0.01225595841999138,0.1333322117280744,32,0.4660454964958141,1723045709.4060326,16.29210090637207,32
17.368844032287598,0.10224082698599458,0.01960722799430396,0.12184805498029855,33,0.47736286463234034,1723045709.855704,16.741827964782715,33
17.835089445114136,0.11611497112811958,0.010938755126438604,0.12705372625455819,34,0.4304030589131951,1723045710.3219495,17.208008289337158,34
18.30140972137451,0.11173793834652042,0.014492491324447871,0.12623042967096829,35,0.4149414455102185,1723045710.7882698,17.674277782440186,35
18.761035203933716,0.11281456734524319,0.012071154048815709,0.1248857213940589,36,0.43410458151098835,1723045711.2478952,18.133960962295532,36
19.23468041419983,0.1006718537893243,0.01513032297794993,0.11580217676727424,37,0.4431408694456594,1723045711.7215405,18.607637405395508,37
19.70661735534668,0.10292060557867717,0.01056770854123748,0.11348831411991465,38,0.4165787903874113,1723045712.1934774,19.079569101333618,38
20.171746253967285,0.09546890221308336,0.016086115969516385,0.11155501818259975,39,0.4490740299254102,1723045712.6586063,19.544708728790283,39
20.632894039154053,0.10538689588180003,0.010514343137470558,0.11590123901927059,40,0.4208250284399168,1723045713.119754,20.00574541091919,40
21.464329719543457,0.0996863678571487,0.011352990358603297,0.11103935821575199,41,0.40968369889736905,1723045713.9511898,20.83727788925171,42
