l2_error,loss_interior,loss,step,time,_step,_timestamp,loss_boundary,_runtime
0.6801601847867755,0.00025267566290999985,3.173703907627406,0,2.5094776153564453,0,1723045695.3589115,3.1734512319644956,3.430863618850708
0.7997988382902101,0.0005655936039226354,0.3678259749556188,1,2.9673306941986084,1,1723045695.568171,0.3672603813516962,3.640123128890991
0.7997988382902101,0.0010600639956382034,0.3414687455214472,2,3.162989616394043,2,1723045695.7632687,0.340408681525809,3.8352208137512207
0.8035768137589059,0.0010600639956382034,0.3414687455214472,3,3.3469738960266113,3,1723045695.9500062,0.340408681525809,4.021958351135254
0.8283614344808253,0.0011587976326248213,0.3414163744860598,4,3.5344157218933105,4,1723045696.13476,0.340257576853435,4.206712007522583
0.6718177638705894,0.0040606346764955935,0.33873277260600654,5,3.7245707511901855,5,1723045696.3248987,0.33467213792951095,4.396850824356079
0.5877086994471248,0.04164259479951499,0.31566515561658604,6,3.916391372680664,6,1723045696.5171168,0.27402256081707105,4.58906888961792
0.6629660163118972,0.0736160467208342,0.3117468019106489,7,4.107701063156128,7,1723045696.7081618,0.2381307551898147,4.780113935470581
0.7043692489571811,0.05323253507409279,0.2901395890433359,8,4.299181699752808,8,1723045696.8996463,0.23690705396924314,4.971598386764526
0.6330973105682702,0.007198681665229296,0.25865968177557624,9,4.491483211517334,9,1723045697.0919607,0.25146100011034694,5.163912773132324
0.6908302767123006,0.0027929185920770867,0.25248817822723574,10,4.686220169067383,10,1723045697.2867548,0.24969525963515868,5.358706951141357
0.5678857428624109,0.0049617774025355835,0.2143011549338381,11,4.876789093017578,11,1723045697.4773018,0.20933937753130252,5.549253940582275
0.5518334202690157,0.010807082845945816,0.19997128541396753,12,5.069009780883789,12,1723045697.6695287,0.18916420256802172,5.741480827331543
0.5409119647640769,0.012989568712026403,0.19951938407665104,13,5.261675834655762,13,1723045697.862246,0.18652981536462465,5.9341981410980225
0.5760714652139272,0.021903616758287947,0.19591732762653327,14,5.453464508056641,14,1723045698.054074,0.17401371086824532,6.126026153564453
0.6375186374293316,0.024870090499798606,0.19364281936149927,15,5.650141954421997,15,1723045698.2509167,0.16877272886170067,6.322868824005127
0.532146647054224,0.014672960606100493,0.18781603215565296,16,5.847853422164917,16,1723045698.4484568,0.17314307154955247,6.520408868789673
0.526417595700027,0.01663398388592755,0.17745737030178516,17,6.042334318161011,17,1723045698.6429877,0.1608233864158576,6.714939832687378
0.5108262154105468,0.016484396709283575,0.17738160667045383,18,6.238507986068726,18,1723045698.8391092,0.16089720996117024,6.9110612869262695
0.5860852369431253,0.005212584987863753,0.17044996544043067,19,6.432791233062744,19,1723045699.033484,0.16523738045256692,7.105436086654663
0.48745443912793124,0.0052436341516128564,0.16344733737544317,20,6.627153396606445,20,1723045699.2279403,0.15820370322383032,7.299892425537109
0.4376717273822669,0.0180385103901036,0.1551762685573584,21,6.8263444900512695,21,1723045699.4273078,0.1371377581672548,7.499259948730469
0.4724004189458011,0.025428924700680648,0.138384569037008,22,7.018641948699951,22,1723045699.619283,0.11295564433632733,7.691235065460205
0.4836931879833987,0.015595609800932492,0.13286382606754818,23,7.211320877075195,23,1723045699.8120387,0.1172682162666157,7.88399076461792
0.4568217722959803,0.010226227667007823,0.1311555084794328,24,7.402636528015137,24,1723045700.0032969,0.12092928081242499,8.075248956680298
0.41330500638972006,0.009777978245172582,0.12966476295060608,25,7.5975964069366455,25,1723045700.1984637,0.11988678470543351,8.270415782928467
0.4405902783591382,0.01327460265822098,0.12775607206361966,26,7.792475700378418,26,1723045700.3931446,0.11448146940539869,8.465096712112427
0.4534795029624837,0.014419512729211477,0.12361555538534821,27,7.988073348999023,27,1723045700.5887668,0.10919604265613674,8.66071891784668
0.4572729818997773,0.015062449521598286,0.1231894892062206,28,8.181426286697388,28,1723045700.7820945,0.10812703968462231,8.85404658317566
0.40152242410663014,0.018666474449067928,0.12213725991133692,29,8.373243808746338,29,1723045700.9740217,0.103470785462269,9.045973777770996
0.4294966374873324,0.018985205071943446,0.11884880891059045,30,8.566098690032959,30,1723045701.1667998,0.09986360383864701,9.238751888275146
0.3927923485504148,0.01364934439083991,0.11567209547201814,31,8.760752439498901,31,1723045701.3614624,0.10202275108117823,9.433414459228516
0.3771955967556139,0.019892434805933324,0.10462499535828862,32,8.956225633621216,32,1723045701.5568933,0.0847325605523553,9.628845453262329
0.37073807703646455,0.014187257446528689,0.1001045305406909,33,9.149644136428833,33,1723045701.7503302,0.08591727309416222,9.822282314300537
0.35203710313190045,0.011703493016382306,0.0951343871245353,34,9.34404993057251,34,1723045701.9449692,0.08343089410815299,10.016921281814575
0.37990006850629476,0.017910404808952052,0.0897354992116234,35,9.536672115325928,35,1723045702.1373298,0.07182509440267135,10.209281921386719
0.3308700025038832,0.013769425577384465,0.08567794726465093,36,9.736239433288574,36,1723045702.3372242,0.07190852168726647,10.409176349639893
0.31267481410966624,0.011364006242358143,0.08044340667695746,37,9.931219339370728,37,1723045702.531964,0.06907940043459931,10.60391616821289
0.2704247519111619,0.010944259381234469,0.06243966959706114,38,10.124659776687622,38,1723045702.7253654,0.051495410215826674,10.797317504882812
0.25985666786455075,0.01293202646447576,0.05999695962576139,39,10.316375255584717,39,1723045702.917141,0.04706493316128563,10.98909306526184
0.27617428528251775,0.011415900541805786,0.056675238738327326,40,10.511682271957397,40,1723045703.1126533,0.04525933819652154,11.184605360031128
0.24029890501099316,0.013087659427935171,0.050308882022779305,42,10.89291787147522,41,1723045703.4935718,0.03722122259484414,11.565523862838745
