step,_timestamp,loss_boundary,loss,l2_error,loss_interior,time,_runtime,_step
0,1723045652.9015825,3.1734512319644956,3.173703907627406,2.0045953001062804,0.00025267566290999985,1.0361332893371582,3.174908399581909,0
1,1723045652.9276843,3.1947974305790425,3.1950250558971076,1.9013557760424695,0.0002276253180652507,1.3508219718933105,3.201010227203369,1
2,1723045652.9497447,2.9175335416015686,2.917719916164761,1.761893771126033,0.00018637456319210152,1.3719453811645508,3.2230706214904785,2
3,1723045652.9750674,2.5378850894374443,2.53802333500585,1.5971534992218372,0.00013824556840579224,1.3937411308288574,3.2483932971954346,3
4,1723045652.997093,2.16131007317205,2.1613994998183124,1.4145454749268136,8.942664626233898e-05,1.4200592041015625,3.270418882369995,4
5,1723045653.0193808,1.7977538906793735,1.7978122796920597,1.2197624380118652,5.8389012686254e-05,1.4414563179016113,3.2927067279815674,5
6,1723045653.0417829,1.4096531481437533,1.4096981222941658,1.0191717870959718,4.497415041251427e-05,1.4639830589294434,3.3151087760925293,6
7,1723045653.0642147,1.2144984109739223,1.214553728393002,0.8223966740040988,5.531741907958115e-05,1.4877691268920898,3.337540626525879,7
8,1723045653.0868537,0.8157295782601314,0.8158259372816599,0.6645568331841373,9.63590215284934e-05,1.5101618766784668,3.3601796627044678,8
9,1723045653.1091692,0.5929243334941406,0.5930862388473305,0.6120925346057401,0.0001619053531898108,1.5329759120941162,3.382495164871216,9
10,1723045653.1314352,0.3998394501806854,0.40011204020015684,0.7115036870409411,0.0002725900194714347,1.5550343990325928,3.4047610759735107,10
11,1723045653.153137,0.3045156931268009,0.3049232420540557,0.9097512676177957,0.0004075489272548142,1.5780062675476074,3.4264628887176514,11
12,1723045653.174478,0.35386027932095276,0.35445280580482336,1.1240563915890787,0.0005925264838705775,1.5964438915252686,3.4478039741516113,12
13,1723045653.194698,0.44858612780049534,0.4494660340401678,1.2956234014326542,0.0008799062396724321,1.6180858612060547,3.4680240154266357,13
14,1723045653.2145498,0.6019950151729453,0.6032394576691348,1.3888819039940608,0.0012444424961894382,1.6377842426300049,3.4878756999969482,14
15,1723045653.23561,0.7451697570864786,0.7472149045912005,1.386467394421627,0.002045147504721974,1.6592013835906982,3.5089359283447266,15
16,1723045653.2556753,0.72790667095119,0.7311156679745667,1.2993459240383896,0.0032089970233767176,1.6791470050811768,3.529001235961914,16
17,1723045653.2748282,0.5918820594073733,0.5970679590658694,1.1583737270278016,0.005185899658496107,1.6988401412963867,3.54815411567688,17
18,1723045653.2980583,0.4605756332759372,0.4683308847778812,0.9965861028296669,0.007755251501943988,1.721971035003662,3.5713841915130615,18
19,1723045653.3170412,0.3778520307602071,0.38806825122365635,0.8431384648872784,0.010216220463449208,1.740992546081543,3.590367078781128,19
20,1723045653.3360105,0.3429166001901302,0.3555854317235541,0.7206825563817142,0.012668831533423889,1.759871482849121,3.6093363761901855,20
21,1723045653.3548791,0.3219301786712101,0.3365235548170565,0.6433806710685005,0.014593376145846368,1.7788724899291992,3.6282050609588623,21
22,1723045653.373731,0.33799194371304436,0.354177335800427,0.6072402697821891,0.016185392087382636,1.797884464263916,3.647056818008423,22
23,1723045653.392504,0.3923635930311277,0.40984825375920375,0.5973956068424009,0.017484660728076053,1.8165886402130127,3.66582989692688,23
24,1723045653.411224,0.3995328297713705,0.41794590764884687,0.5966899809296429,0.018413077877476362,1.8353750705718994,3.6845498085021973,24
25,1723045653.4302087,0.40295108736250973,0.4223380264833924,0.5956349425945773,0.01938693912088269,1.8543686866760254,3.7035346031188965,25
26,1723045653.4490352,0.42581893690890776,0.44633060621831777,0.5916578435775801,0.020511669309409987,1.8732242584228516,3.7223610877990723,26
27,1723045653.4681158,0.39653260725671446,0.41819126341591917,0.5877006727244874,0.02165865615920471,1.892359733581543,3.7414417266845703,27
28,1723045653.4872618,0.4067145157220675,0.4298837148077306,0.5896931036361454,0.023169199085663034,1.9115126132965088,3.760587692260742,28
29,1723045653.506366,0.34493652158987254,0.36958938497008736,0.6030668091361152,0.024652863380214805,1.9305636882781982,3.7796919345855713,29
30,1723045653.5255117,0.33039750631830955,0.35675998047709084,0.6306463831485795,0.0263624741587813,1.9497833251953125,3.798837661743164,30
31,1723045653.544578,0.30407529385182686,0.3322488878810625,0.6686760919859188,0.02817359402923566,1.9688124656677246,3.817903995513916,31
32,1723045653.563939,0.2794503589238138,0.3092895643748982,0.7121283050384635,0.029839205451084382,1.9879615306854248,3.8372650146484375,32
33,1723045653.5846055,0.32045317318741834,0.351888420208548,0.7522373617612407,0.03143524702112966,2.0092737674713135,3.85793137550354,33
34,1723045653.6060352,0.30506485076424195,0.33797611821675755,0.7852393206133049,0.03291126745251562,2.032439708709717,3.879361152648926,34
35,1723045653.6270292,0.2940837366359348,0.3281774756002637,0.8094503257894364,0.034093738964328955,2.0518124103546143,3.900355100631714,35
36,1723045653.6480455,0.3006248078449258,0.3351355428525315,0.8228845857124382,0.034510735007605695,2.072719097137451,3.9213714599609375,36
37,1723045653.6705854,0.30528781263328925,0.34018961237503476,0.8230801446164242,0.03490179974174552,2.0964884757995605,3.94391131401062,37
38,1723045653.6897767,0.31679710187186233,0.351725330930856,0.8107490181700562,0.03492822905899368,2.1139469146728516,3.9631025791168213,38
39,1723045653.708918,0.2940002738451565,0.32819951836097594,0.787238360654151,0.03419924451581944,2.133066415786743,3.9822440147399902,39
40,1723045653.7281182,0.2764894339515973,0.31024407351963695,0.75608830200168,0.03375463956803966,2.15216326713562,4.001444101333618,40
42,1723045653.7645879,0.29961400009156935,0.3315394963864918,0.6922511670415702,0.03192549629492247,2.1877217292785645,4.037913799285889,41
46,1723045653.8309317,0.2617258142038739,0.2888737039771914,0.6120990593108726,0.02714788977331751,2.2551119327545166,4.104257583618164,42
50,1723045653.8966663,0.2932460883010805,0.3177875303422018,0.6076431055204669,0.024541442041121284,2.320762872695923,4.169992208480835,43
55,1723045653.977861,0.26466818547613163,0.286890545287486,0.6652410891778741,0.022222359811354352,2.4019994735717773,4.251186847686768,44
61,1723045654.0771618,0.24562266303434394,0.2658168934381495,0.687658670750716,0.020194230403805594,2.49979567527771,4.35048770904541,45
67,1723045654.1769357,0.2279705927382202,0.24692607816344098,0.6270303280922569,0.018955485425220762,2.601015329360962,4.45026159286499,46
73,1723045654.2733839,0.22809169030428586,0.24710485007971386,0.6054274080840515,0.019013159775427998,2.6975462436676025,4.546709775924683,47
81,1723045654.4047103,0.19901310225504013,0.21846649167334026,0.6194034994248834,0.01945338941830012,2.829240083694458,4.678036212921143,48
89,1723045654.533118,0.20743393253598816,0.22919590679783242,0.5676246476018574,0.02176197426184426,2.957285165786743,4.806443929672241,49
98,1723045654.6873102,0.1778718189383373,0.19525436990268596,0.6148060691055123,0.01738255096434864,3.111482858657837,4.960636138916016,50
107,1723045654.8338525,0.17226085291826576,0.19422768701782045,0.5643298002579087,0.021966834099554678,3.2579712867736816,5.107178449630737,51
118,1723045655.0186715,0.17370803873909485,0.191256805722593,0.5753304776065271,0.017548766983498148,3.4430503845214844,5.29199743270874,52
130,1723045655.220557,0.1579519544315961,0.1734953424494008,0.5605353400172166,0.015543388017804683,3.6445584297180176,5.493882894515991,53
143,1723045655.4351664,0.15422432602681047,0.167452712354068,0.5315076422339244,0.013228386327257546,3.8590900897979736,5.708492279052734,54
157,1723045655.668253,0.13801212924469075,0.15074208173839887,0.5096015640672766,0.012729952493708108,4.092611074447632,5.9415788650512695,55
172,1723045655.911358,0.14312785391731894,0.15433441638675566,0.505752310909341,0.011206562469436727,4.335239887237549,6.1846840381622314,56
190,1723045656.2039423,0.13703370937115147,0.14892619280147812,0.4939163528120312,0.011892483430326653,4.628219127655029,6.477268218994141,57
208,1723045656.4973736,0.1273709819785993,0.14106648057893964,0.4647924337247511,0.013695498600340346,4.921218633651733,6.770699501037598,58
229,1723045656.843704,0.11550183413182216,0.129814751093951,0.4607704181182032,0.014312916962128842,5.26741099357605,7.117029905319214,59
252,1723045657.2187653,0.0976266101335204,0.11219816845728363,0.43114069078161077,0.014571558323763218,5.642382621765137,7.492091178894043,60
277,1723045657.6218543,0.09554071681540839,0.10892611647089445,0.41611418003759526,0.013385399655486059,6.045505046844482,7.8951802253723145,61
305,1723045658.0755277,0.07673770942548888,0.0889549140277323,0.38537889877191966,0.012217204602243415,6.499584674835205,8.348853588104248,62
335,1723045658.5699208,0.06907668717946872,0.08198590843840356,0.33009845911579944,0.01290922125893484,6.993650674819946,8.843246698379517,63
369,1723045659.1379745,0.04487534475822608,0.05551803770842542,0.2743364393596078,0.010642692950199347,7.561830043792725,9.411300420761108,64
406,1723045659.7513242,0.02833780059862517,0.04016757521861615,0.20940243052182422,0.011829774619990978,8.175380229949951,10.02465009689331,65
446,1723045660.4004157,0.026166569420866318,0.03810811472756037,0.1900512461569799,0.011941545306694057,8.824268817901611,10.673741579055786,66
491,1723045661.1275377,0.02219029332719994,0.03201248592095719,0.17700085575710567,0.009822192593757252,9.551646947860718,11.400863647460938,67
540,1723045661.9224038,0.018836036979454,0.027977839455818276,0.17068706460825042,0.009141802476364275,10.346410274505615,12.195729732513428,68
594,1723045662.7907972,0.01594415837526732,0.02358408097792962,0.16860201287673074,0.0076399226026623,11.214963436126709,13.064123153686523,69
653,1723045663.7686574,0.01527289019553353,0.021608668233820124,0.16698820367404144,0.0063357780382865955,12.193440198898315,14.041983366012573,70
718,1723045664.8411248,0.012975082592600828,0.018335218879799234,0.13500249443469886,0.0053601362871984045,13.26535415649414,15.114450693130493,71
790,1723045666.0662599,0.014101661389542105,0.018589205390550118,0.14311315364401478,0.004487544001008014,14.490535497665405,16.339585781097412,72
869,1723045667.4051423,0.0094878168932877,0.013320501210978913,0.11984847089410768,0.003832684317691214,15.829540014266968,17.678468227386475,73
956,1723045668.8795357,0.008330802959787246,0.011240372236362395,0.10762443601756852,0.0029095692765751485,17.303747177124023,19.15286159515381,74
1052,1723045670.4990237,0.005914458631306875,0.00853408446454442,0.08767346186907804,0.0026196258332375445,18.92327356338501,20.77234959602356,75
