step,loss,l2_error,_timestamp,time,_step,loss_boundary,_runtime,loss_interior
869,0.0054521937893029955,0.06561549316805843,1723046079.7205408,386.71982502937317,73,0.00394915986160087,387.23798871040344,0.0015030339277021252
956,0.004847702209205901,0.06182568165340423,1723046118.7774265,425.7770001888275,74,0.003380626408706323,426.29487442970276,0.0014670758004995778
1052,0.004534228721596394,0.059498831268164146,1723046161.754219,468.7536368370056,75,0.003227226428334132,469.2716670036316,0.0013070022932622622
1157,0.003921638569388082,0.05550108001995562,1723046208.823592,515.8230106830597,76,0.0026488371884766356,516.3410398960114,0.0012728013809114465
1272,0.003328881368313147,0.05165227159006608,1723046259.9068558,566.9064118862152,77,0.0022419146544577118,567.4243037700653,0.0010869667138554355
1400,0.0030817357937657102,0.048062649895097696,1723046317.3300147,624.3293380737305,78,0.002133208910329065,624.8474626541138,0.0009485268834366454
1539,0.0025070884569533764,0.04484781032802479,1723046379.4173725,686.4165933132172,79,0.0016457985165111678,686.9348204135895,0.0008612899404422087
1693,0.002207694912228791,0.04177073222909245,1723046448.5674968,755.5668666362762,80,0.0014608272772612034,756.0849447250366,0.0007468676349675873
1863,0.0019544335536106207,0.03977570311788335,1723046523.5002615,830.4994554519653,81,0.0013324614305354253,831.0177094936371,0.0006219721230751955
2049,0.0018116712006343778,0.03813422224042635,1723046606.6138294,913.613178730011,82,0.001280325018281492,914.1312773227692,0.0005313461823528859
2254,0.0015917086463920443,0.03611504341191688,1723046698.3736625,1005.3730533123016,83,0.0010604699426175262,1005.891110420227,0.0005312387037745181
2479,0.001431302791747985,0.0334760708869479,1723046799.6818902,1106.6812057495117,84,0.001011554383698199,1107.1993381977081,0.00041974840804978586
2727,0.0013579551622953055,0.0309878753345236,1723046910.6026149,1217.6019208431244,85,0.000979519517766024,1218.120062828064,0.00037843564452928166
3000,0.001301973920518304,0.030552537005546845,1723047033.02267,1340.0220193862915,86,0.0008999957224919743,1340.5401179790497,0.00040197819802632965
3299,0.001087529888520978,0.029005520532895155,1723047166.8412085,1473.8407785892487,87,0.0007642145919513642,1474.3586564064026,0.00032331529656961394
3629,0.0009949054292195325,0.02782263543754105,1723047314.6096928,1621.6090171337128,88,0.0007023565302245731,1622.1271407604218,0.00029254889899495926
3992,0.0008836431187449173,0.026582135223779144,1723047477.0193286,1784.0186848640442,89,0.0006094028347631771,1784.5367765426636,0.00027424028398174017
4391,0.0009989893966301628,0.0261065297058209,1723047655.7339647,1962.733263015747,90,0.0007640332585477427,1963.2514126300812,0.00023495613808242
4831,0.0008141130713447237,0.025035946187726837,1723047852.576781,2159.576119184494,91,0.0005904577626144352,2160.0942289829254,0.00022365530873028855
5314,0.0008060708886459555,0.02436395291544336,1723048068.5446954,2375.544028520584,92,0.00057947913555797,2376.0621433258057,0.0002265917530879855
5845,0.0007405849273438157,0.02339927738286237,1723048304.1393845,2611.1387605667114,93,0.0005318199546694563,2611.6568324565887,0.00020876497267435944
6429,0.0006614757696414062,0.0226121729050539,1723048565.4834976,2872.4828491210938,94,0.0004645726032386403,2873.0009455680847,0.00019690316640276587
6714,0.0006875368988015388,0.022620496342886456,1723048693.3072097,3000.30677986145,95,0.000493294402633781,3000.824657678604,0.00019424249616775775
