loss_interior,l2_error,loss_boundary,time,loss,step,_step,_runtime,_timestamp
2.484706696701231e-05,1.9254021598283826,2.9929348288213,1.671424150466919,2.992959675888267,0,0,2.3089780807495117,1723045698.143899
2.484672121194989e-05,0.6685127618120659,2.9929277622073243,2.014768123626709,2.9929526089285363,1,1,2.4434452056884766,1723045698.278366
0.00020427018681235171,2.5244110328938674,0.37996829820494055,2.1180689334869385,0.3801725683917529,2,2,2.546374559402466,1723045698.3812954
0.0008014752815788354,3.470368796238346,4.6273836319075174,2.2204549312591553,4.628185107189096,3,3,2.6490566730499268,1723045698.4839776
0.025745106861482753,0.4543661009240014,5.100226551772612,2.3195927143096924,5.125971658634095,4,4,2.748086452484131,1723045698.5830073
0.018141322245958637,0.41714975056423315,0.28558946330186447,2.4183573722839355,0.3037307855478231,5,5,2.8467962741851807,1723045698.6817172
0.050068689926494526,0.5210268375856494,0.22063478183577348,2.517404556274414,0.270703471762268,6,6,2.945819139480591,1723045698.78074
0.021926120754677023,0.574615555445059,0.21156534481802577,2.616492986679077,0.23349146557270278,7,7,3.044889211654663,1723045698.87981
0.023587075762515543,0.4972336078917565,0.20401782459893564,2.71521258354187,0.22760490036145117,8,8,3.143674612045288,1723045698.9785955
0.006765209411349775,0.561792776093939,0.18856574273785953,2.813889265060425,0.1953309521492093,9,9,3.2435929775238037,1723045699.0785139
0.007542513109462299,0.49293997357204966,0.17741587205298096,2.913832426071167,0.18495838516244326,10,10,3.342268943786621,1723045699.1771898
0.013786901040460205,0.5085243501014189,0.16071724394083778,3.0126001834869385,0.174504144981298,11,11,3.4410486221313477,1723045699.2759695
0.008730471515370016,0.4569015526171743,0.14746005000570778,3.1110780239105225,0.1561905215210778,12,12,3.5425708293914795,1723045699.3774917
0.009806772806436293,0.4843172001846236,0.14184942289413546,3.213256597518921,0.15165619570057176,13,13,3.6417458057403564,1723045699.4766667
0.009308460333953853,0.41210505966298544,0.1393953899263008,3.312222480773926,0.14870385026025465,14,14,3.740684986114502,1723045699.5756059
0.018193030420327293,0.4063937962292493,0.11858163947861906,3.411170244216919,0.13677466989894635,15,15,3.839622974395752,1723045699.6745439
0.01952692440708809,0.433677287532247,0.1110717384463298,3.5099973678588867,0.1305986628534179,16,16,3.9384400844573975,1723045699.773361
0.01777898373158457,0.4032384638421607,0.11177947236512795,3.608835220336914,0.12955845609671252,17,17,4.037301540374756,1723045699.8722224
0.011897414333911475,0.40128240421276407,0.10997802107855548,3.7187306880950928,0.12187543541246695,18,18,4.147319555282593,1723045699.9822404
0.006369793613685168,0.3518832924803877,0.08793192502302176,3.830451250076294,0.09430171863670693,19,19,4.259293079376221,1723045700.094214
0.007335962892365264,0.3322502049910281,0.08245989734160909,3.9465155601501465,0.08979586023397436,20,20,4.375340223312378,1723045700.210261
0.01384623283299508,0.3028935535903372,0.06634813657694494,4.062032699584961,0.08019436940994001,21,21,4.490830898284912,1723045700.3257518
0.007961306624613555,0.24018865034529885,0.06133632300515668,4.174832582473755,0.06929762962977024,22,22,4.60372519493103,1723045700.438646
0.008539400792531864,0.263514597792198,0.05490874476353782,4.282642126083374,0.06344814555606969,23,23,4.711137771606445,1723045700.5460587
0.008597091821200154,0.25728562156540635,0.05153208147536073,4.381171941757202,0.06012917329656088,24,24,4.809565544128418,1723045700.6444864
0.00996891516690339,0.2358454299146087,0.048852037720885255,4.480042457580566,0.058820952887788644,25,25,4.908463954925537,1723045700.7433848
0.010236986334178078,0.25089204839246393,0.04520613855308795,4.578487873077393,0.05544312488726603,26,26,5.006933689117432,1723045700.8418546
0.009876304307456639,0.23345010557229742,0.04466839421987614,4.677640676498413,0.05454469852733278,27,27,5.106047630310059,1723045700.9409685
0.010010975777164954,0.21872881154472193,0.04009481991691428,4.776028871536255,0.05010579569407923,28,28,5.204446077346802,1723045701.039367
0.009768128817561984,0.2218089703133741,0.03955734608361539,4.883734464645386,0.04932547490117738,29,29,5.312350749969482,1723045701.1472716
0.009977540717935785,0.21096480778319218,0.037453923849769886,4.984629154205322,0.047431464567705674,30,30,5.413058042526245,1723045701.247979
0.009037060140572385,0.17179531303587722,0.032984136496670674,5.0847697257995605,0.04202119663724306,31,31,5.513170957565308,1723045701.3480918
0.00848296189693733,0.17539471631596962,0.029172326057245488,5.184084415435791,0.03765528795418282,32,32,5.612502813339233,1723045701.4474237
0.008644007798843101,0.1782601726026622,0.026312514038518316,5.282710790634155,0.03495652183736142,33,33,5.711104393005371,1723045701.5460253
0.008366542271894995,0.17405924268351305,0.025767573018798652,5.381155729293823,0.03413411529069365,34,34,5.809544324874878,1723045701.6444652
0.006775776739448936,0.18235793406395148,0.024839311127850133,5.480090618133545,0.031615087867299066,35,35,5.908503770828247,1723045701.7434247
0.006311720672922553,0.19027627114182247,0.02408883493069648,5.578649282455444,0.030400555603619032,36,36,6.007107734680176,1723045701.8420286
0.005483553730422995,0.17347745242448104,0.023114042231272555,5.678351402282715,0.02859759596169555,37,37,6.106854677200317,1723045701.9417756
0.004856563904390348,0.1751071965616403,0.021131071528339793,5.795164108276367,0.025987635432730142,38,38,6.2240214347839355,1723045702.0589423
0.004566153529287815,0.17431849331929525,0.020834490727413845,5.905920505523682,0.02540064425670166,39,39,6.3348917961120605,1723045702.1698127
0.004538541162614304,0.13922432824670622,0.019480488566227278,6.014957666397095,0.02401902972884158,40,40,6.4433979988098145,1723045702.278319
0.004907511788671458,0.14681089222824412,0.01651464289799939,6.209133148193359,0.021422154686670847,42,41,6.637566089630127,1723045702.472487
