_timestamp,loss_interior,step,_runtime,time,l2_error,loss_boundary,loss,_step
1723045694.8409064,0.001954453830865279,0,2.5584213733673096,1.5785846710205078,0.6751376282474522,3.2617973017784463,3.2637517556093116,0
1723045695.3121145,0.03453312089719368,1,3.0296294689178467,2.4204399585723877,0.7240604172542815,0.3506103697742,0.3851434906713937,1
1723045695.7877986,0.032728271387756074,2,3.5053136348724365,2.8963191509246826,0.6371316044882629,0.37184838829693007,0.40457665968468615,2
1723045696.258979,0.025578547355577835,3,3.976494073867798,3.3653197288513184,0.6838438294999949,0.3318297797088921,0.35740832706446996,3
1723045696.7272017,0.02418174428272321,4,4.444716691970825,3.8357768058776855,0.5168678205706563,0.30366938889282985,0.32785113317555303,4
1723045697.2068565,0.002335468353443516,5,4.9243714809417725,4.315155982971191,0.6749424552228492,0.28728340134137836,0.28961886969482187,5
1723045697.6821373,0.0026719290029993074,6,5.3996522426605225,4.789413690567017,0.5922978619329538,0.25717324488591947,0.25984517388891876,6
1723045698.1514657,0.004813150461253529,7,5.868980646133423,5.259836912155151,0.6815116319472403,0.234167803425719,0.23898095388697252,7
1723045698.6720011,0.008309748303128469,8,6.389516115188599,5.779080152511597,0.5839191916457439,0.20449102029023583,0.2128007685933643,8
1723045699.1751406,0.00884154223649606,9,6.892655611038208,6.283255100250244,0.47907681464467305,0.21006015778944198,0.21890170002593803,9
1723045699.6835396,0.03772832863048392,10,7.401054620742798,6.791542053222656,0.5505904209135135,0.13327717198657432,0.17100550061705824,10
1723045700.1599638,0.016187504776469935,11,7.877478837966919,7.268034934997559,0.4847900143604511,0.14694328319687827,0.1631307879733482,11
1723045700.6318502,0.010576159420252773,12,8.349365234375,7.740209579467773,0.5302113692808362,0.14972593335355378,0.16030209277380655,12
1723045701.1055772,0.008354523026210788,13,8.823092222213745,8.213864088058472,0.5018431950186633,0.1467419147882607,0.1550964378144715,13
1723045701.5727096,0.007282011056613335,14,9.290224552154541,8.68103837966919,0.5418848486111343,0.135092713233583,0.14237472429019632,14
1723045702.053879,0.006726352978020749,15,9.77139401435852,9.16111159324646,0.4642126316130542,0.15994115431724573,0.16666750729526647,15
1723045702.5304444,0.007474896671776672,16,10.24795937538147,9.638800621032715,0.5216166866136862,0.1363358207703432,0.14381071744211987,16
1723045703.0008888,0.007620771007832237,17,10.718403816223145,10.10917592048645,0.4803756104027466,0.14115847229261805,0.14877924330045028,17
1723045703.4692771,0.006071083501079383,18,11.186792135238647,10.577685117721558,0.4655432259311814,0.14571866517826307,0.15178974867934245,18
1723045703.94194,0.01343228787898539,19,11.659455060958862,11.05000901222229,0.5114348266766667,0.12445329320587532,0.1378855810848607,19
1723045704.4081478,0.007870180496994448,20,12.125662803649902,11.516554832458496,0.4580007279897787,0.1383976189678766,0.14626779946487106,20
1723045704.8791,0.008351708968188987,21,12.596615076065063,11.987468719482422,0.47472684390882136,0.1243408071175018,0.13269251608569077,21
1723045705.3477812,0.009011557569110698,22,13.065296173095703,12.456130266189575,0.4895039852727092,0.12167861024110872,0.13069016781021942,22
1723045705.8189387,0.008992761486704286,23,13.53645372390747,12.927374124526978,0.4484894578745707,0.12877848691045643,0.1377712483971607,23
1723045706.2926242,0.009298561031288914,24,14.010139226913452,13.400996446609497,0.48394012644140516,0.13311642620243083,0.14241498723371976,24
1723045706.7587724,0.009221140474107192,25,14.476287364959717,13.86705470085144,0.4547694162997856,0.1224648824356853,0.1316860229097925,25
1723045707.2249377,0.009286452878165614,26,14.942452669143677,14.333291053771973,0.4753058635771454,0.12087618231803597,0.13016263519620158,26
1723045707.6900954,0.009087529871723878,27,15.407610416412354,14.798662424087524,0.456143285616859,0.12160783046087173,0.1306953603325956,27
1723045708.1645398,0.006015881906978656,28,15.882054805755615,15.272868871688843,0.44902288317102107,0.12580535940230136,0.13182124130928002,28
1723045708.6270864,0.010949420739487023,29,16.34460139274597,15.73567247390747,0.4624571328959456,0.11297629349934812,0.12392571423883515,29
1723045709.092539,0.007544458769621816,30,16.810054063796997,16.20082974433899,0.433995313172604,0.11142599458068327,0.11897045335030508,30
1723045709.5550287,0.008716547355809408,31,17.27254366874695,16.663389921188354,0.4502719666995577,0.11486060325893897,0.12357715061474839,31
1723045710.0180545,0.011291703474249914,32,17.7355694770813,17.126452684402466,0.4317414830206186,0.09817489174384186,0.10946659521809178,32
1723045710.4861197,0.010820627700485691,33,18.20363473892212,17.594213247299194,0.40974674410212486,0.10667087463714785,0.11749150233763354,33
1723045710.9644816,0.00955545008536925,34,18.6819965839386,18.07267451286316,0.4542111483606094,0.1057894493215827,0.11534489940695195,34
1723045711.4345887,0.010174155862385898,35,19.152103662490845,18.543001174926758,0.4150169473291478,0.11302746522302036,0.12320162108540626,35
1723045711.8983955,0.009943504209590103,36,19.615910530090332,19.006844758987427,0.43650354945783326,0.1061776324094353,0.1161211366190254,36
1723045712.3645408,0.010034604625309316,37,20.082055807113647,19.47281813621521,0.4176897919499341,0.10694915956585363,0.11698376419116295,37
1723045712.8306222,0.01022740767192569,38,20.548137187957764,19.939026355743408,0.4371150068187703,0.10551443953372004,0.11574184720564573,38
1723045713.296366,0.010609161279485456,39,21.013880968093872,20.40478515625,0.41963131658731634,0.10957587086556467,0.12018503214505012,39
1723045713.7637804,0.009926191565878597,40,21.481295347213745,20.872204542160034,0.45175820326821153,0.10354136435394595,0.11346755591982455,40
1723045714.700017,0.009365339654362004,42,22.417531967163086,21.80845332145691,0.40652145472282014,0.10859034534522136,0.11795568499958337,41
