l2_error,loss_boundary,loss_interior,_runtime,loss,step,time,_step,_timestamp
2624867192.6828756,3.4754141021068877e+18,0.0,19.92476534843445,3.4754141021068877e+18,27,19.420230388641357,27,1723045672.6393504
1612840454.9306896,5.045025305680912e+18,0.0,20.635714054107666,5.045025305680912e+18,28,20.131112337112427,28,1723045673.3502991
1431519717.8358164,1.6654325654772966e+18,0.0,21.346115589141846,1.6654325654772966e+18,29,20.841596126556396,29,1723045674.0607007
1301496029.655772,2.0561709631527224e+18,0.0,22.05506205558777,2.0561709631527224e+18,30,21.55048680305481,30,1723045674.7696471
1477495270.5360167,2.0682160178043884e+18,0.0,22.77542018890381,2.0682160178043884e+18,31,22.270816802978516,31,1723045675.4900053
1362160140.5673978,2.8737548560757647e+18,0.0,23.492030143737793,2.8737548560757647e+18,32,22.98727512359619,32,1723045676.2066152
3866189073.106434,2.4575678388038164e+18,0.0,24.200482606887817,2.4575678388038164e+18,33,23.69589352607727,33,1723045676.9150677
2975046183.999721,8.288068180829758e+18,0.0,24.915790557861328,8.288068180829758e+18,34,24.411237001419067,34,1723045677.6303756
2084607448.1495419,7.56534052030675e+18,0.0,25.631895303726196,7.56534052030675e+18,35,25.12726879119873,35,1723045678.3464804
1764324906.8611407,2.96006065391207e+18,0.0,26.3454806804657,2.96006065391207e+18,36,25.84093737602234,36,1723045679.0600657
1596152799.725007,1.6884146870841833e+18,0.0,27.055419921875,1.6884146870841833e+18,37,26.550808668136597,37,1723045679.770005
1758746610.0427253,2.805390125464788e+18,0.0,27.770648956298828,2.805390125464788e+18,38,27.26608180999756,38,1723045680.485234
1400244369.6924703,1.419944827653167e+18,0.0,28.479079008102417,1.419944827653167e+18,39,27.974522829055786,39,1723045681.193664
1667097693.2354424,6.300521627539958e+17,0.0,29.179935216903687,6.300521627539958e+17,40,28.675333976745605,40,1723045681.8945203
2235380430.2333198,3.670310482570965e+18,0.0,30.57694959640503,3.670310482570965e+18,42,30.07253360748291,41,1723045683.2915347
1348315757.5061903,1.778087596681109e+18,0.0,33.42609763145447,1.778087596681109e+18,46,32.921531677246094,42,1723045686.1406827
778244960.7108806,9.431353336313714e+17,0.0,36.27626395225525,9.431353336313714e+17,50,35.77162289619446,43,1723045688.990849
14078697392259.092,6.414452447790033e+25,0.0,39.85450887680054,6.414452447790033e+25,55,39.349035024642944,44,1723045692.569094
39877435029047.18,5.188473778051591e+24,0.0,44.12806844711304,5.188473778051591e+24,61,43.622342586517334,45,1723045696.8426535
3050394736834.987,8.560964847335255e+24,0.0,48.35657215118408,8.560964847335255e+24,67,47.85191631317139,46,1723045701.0711572
142446677053644.06,2.015595138119299e+28,0.0,52.59932494163513,2.015595138119299e+28,73,52.09479761123657,47,1723045705.31391
881500508542804.1,3.587909204060005e+28,0.0,58.26299691200256,3.587909204060005e+28,81,57.75843405723572,48,1723045710.977582
79333927428424.56,2.9199224560901246e+27,0.0,63.97442579269409,2.9199224560901246e+27,89,63.469826221466064,49,1723045716.6890109
3332938415423588.0,3.631564916598455e+32,0.0,70.37550759315491,3.631564916598455e+32,98,69.87096047401428,50,1723045723.0900927
1537303869581623.5,8.003009012427177e+29,0.0,76.80064511299133,8.003009012427177e+29,107,76.29603219032288,51,1723045729.5152302
4388406292725815.5,8.398203077197282e+28,0.0,84.65483951568604,8.398203077197282e+28,118,84.14999580383301,52,1723045737.3694246
5518557957718941.0,2.162519021049744e+31,0.0,93.21952319145203,2.162519021049744e+31,130,92.71499252319336,53,1723045745.9341083
1.8596376667699484e+18,1.7363121458199687e+37,0.0,102.47546076774597,1.7363121458199687e+37,143,101.97094821929932,54,1723045755.1900458
4.892056263678759e+21,3.386827013748593e+44,0.0,112.43186950683594,3.386827013748593e+44,157,111.92729234695435,55,1723045765.1464546
2.2369879654283653e+21,2.5369273380286732e+42,0.0,123.10601997375488,2.5369273380286732e+42,172,122.60142254829407,56,1723045775.820605
5.328526750898012e+22,6.082632103560439e+45,0.0,135.91060090065002,6.082632103560439e+45,190,135.40551280975342,57,1723045788.625186
6.137387801707e+21,2.9154483714021083e+43,0.0,148.69971418380737,2.9154483714021083e+43,208,148.19517135620117,58,1723045801.4142992
2.2548191886834315e+22,1.4962934182293876e+44,0.0,163.6319031715393,1.4962934182293876e+44,229,163.12729167938232,59,1723045816.3464882
1.7699311157510573e+25,4.9622181215698005e+51,0.0,180.0534791946411,4.9622181215698005e+51,252,179.54849576950073,60,1723045832.7680643
3.964381481192524e+27,2.1928865262570866e+55,0.0,197.8356328010559,2.1928865262570866e+55,277,197.33104419708252,61,1723045850.5502179
1.612624556606309e+31,1.390865637290009e+62,0.0,217.72997403144836,1.390865637290009e+62,305,217.22537279129028,62,1723045870.444559
1.44570216139939e+33,2.3467216852269385e+66,0.0,239.0697181224823,2.3467216852269385e+66,335,238.5650053024292,63,1723045891.7843032
1.0688033164702357e+38,3.009549237879202e+75,0.0,263.2734787464142,3.009549237879202e+75,369,262.76892924308777,64,1723045915.9880638
4.693890341722859e+38,1.2801567672197145e+77,0.0,289.60323429107666,1.2801567672197145e+77,406,289.0985381603241,65,1723045942.3178194
3.318709696119993e+48,2.6794211728179435e+94,0.0,318.07740783691406,2.6794211728179435e+94,446,317.5716178417206,66,1723045970.791993
1.0050229603849681e+51,1.3598143543036855e+102,0.0,350.1381022930145,1.3598143543036855e+102,491,349.63345766067505,67,1723046002.8526874
3.134959112743291e+51,4.735588534592736e+102,0.0,385.021520614624,4.735588534592736e+102,540,384.5167164802551,68,1723046037.7361057
2.3100632079713817e+52,9.475175186579577e+104,0.0,423.64742374420166,9.475175186579577e+104,594,423.14260840415955,69,1723046076.3620088
