time,_runtime,loss_interior,l2_error,_timestamp,loss_boundary,loss,step,_step
1.8441269397735596,2.4984331130981445,2.484706696701231e-05,0.8080950614995834,1723045695.7736802,2.9929348288213,2.992959675888267,0,0
2.283460855484009,2.688638925552368,0.00018994929658892366,0.8080950614995834,1723045695.963886,0.3762821966936284,0.37647214599021733,1,1
2.469717502593994,2.874865770339966,0.00018994929658892366,0.8225372983970811,1723045696.1501129,0.3762821966936284,0.37647214599021733,2,2
2.6632814407348633,3.0697689056396484,0.0001291764031587718,0.8656681654896469,1723045696.345016,0.37568168243201716,0.37581085883517595,3,3
2.8485372066497803,3.253645420074463,0.003505245002453077,0.7250048583893229,1723045696.5288925,0.36620654316959694,0.36971178817205,4,4
3.0385541915893555,3.443761110305786,0.017340748107813986,0.6805606102863659,1723045696.7190082,0.3298939950050432,0.3472347431128572,5,5
3.225358009338379,3.6305723190307617,0.025510718875887226,0.6818400940806736,1723045696.9058194,0.3188845271007351,0.34439524597662236,6,6
3.4114973545074463,3.8167097568511963,0.04995083902335072,0.5885516241343277,1723045697.0919569,0.2691902646609315,0.3191411036842822,7,7
3.608739137649536,4.014127731323242,0.022862834722549432,0.7012364171031858,1723045697.2893748,0.22647252971858073,0.24933536444113016,8,8
3.793771743774414,4.19898247718811,0.013562256498743427,0.6075301966062073,1723045697.4742296,0.2262462472122478,0.23980850371099122,9,9
3.985861301422119,4.391439437866211,0.014479361847518324,0.5714498486520452,1723045697.6666865,0.21269850149943825,0.22717786334695658,10,10
4.176310062408447,4.5816521644592285,0.024451333918267246,0.6267769849579975,1723045697.8568993,0.19673596695533435,0.2211873008736016,11,11
4.366278648376465,4.771674394607544,0.02387197156002995,0.6615301243310304,1723045698.0469215,0.19389732853076266,0.21776930009079262,12,12
4.554603815078735,4.960119009017944,0.020966378135247574,0.5374176532070537,1723045698.235366,0.1867796582670656,0.20774603640231318,13,13
4.746640205383301,5.152376174926758,0.022917973006961034,0.5211274635122657,1723045698.4276233,0.17391763816712108,0.1968356111740821,14,14
4.9324352741241455,5.337904214859009,0.020967840514877926,0.6164483782584026,1723045698.6131513,0.17491698370741476,0.1958848242222927,15,15
5.123606204986572,5.529065847396851,0.008198210170606698,0.5371425377464054,1723045698.804313,0.17972325732986463,0.18792146750047134,16,16
5.3084800243377686,5.71386194229126,0.008629916350565373,0.497845193419602,1723045698.989109,0.17131065078105118,0.17994056713161655,17,17
5.494751930236816,5.900289297103882,0.018180131553764703,0.5620671705749037,1723045699.1755364,0.1531554571468031,0.1713355887005678,18,18
5.685019254684448,6.090539932250977,0.013516453918456703,0.47906130831616844,1723045699.365787,0.1534195165241498,0.16693597044260652,19,19
5.870857000350952,6.2763330936431885,0.012278685185726668,0.49912727735308726,1723045699.5515802,0.14634876179907258,0.15862744698479925,20,20
6.0660295486450195,6.471944808959961,0.010087052417215449,0.5105985411554517,1723045699.747192,0.14294673816744963,0.15303379058466507,21,21
6.254226922988892,6.659713268280029,0.012846344137469524,0.4783078462874375,1723045699.9349604,0.13694179799033393,0.14978814212780345,22,22
6.440542936325073,6.84611177444458,0.0164449588197669,0.44039954857506547,1723045700.1213589,0.1313017283121895,0.1477466871319564,23,23
6.633407354354858,7.038938522338867,0.02240856859696451,0.47487470621053296,1723045700.3141856,0.124440562957184,0.14684913155414853,24,24
6.819483041763306,7.224901914596558,0.018648426489715673,0.49475036990840776,1723045700.500149,0.12466413570942732,0.14331256219914298,25,25
7.010234594345093,7.415862798690796,0.015720305268826854,0.44010843374939795,1723045700.69111,0.12648478056665186,0.1422050858354787,26,26
7.198590517044067,7.604136943817139,0.015251510865558851,0.48783822010783406,1723045700.879384,0.1229907698520369,0.13824228071759576,27,27
7.384406328201294,7.790017604827881,0.016447796940486984,0.40796497472205845,1723045701.0652647,0.11270565474352778,0.12915345168401476,28,28
7.577860355377197,7.98343825340271,0.01659725905360502,0.3934545376954086,1723045701.2586854,0.10552593051357154,0.12212318956717655,29,29
7.764201641082764,8.169652938842773,0.014982254591216042,0.4315334723583444,1723045701.4449,0.10619696678469737,0.12117922137591342,30,30
7.955776929855347,8.361454248428345,0.009551177692437308,0.4071149825459298,1723045701.6367013,0.10696690505159272,0.11651808274403003,31,31
8.144188404083252,8.549724102020264,0.01289190216787204,0.3851966955920573,1723045701.8249712,0.0954693264297406,0.10836122859761263,32,32
8.32936692237854,8.734930753707886,0.019148362863912163,0.4118900413836605,1723045702.0101779,0.0862833003625857,0.10543166322649787,33,33
8.522902011871338,8.928508520126343,0.010160908324048878,0.33075566937997947,1723045702.2037556,0.08844471067200961,0.09860561899605849,34,34
8.70945405960083,9.115033864974976,0.012408605906074949,0.37425416633937386,1723045702.390281,0.07950927276931127,0.09191787867538623,35,35
8.899300813674927,9.304892778396606,0.01197822489556348,0.30688332616842284,1723045702.5801399,0.07261941909919688,0.08459764399476036,36,36
9.087280511856079,9.492815256118774,0.014817559340928278,0.3032124258720556,1723045702.7680624,0.06292754440176254,0.07774510374269082,37,37
9.272878408432007,9.678472995758057,0.01313264547085851,0.2706957840133808,1723045702.95372,0.05986660743460119,0.0729992529054597,38,38
9.46936583518982,9.874935388565063,0.01843236375728419,0.28538655036850674,1723045703.1501825,0.04966744920423588,0.06809981296152007,39,39
9.654289484024048,10.059676885604858,0.017171710762158076,0.24193918762071787,1723045703.334924,0.047769986647383696,0.06494169740954177,40,40
10.035041093826294,10.440669536590576,0.024719432757210804,0.210044179323641,1723045703.7159166,0.029852940732119606,0.05457237348933041,42,41
