step,loss_interior,l2_error,_timestamp,time,_runtime,loss,_step,loss_boundary
0,0.00033220436291789117,0.665612360686962,1723045695.3061297,1.6333396434783936,2.710136651992798,2.515526377583242,0,2.515194173220324
1,0.0003864389618500685,0.7773768255118124,1723045695.7084,2.4295570850372314,3.1124069690704346,0.33298111383083223,1,0.33259467486898214
2,0.0003174456043610617,0.6460869665592849,1723045696.1116366,2.83154034614563,3.51564359664917,0.31328901235163376,2,0.31297156674727267
3,0.0026246208022159857,0.698016570195709,1723045696.5129216,3.2339916229248047,3.91692852973938,0.3254740206851551,3,0.3228493998829391
4,0.004660018076436209,0.5828203305633617,1723045696.9149184,3.6362240314483643,4.318925380706787,0.30423744115510226,4,0.299577423078666
5,0.03687833918419979,0.6784653302655991,1723045697.3230515,4.044346332550049,4.727058410644531,0.25675784335806157,5,0.2198795041738618
6,0.014586969695749531,0.5853008030057482,1723045697.7327187,4.452777624130249,5.136725664138794,0.2644221670442201,6,0.2498351973484706
7,0.02073527149593031,0.7109274254674258,1723045698.138038,4.859320640563965,5.5420448780059814,0.23454296857321988,7,0.21380769707728955
8,0.009245452137722631,0.5768750715857668,1723045698.542222,5.26363730430603,5.946228981018066,0.2265979038613615,8,0.21735245172363887
9,0.016070930207046332,0.48469210198251356,1723045698.9446957,5.666096448898315,6.348702669143677,0.20478601282381756,9,0.18871508261677122
10,0.021665319107295387,0.574964435400288,1723045699.3512485,6.072579860687256,6.755255460739136,0.18702922207580427,10,0.1653639029685089
11,0.014619447865878167,0.535045447572392,1723045699.7555306,6.476790428161621,7.1595375537872314,0.1702619412383544,11,0.15564249337247624
12,0.015474480138474423,0.5949600812357352,1723045700.204859,6.926110744476318,7.608865976333618,0.1733904381283037,12,0.1579159579898293
13,0.013982543161198648,0.5172659677225748,1723045700.695301,7.416172504425049,8.099308013916016,0.1714836008221855,13,0.15750105766098685
14,0.016142866368537633,0.5634240155771775,1723045701.162935,7.883809804916382,8.566941976547241,0.16561642171630245,14,0.14947355534776482
15,0.01335838725557072,0.5122353125701886,1723045701.5860786,8.307480812072754,8.99008560180664,0.1702490984793405,15,0.15689071122376977
16,0.018221970379726248,0.5564178534055695,1723045702.0097907,8.731143474578857,9.413797616958618,0.1705628164976228,16,0.15234084611789656
17,0.01154732860978008,0.5055907176170279,1723045702.4236128,9.144601345062256,9.827619791030884,0.15688669025297416,17,0.14533936164319408
18,0.01629095233825883,0.5361343678005389,1723045702.8442307,9.565123081207275,10.248237609863281,0.1625958022790929,18,0.14630484994083406
19,0.013817830508477352,0.4982292504676693,1723045703.3791244,10.100163459777832,10.78313136100769,0.1725055247631463,19,0.15868769425466894
20,0.014978380377439975,0.5434870045600458,1723045703.782464,10.503713846206665,11.186470985412598,0.14368752022861334,20,0.12870913985117335
21,0.014175278449524256,0.5008135315979798,1723045704.1838796,10.905078172683716,11.587886571884155,0.15854171995139302,21,0.14436644150186875
22,0.014211321188971629,0.5346809560501606,1723045704.58956,11.310599565505981,11.993566989898682,0.15834341153324022,22,0.1441320903442686
23,0.01284837077735749,0.4916277317969251,1723045704.994115,11.715339183807373,12.398122072219849,0.16197833199588796,23,0.14912996121853048
24,0.017729335171845453,0.5180600330182987,1723045705.4050999,12.12628436088562,12.809106826782227,0.15905407430812907,24,0.1413247391362836
25,0.011056118328807044,0.4811066716034418,1723045705.80805,12.529233932495117,13.212056875228882,0.14957435731756233,25,0.1385182389887553
26,0.015126698805042187,0.5197489631427346,1723045706.2107668,12.931969404220581,13.614773750305176,0.14825937152201504,26,0.13313267271697285
27,0.014361544455931642,0.47841652786792904,1723045706.615911,13.336889028549194,14.019917964935303,0.1427772248628658,27,0.12841568040693416
28,0.017489171840179635,0.49928861505121963,1723045707.0267289,13.74768352508545,14.43073582649231,0.14634909954031652,28,0.12885992770013688
29,0.012506587514041934,0.5223030290338825,1723045707.4548688,14.175805568695068,14.858875751495361,0.1448232566362423,29,0.13231666912220036
30,0.016806376283688782,0.49502371493570985,1723045707.882805,14.603961706161499,15.28681206703186,0.1347248453839272,30,0.11791846910023841
31,0.01377144718987222,0.46805118411019697,1723045708.2993681,15.020529747009277,15.703375101089478,0.16207335364537925,31,0.14830190645550703
32,0.01674607275919748,0.5003999738373316,1723045708.7086482,15.429910898208618,16.11265516281128,0.1406408588177915,32,0.12389478605859404
33,0.0112257826489905,0.47273294524349224,1723045709.1177034,15.83901071548462,16.52171039581299,0.1343679483290237,33,0.12314216568003321
34,0.01333614054257584,0.43683272893357633,1723045709.5283103,16.249619483947754,16.93231725692749,0.14583794241230236,34,0.13250180186972652
35,0.016742072893544013,0.49224822354524145,1723045709.9312239,16.65247654914856,17.335230827331543,0.1375293966560077,35,0.12078732376246368
36,0.013268790331481518,0.44807502623392553,1723045710.338656,17.05991291999817,17.74266290664673,0.13092119520355935,36,0.11765240487207784
37,0.01562325867029862,0.48403017001197923,1723045710.7469544,17.468233346939087,18.15096139907837,0.13106046075353006,37,0.11543720208323145
38,0.012863110211665495,0.4594797850368058,1723045711.1611812,17.88247585296631,18.56518816947937,0.12127278359417312,38,0.10840967338250763
39,0.013127618581013648,0.48963823339742824,1723045711.580034,18.30011558532715,18.98404097557068,0.1177088889800171,39,0.10458127039900346
40,0.013199698211452655,0.4646439319501007,1723045711.986704,18.707990884780884,19.390711069107056,0.1280721710063857,40,0.11487247279493307
42,0.024168817137264036,0.4419656937974443,1723045712.7975981,19.519006967544556,20.201605081558228,0.11977227542820162,41,0.0956034582909376
