loss_interior,time,l2_error,_timestamp,loss,step,_runtime,_step,loss_boundary
1.0692413319824011e-05,1.939561128616333,0.6432296865847619,1723045655.5528755,2.394158178271784,0,3.025371551513672,0,2.3941474858584644
0.02466099484235744,2.6581015586853027,0.9907620434453897,1723045655.8881037,0.2758303060503736,1,3.3605997562408447,1,0.25116931120801617
0.01859608074282176,3.036590099334717,0.5750631445849713,1723045656.266581,0.49822823379573367,2,3.739077091217041,2,0.4796321530529119
0.04830424547066019,3.4496517181396484,0.5172826048827773,1723045656.679539,0.2983436321910579,3,4.1520349979400635,3,0.2500393867203977
0.02085323131350762,3.8867685794830322,0.38478892265424297,1723045657.1166484,0.18968692710851426,4,4.589144468307495,4,0.16883369579500665
0.011396781193377954,4.370697736740112,0.23824142078053775,1723045657.600684,0.09831461343735018,5,5.0731799602508545,5,0.08691783224397222
0.011982481095204759,4.904626369476318,0.16603901846750277,1723045658.1349812,0.05349359730017939,6,5.607477188110352,6,0.041511116204974635
0.003754719610174496,5.500930309295654,0.1323496077197644,1723045658.730988,0.024946843196271593,7,6.203484058380127,7,0.021192123586097098
0.003832966003400072,6.165412664413452,0.08270093250908632,1723045659.3954382,0.017259169832473255,8,6.867934226989746,8,0.013426203829073185
0.003884840422081595,6.8487184047698975,0.05569497284243933,1723045660.0787501,0.009177813933298265,9,7.551246166229248,9,0.005292973511216671
0.002165698121909148,7.584551811218262,0.03370700312503959,1723045660.8146582,0.004539721941041406,10,8.287154197692871,10,0.0023740238191322584
0.0014002220502458169,8.354666471481323,0.031189440263913994,1723045661.5850074,0.0023717750697698457,11,9.057503461837769,11,0.0009715530195240288
0.0007070529867144945,9.121785879135132,0.026789389327842375,1723045662.353269,0.0014159532412230116,12,9.825765132904053,12,0.0007089002545085171
0.00039704133587426844,9.892267942428589,0.07237395911609115,1723045663.1222954,0.0010120454335836376,13,10.594791412353516,13,0.0006150040977093692
0.0010915889995030987,10.660323858261108,0.035737602832934916,1723045663.8903084,0.00384432034201324,14,11.362804412841797,14,0.002752731342510141
0.0004700717528306996,11.422443628311157,0.02884488014372474,1723045664.6524704,0.0014178242674853616,15,12.124966382980347,15,0.0009477525146546619
0.0002615038888107398,12.189224243164062,0.02408792374685073,1723045665.4192173,0.0008875342832032687,16,12.891713380813599,16,0.0006260303943925289
0.00021538798899256586,12.953988313674927,0.022790855232007447,1723045666.1840284,0.0007449699024584473,17,13.656524419784546,17,0.0005295819134658815
0.00015761479026916064,13.727568626403809,0.021970443674186633,1723045666.9578974,0.0006781222396200083,18,14.43039345741272,18,0.0005205074493508477
0.00015526348753207964,14.492404460906982,0.02031475276139109,1723045667.722559,0.0006167057607679915,19,15.19505500793457,19,0.00046144227323591193
0.00012623173379473041,15.261318922042847,0.019956044516040317,1723045668.4913893,0.0005742927846824452,20,15.963885307312012,20,0.00044806105088771476
0.00011921640428138293,16.01502752304077,0.020698606195631422,1723045669.2450457,0.0005433694814180795,21,16.717541694641113,21,0.00042415307713669653
0.00011533503259968728,16.779752492904663,0.01903148239450611,1723045670.0097902,0.00043150798341000493,22,17.48228621482849,22,0.00031617295081031767
9.698059600322646e-05,17.545714378356934,0.01936947561663957,1723045670.7757173,0.0004395289476031519,23,18.248213291168213,23,0.0003425483515999254
9.665887520432864e-05,18.31510066986084,0.019999678891759565,1723045671.5451024,0.000438024883202456,24,19.017598390579224,24,0.00034136600799812735
9.56939548091043e-05,19.06857395172119,0.018677355219636878,1723045672.2986188,0.0004093121055094808,25,19.771114826202393,25,0.0003136181507003765
8.912777194061157e-05,19.83301305770874,0.017391387431547552,1723045673.0629885,0.00039139910424449103,26,20.535484552383423,26,0.00030227133230387946
8.89517902368445e-05,20.600038528442383,0.01705748851731275,1723045673.8300848,0.00035601702343665293,27,21.30258083343506,27,0.00026706523319980845
9.229681112859348e-05,21.361484050750732,0.016568913285384842,1723045674.5915058,0.00035876427338809756,28,22.06400179862976,28,0.00026646746225950405
8.76333034067518e-05,22.122822046279907,0.015266393408924094,1723045675.3528345,0.00034119370804285774,29,22.82533049583435,29,0.00025356040463610593
9.645557488710573e-05,22.88563323020935,0.015504438589877672,1723045676.1155553,0.00033287305879294807,30,23.588051319122314,30,0.00023641748390584234
9.927013302129917e-05,23.653236150741577,0.015705019248712114,1723045676.8833053,0.00030923454999264445,31,24.355801343917847,31,0.00020996441697134527
9.029207406923997e-05,24.421817541122437,0.015835667856972005,1723045677.6517837,0.00029125888842476417,32,25.124279737472534,32,0.00020096681435552422
9.234729869505189e-05,25.188663244247437,0.014676019696583387,1723045678.4189205,0.00026121389903304,33,25.891416549682617,33,0.0001688666003379881
9.48275329003239e-05,25.942076921463013,0.01510237135139658,1723045679.1720343,0.00027162134792552476,34,26.644530296325684,34,0.00017679381502520088
8.363011965301422e-05,26.707830905914307,0.01501456522113421,1723045679.9379833,0.00027799542560549747,35,27.410479307174683,35,0.00019436530595248326
8.597000909532084e-05,27.45203971862793,0.01390746251033301,1723045680.6820548,0.00024625262293461413,36,28.154550790786743,36,0.00016028261383929326
9.791527188791313e-05,28.210017204284668,0.01316259982919516,1723045681.4400284,0.00026699175148939193,37,28.912524461746216,37,0.00016907647960147878
8.832122054248207e-05,28.97323727607727,0.01329681100700548,1723045682.2032452,0.0002469255265578037,38,29.67574119567871,38,0.00015860430601532166
9.148358715165595e-05,29.718239545822144,0.013984931540544412,1723045682.948208,0.0002289964103952405,39,30.420704126358032,39,0.00013751282324358456
