_runtime,loss_boundary,loss_interior,step,l2_error,_timestamp,time,loss,_step
2.6608211994171143,2.7664645100319722,0.00037414547225684495,0,1.794681604138004,1723045654.3739343,1.1667430400848389,2.766838655504229,0
2.6852240562438965,2.5951988957996814,0.0005240034809390396,1,1.6743561000248974,1723045654.3983371,1.5066149234771729,2.5957228992806205,1
2.7064476013183594,2.3995775343419954,0.0008784998673370144,2,1.5021593689949544,1723045654.4195607,1.525329828262329,2.4004560342093324,2
2.727900981903076,2.063344972984356,0.0015575066479193368,3,1.2829747428164973,1723045654.441014,1.5469591617584229,2.0649024796322752,3
2.7496824264526367,1.5446043232247535,0.0027341909206404485,4,1.0313849809668534,1723045654.4627955,1.5687453746795654,1.547338514145394,4
2.7719919681549072,1.1835983131219199,0.004570409322946326,5,0.7788268318388208,1723045654.485105,1.5910565853118896,1.1881687224448663,5
2.7939188480377197,0.767941880532663,0.007217935484968161,6,0.6305327156635798,1723045654.507032,1.6127440929412842,0.7751598160176312,6
2.8161063194274902,0.5081258890237828,0.010341682842164397,7,0.7299348046364025,1723045654.5292194,1.6349818706512451,0.5184675718659472,7
2.838383197784424,0.36027000498268696,0.0138518146965974,8,1.0070529509927983,1723045654.5514963,1.6575393676757812,0.3741218196792844,8
2.860631227493286,0.43090632569769466,0.016493969843319935,9,1.298346771857432,1723045654.5737443,1.679499864578247,0.44740029554101457,9
2.8836252689361572,0.5983175366880028,0.017640813402881168,10,1.5073963803877455,1723045654.5967383,1.701993703842163,0.615958350090884,10
2.9060304164886475,0.7244071724540877,0.01716454107271765,11,1.589397469338037,1723045654.6191435,1.724562168121338,0.7415717135268054,11
2.9298956394195557,0.8355223332158407,0.014268217743173836,12,1.5357652879182937,1723045654.6430087,1.747741937637329,0.8497905509590146,12
2.9523024559020996,0.754424938847611,0.010159929381107623,13,1.3752236174890018,1723045654.6654155,1.7710363864898682,0.7645848682287186,13
2.974612236022949,0.6324995138745133,0.0059430743718360945,14,1.154181761945869,1723045654.6877253,1.793294906616211,0.6384425882463494,14
2.9946346282958984,0.48534511402763636,0.002563783051446963,15,0.9293474311090166,1723045654.7077477,1.8156132698059082,0.4879088970790833,15
3.018387794494629,0.3798727912474309,0.0006166598675304969,16,0.7462168993298083,1723045654.7315009,1.8406100273132324,0.3804894511149614,16
3.0381789207458496,0.31936652509760743,0.00012887143307328827,17,0.6364007782035991,1723045654.751292,1.858966588973999,0.3194953965306807,17
3.0578911304473877,0.3743517085522506,0.0006821188484253701,18,0.6013622238202335,1723045654.7710042,1.8788034915924072,0.375033827400676,18
3.077363967895508,0.3964941640579828,0.0017469911379733986,19,0.6066736426805027,1723045654.790477,1.8987274169921875,0.3982411551959562,19
3.0968542098999023,0.4439148338848526,0.002956108425389103,20,0.6188083914804586,1723045654.8099673,1.9178776741027832,0.4468709423102417,20
3.1160857677459717,0.5189332551026862,0.004138976178197637,21,0.6200458719994916,1723045654.8291988,1.937037706375122,0.5230722312808838,21
3.1355366706848145,0.48915112851992576,0.00518770708576575,22,0.6091340043764205,1723045654.8486497,1.9566864967346191,0.49433883560569153,22
3.1551437377929688,0.5076321014189648,0.006138786460350738,23,0.5928163916746582,1723045654.8682568,1.9759941101074219,0.5137708878793155,23
3.1744844913482666,0.4165635857508672,0.006993964694827826,24,0.5855253273817218,1723045654.8875976,1.9952712059020996,0.42355755044569504,24
3.1940383911132812,0.39127133501840955,0.007818085023598856,25,0.5999604680007393,1723045654.9071515,2.014913320541382,0.3990894200420084,25
3.2133641242980957,0.3108594934550167,0.008569920287017804,26,0.6408213899741794,1723045654.9264772,2.034212589263916,0.3194294137420345,26
3.2325589656829834,0.319677731091913,0.009252440630689297,27,0.7034932997544343,1723045654.945672,2.0534169673919678,0.3289301717226023,27
3.2521820068359375,0.3281975061498239,0.010051526163288322,28,0.7771825238028376,1723045654.965295,2.073042869567871,0.3382490323131122,28
3.271807909011841,0.3007294163218464,0.010787023868697064,29,0.8424526474582075,1723045654.984921,2.0929720401763916,0.3115164401905435,29
3.291156768798828,0.3465383487821597,0.011537755120614423,30,0.8894588370655201,1723045655.0042698,2.1119611263275146,0.35807610390277417,30
3.310098886489868,0.3223820509146932,0.01267678395567705,31,0.91539431479661,1723045655.023212,2.1309354305267334,0.33505883487037025,31
3.3294403553009033,0.361014911506225,0.013716544464631279,32,0.9132776849683363,1723045655.0425534,2.1502201557159424,0.3747314559708563,32
3.348780632019043,0.32584125453134744,0.014813634676784525,33,0.8896072376965132,1723045655.0618937,2.169610023498535,0.340654889208132,33
3.3678884506225586,0.345007231472744,0.016251258843533952,34,0.8467814706307165,1723045655.0810015,2.1887855529785156,0.36125849031627794,34
3.3875784873962402,0.3250042698711739,0.017440324644260534,35,0.7930784132190516,1723045655.1006916,2.2085177898406982,0.34244459451543446,35
3.406644344329834,0.2997126021368437,0.018732744178062317,36,0.7369666187626656,1723045655.1197574,2.2276339530944824,0.318445346314906,36
3.4254651069641113,0.3016600401505989,0.019856184881484783,37,0.6873790310476978,1723045655.1385782,2.2462258338928223,0.32151622503208366,37
3.444122791290283,0.29524463607504775,0.02097690860308532,38,0.646018715597736,1723045655.1572359,2.264909505844116,0.31622154467813307,38
3.462719202041626,0.28699267043894033,0.02209461670920182,39,0.6165384840247946,1723045655.1758323,2.283498525619507,0.30908728714814215,39
3.4811930656433105,0.29399785093643177,0.02241621951579852,40,0.5970909976456257,1723045655.1943061,2.302189350128174,0.3164140704522303,40
