_step,loss_boundary,l2_error,loss,_runtime,_timestamp,loss_interior,step,time
0,3.123687466814027,0.6749969540779159,3.1243397321180804,3.5369527339935303,1723045654.9746368,0.0006522653040536535,0,1.818382740020752
1,0.26485694693719697,0.5270728058173584,0.28213051879944073,3.8439197540283203,1723045655.2816038,0.01727357186224375,1,2.417022466659546
2,0.14896411215275585,0.33744993335224444,0.16519518684455156,4.191760778427124,1723045655.6294448,0.016231074691795726,2,2.764543056488037
3,0.08392067206113896,0.21961569305987116,0.10435229260336835,4.578469753265381,1723045656.0161538,0.0204316205422294,3,3.1513586044311523
4,0.031004945096521113,0.18318687409967604,0.04457053342739134,4.998692035675049,1723045656.436376,0.013565588330870229,4,3.571681261062622
5,0.020273250939776163,0.15317242359257077,0.027185474945974085,5.4608869552612305,1723045656.898571,0.006912224006197924,5,4.033797740936279
6,0.015383299673737746,0.1274382078511148,0.01862345874131242,5.959483861923218,1723045657.397168,0.0032401590675746744,6,4.5323615074157715
7,0.010060337630043308,0.09555593207695717,0.012605894141569058,6.5018310546875,1723045657.939515,0.0025455565115257497,7,5.074632406234741
8,0.006115885657645541,0.08578636641376929,0.00886883533106781,7.08318018913269,1723045658.5208642,0.0027529496734222695,8,5.655890703201294
9,0.004865097933570085,0.06250733754738053,0.008125607169202066,7.727442026138306,1723045659.165126,0.0032605092356319805,9,6.300085783004761
10,0.0030653839251300256,0.05727615989844969,0.005456677379450504,8.418848276138306,1723045659.8565323,0.0023912934543204784,10,6.99152684211731
11,0.0023893708152851745,0.05178523266870131,0.004110221991777429,9.117075443267822,1723045660.5547595,0.0017208511764922549,11,7.68976354598999
12,0.0022103372840703442,0.040012109647379286,0.003797715395775926,9.811840057373047,1723045661.249524,0.0015873781117055816,12,8.383237838745117
13,0.0016179935902769888,0.03839178012709423,0.0029737181727465412,10.501283645629883,1723045661.9389677,0.0013557245824695526,13,9.073939323425293
14,0.0011467890756961725,0.038337938323987866,0.0021507180844789146,11.191909551620483,1723045662.6295936,0.0010039290087827423,14,9.764592170715332
15,0.0014488005509519241,0.03494903905701366,0.002334294641604653,11.881898880004883,1723045663.319583,0.0008854940906527287,15,10.454494953155518
16,0.0012034152882404831,0.0339619303785582,0.002046454950124288,12.570708751678467,1723045664.0083928,0.0008430396618838046,16,11.143392562866211
17,0.0009818407204812986,0.029882147031450087,0.001652604788605427,13.272024631500244,1723045664.7097087,0.0006707640681241284,17,11.844711303710938
18,0.0009254311800184323,0.028296085780474184,0.0014735707604002354,13.979975700378418,1723045665.4176598,0.000548139580381803,18,12.552604913711548
19,0.0006803929242193316,0.02500386580703794,0.0011795364410058752,14.69072675704956,1723045666.1284108,0.0004991435167865435,19,13.263302326202393
20,0.0005239921496296781,0.022251486860663503,0.0009910105875762902,15.403563499450684,1723045666.8412476,0.00046701843794661206,20,13.975929260253906
21,0.00047922766637245573,0.02222372796704558,0.0008995572579420441,16.10960078239441,1723045667.5472848,0.00042032959156958834,21,14.682201385498047
22,0.00043019305807574066,0.02140932004256097,0.0008057652882461099,16.830191373825073,1723045668.2678754,0.00037557223017036927,22,15.402825117111206
23,0.0003932694880291435,0.022597314807033725,0.0007472085407530312,17.552669048309326,1723045668.990353,0.0003539390527238877,23,16.12523055076599
24,0.00035901120305908984,0.01954849024912159,0.0006821739025776444,18.282485961914062,1723045669.72017,0.0003231626995185545,24,16.855053901672363
25,0.0003754454207469876,0.018926399775840628,0.0006368855386131172,19.003572940826416,1723045670.441257,0.0002614401178661296,25,17.576077699661255
26,0.0003004330730704558,0.018770467887339447,0.0005699543104680027,19.71271252632141,1723045671.1503966,0.0002695212373975469,26,18.285357236862183
27,0.000227273271855225,0.017688975688887255,0.0004685354435062333,20.40820026397705,1723045671.8458843,0.0002412621716510083,27,18.98089098930359
28,0.00024596931393615774,0.017865106235420737,0.0004768225545507919,21.10871696472168,1723045672.546401,0.0002308532406146342,28,19.681353330612183
29,0.00027529637825881225,0.0178116035610749,0.0004956311500791436,21.82887029647827,1723045673.2665544,0.00022033477182033134,29,20.401460647583008
30,0.0003003067567844422,0.017459413005160473,0.0004885285960788257,22.527049779891968,1723045673.9647338,0.00018822183929438356,30,21.099735975265503
31,0.00022501929132351996,0.016288042622761803,0.0004142394793333606,23.242353200912476,1723045674.6800373,0.00018922018800984067,31,21.814828634262085
32,0.00021947819762959642,0.01514405762530245,0.0003810192374504967,23.96839737892151,1723045675.4060814,0.00016154103982090026,32,22.540946006774902
33,0.00018895814718841974,0.014566832016493595,0.0003411661050411966,24.692874908447266,1723045676.130559,0.00015220795785277685,33,23.265459299087524
34,0.00023840573371343885,0.01485881110640282,0.000401274478985773,25.416313409805298,1723045676.8539975,0.00016286874527233412,34,23.98885416984558
35,0.00023763810324622624,0.015536226863887215,0.0003962133721463054,26.139628887176514,1723045677.577313,0.00015857526890007917,35,24.71219563484192
36,0.00018503296285775876,0.014582081395158155,0.00032608476183104636,26.863680124282837,1723045678.3013642,0.0001410517989732876,36,25.436285495758057
37,0.00018056661010538804,0.01396346147327533,0.00031536118937594624,27.60207962989807,1723045679.0397637,0.0001347945792705582,37,26.174328565597534
38,0.00016819820200422627,0.013188178045867884,0.00027181286682471625,28.31968855857849,1723045679.7573726,0.00010361466482048999,38,26.892258644104004
39,0.00014389052290472568,0.013657904825570225,0.00024203945324814306,29.033724784851074,1723045680.4714088,9.814893034341737e-05,39,27.606260538101196
40,0.00018486857538496548,0.013272987998075123,0.00028361974217337265,29.756160020828247,1723045681.193844,9.875116678840719e-05,40,28.32867980003357
