step,_runtime,_timestamp,l2_error,loss_interior,loss,time,loss_boundary,_step
0,2.1739182472229004,1723045695.4215283,0.6303677320937218,1.0692413319824011e-05,2.394158178271784,1.5227298736572266,2.3941474858584644,0
1,2.357649087905884,1723045695.6052592,0.7775658618101942,0.0009544712852466328,0.48676171469474816,1.9192309379577637,0.48580724340950154,1
2,2.544548273086548,1723045695.7921584,0.7775658618101942,0.0014354458145731596,0.3672028826618325,2.104870557785034,0.3657674368472593,2
3,2.728330612182617,1723045695.9759407,0.7823452414006422,0.0014354458145731596,0.3672028826618325,2.289031982421875,0.3657674368472593,3
4,2.909914970397949,1723045696.157525,0.8068410673320138,0.0013938101715469228,0.36716362781327105,2.4715492725372314,0.3657698176417241,4
5,3.091627359390259,1723045696.3392375,0.8460882772991108,0.0009556010432176937,0.36636568776735984,2.6532833576202393,0.36541008672414216,5
6,3.272488832473755,1723045696.520099,0.6420638950679497,0.0007072276178659787,0.3619155085031123,2.834169387817383,0.36120828088524637,6
7,3.453961133956909,1723045696.7015712,0.6212700083181517,0.057088317335775775,0.32800301583763775,3.0156495571136475,0.27091469850186195,7
8,3.635824680328369,1723045696.8834348,0.5432635848615557,0.06291264694151756,0.3276847685688146,3.1975173950195312,0.2647721216272971,8
9,3.8211653232574463,1723045697.0687754,0.6646616742324135,0.04670138322343379,0.3031470880472977,3.3827712535858154,0.25644570482386386,9
10,4.004386901855469,1723045697.251997,0.710218081379229,0.01072959094037224,0.2595762984746247,3.5657668113708496,0.24884670753425245,10
11,4.188641548156738,1723045697.4362516,0.5168613768852653,0.002819453855370933,0.24421389433826657,3.7501795291900635,0.24139444048289563,11
12,4.373367071151733,1723045697.6209772,0.5992883684463234,0.012057458560271976,0.21832821093215626,3.934915065765381,0.20627075237188428,12
13,4.557414531707764,1723045697.8050246,0.5993649054070229,0.03448105780546932,0.19873248441918642,4.1189398765563965,0.1642514266137171,13
14,4.740530729293823,1723045697.9881408,0.5877198539172092,0.034485994000623,0.19873244743210164,4.302051782608032,0.16424645343147865,14
15,4.922762870788574,1723045698.170373,0.5652738969674667,0.025764630156557614,0.1932376878427656,4.484313726425171,0.167473057686208,15
16,5.105531692504883,1723045698.3531418,0.5440611606345062,0.020121591396559266,0.19101099315583964,4.667016506195068,0.17088940175928036,16
17,5.288175106048584,1723045698.5357852,0.5546468648809111,0.01310433284968132,0.17311796636665155,4.849607706069946,0.16001363351697023,17
