_step,_runtime,l2_error,step,loss_interior,loss,time,_timestamp,loss_boundary
0,3.392723321914673,1.3265555886387748,0,0.00037414547225684495,2.766838655504229,1.3623905181884766,1723045654.4762704,2.7664645100319722
1,4.778928995132446,1.0325551017304055,1,0.6619507211268367,1.8134419849747276,3.010720729827881,1723045655.862476,1.151491263847891
2,5.542834281921387,1.1682539335627087,2,0.5494297001767353,1.680712023584932,3.774662971496582,1723045656.6263814,1.1312823234081966
3,6.417747497558594,0.7981229955361375,3,0.4269571166185886,1.6416886322762876,4.6495444774627686,1723045657.5012946,1.214731515657699
4,7.706904172897339,0.49501640807737635,4,0.28737700829398516,0.7457315320092928,5.938695669174194,1723045658.7904513,0.45835452371530766
5,8.627447366714478,0.47034573417574277,5,0.1225701848000303,0.26715974043293467,6.859297037124634,1723045659.7109945,0.14458955563290438
6,9.638965845108032,0.36614684043968115,6,0.10020380066429392,0.19337141419317225,7.870802879333496,1723045660.722513,0.09316761352887833
7,10.659074783325195,0.18571265089877448,7,0.12443315666034868,0.16859146778521367,8.890917301177979,1723045661.742622,0.04415831112486499
8,13.62419056892395,0.17470516139569678,8,0.010421205291415313,0.028244459886489118,11.85472822189331,1723045664.7077377,0.017823254595073806
9,14.74115800857544,0.1308934368476159,9,0.0030282662500011708,0.021730447487696362,12.972812414169312,1723045665.8247051,0.01870218123769519
10,15.871711492538452,0.0798555287209161,10,0.0020943954033590404,0.018007960568334955,14.10348105430603,1723045666.9552586,0.015913565164975916
11,16.78343367576599,0.09292800027120425,11,0.004906095309340582,0.014120719070699696,15.01535701751709,1723045667.8669808,0.009214623761359115
12,18.167714595794678,0.07290682261616249,12,0.002794471605109525,0.011961851253216785,16.399454832077026,1723045669.2512617,0.00916737964810726
13,20.183531522750854,0.058104865775356083,13,0.001268278282301923,0.006425034003509791,18.415367603302002,1723045671.2670786,0.0051567557212078684
14,21.69733476638794,0.052953245779764305,14,0.00021309211871589013,0.0029205525249231487,19.9290714263916,1723045672.780882,0.0027074604062072584
15,23.077412605285645,0.038145834453172524,15,0.0005472282798985788,0.002833890495615445,21.3092520236969,1723045674.1609597,0.002286662215716866
16,24.471615076065063,0.03785261260309468,16,0.0007847082766257429,0.0019539065880677265,22.703457593917847,1723045675.5551622,0.0011691983114419837
17,25.839634895324707,0.03709052363675858,17,0.0007720521348655286,0.0018405629432451448,24.07149624824524,1723045676.923182,0.0010685108083796162
18,27.144697666168213,0.034270699540881765,18,0.0004991078657971711,0.0016017185004615958,25.376564979553223,1723045678.2282448,0.0011026106346644247
19,29.081807851791382,0.030946040403814663,19,0.0003573377613409502,0.0012142276295619063,27.31364154815674,1723045680.165355,0.0008568898682209562
20,31.023112058639526,0.03213203203763201,20,0.00019908343287328192,0.0008886079586713044,29.25495934486389,1723045682.1066592,0.0006895245257980225
21,31.971551418304443,0.03109142194389689,21,0.00011669503987421819,0.0008356701308467783,30.203392505645752,1723045683.0550985,0.0007189750909725602
22,33.19907999038696,0.02670386676699235,22,8.773433123053105e-05,0.0007268685996663793,31.43084192276001,1723045684.282627,0.0006391342684358482
23,34.5573194026947,0.020833997994996974,23,8.199089522196335e-05,0.0005807384423591171,32.78912973403931,1723045685.6408665,0.0004987475471371537
24,35.81678628921509,0.01534590304197966,24,0.000149060732944758,0.0005417842715911511,34.04865622520447,1723045686.9003334,0.0003927235386463931
25,41.68737316131592,0.010263522982454294,25,7.245166710535892e-05,0.0002673083198508836,39.91792011260986,1723045692.7709203,0.00019485665274552463
26,42.96495199203491,0.010573995597829988,26,0.00010513856394920446,0.00019534243302091154,41.19682717323303,1723045694.048499,9.020386907170707e-05
27,47.49914312362671,0.009785258328999662,27,6.236315672085888e-05,0.00016562488282756925,45.731032371520996,1723045698.5826902,0.00010326172610671036
28,48.82758831977844,0.009011487830683089,28,4.79068241928061e-05,0.00010259651672087891,47.05947732925415,1723045699.9111354,5.468969252807281e-05
29,50.945937395095825,0.005743689282063147,29,4.968369325095417e-05,9.374641863537495e-05,49.17782115936279,1723045702.0294845,4.406272538442077e-05
30,53.12674260139465,0.005011353177255316,30,6.756546133296603e-05,8.98120515363225e-05,51.35862946510315,1723045704.2102897,2.2246590203356467e-05
31,55.185126304626465,0.004299435354925542,31,5.6621839464715845e-05,7.416169868347429e-05,53.41670608520508,1723045706.2686734,1.7539859218758445e-05
32,61.06705927848816,0.0045300963896624125,32,4.7453282927739316e-05,6.263676651628076e-05,59.29886293411255,1723045712.1506064,1.5183483588541451e-05
33,62.7330641746521,0.005389465419974151,33,3.352089372263107e-05,4.8373283469271974e-05,60.964916467666626,1723045713.8166113,1.4852389746640903e-05
34,65.7327950000763,0.005544343043282697,34,2.406514602963163e-05,4.1958490508917155e-05,63.96468949317932,1723045716.816342,1.7893344479285527e-05
35,67.88642859458923,0.004762602828258968,35,1.5047950506882448e-05,3.906948573969563e-05,66.11829948425293,1723045718.9699757,2.4021535232813185e-05
36,73.78076601028442,0.004031474544539984,36,8.983573668202499e-06,2.81034878699564e-05,72.01267862319946,1723045724.8643131,1.91199142017539e-05
37,75.58462524414062,0.00316877783174251,37,7.224868470990316e-06,2.1679750206093706e-05,73.81654214859009,1723045726.6681724,1.4454881735103389e-05
38,76.36071610450745,0.002745962994086247,38,9.31779361670608e-06,1.8770925095517e-05,74.59263038635254,1723045727.4442632,9.45313147881092e-06
39,78.63106060028076,0.0024717885078061135,39,1.0893609479275402e-05,1.8083340521775927e-05,76.86289262771606,1723045729.7146077,7.189731042500527e-06
40,79.93440365791321,0.002334087616992797,40,1.2419884424624087e-05,1.7499880634242377e-05,78.16632318496704,1723045731.0179508,5.0799962096182915e-06
41,82.76388788223267,0.002212799987238492,42,1.1823422566329291e-05,1.4913791332347632e-05,80.99558806419373,1723045733.847435,3.0903687660183413e-06
42,92.98237228393555,0.0036061517668327537,46,4.734220107386735e-06,1.0426959169609069e-05,91.21423196792603,1723045744.0659194,5.692739062222335e-06
43,102.7106204032898,0.0020589842546853998,50,6.206740799061904e-06,8.07916396897048e-06,100.94243049621582,1723045753.7941675,1.872423169908575e-06
44,118.11487412452698,0.0009200933359851351,55,3.982883179978328e-06,4.86102083872946e-06,116.34659695625305,1723045769.1984212,8.78137658751132e-07
45,132.55129504203796,0.0011928708204090698,61,1.326039910140913e-06,2.673893771941299e-06,130.78281021118164,1723045783.6348422,1.347853861800386e-06
46,148.28497338294983,0.0006640357028182009,67,1.4543088359578009e-06,2.0640419995432438e-06,146.516854763031,1723045799.3685205,6.097331635854428e-07
47,172.9599802494049,0.000845623256953108,73,2.2186340923055745e-07,6.678124442312673e-07,171.19160151481628,1723045824.0435274,4.4594903500070985e-07
48,210.5285143852234,0.0006799047122996528,81,2.8780369743718376e-07,6.254771888033385e-07,208.7600769996643,1723045861.6120615,3.376734913661547e-07
49,252.9286937713623,0.0005593004515655689,89,2.934736770458179e-07,5.716333623742473e-07,251.16026520729065,1723045904.012241,2.7815968532842937e-07
50,296.287460565567,0.0006951337825777278,98,1.6662848139460232e-07,4.361425981858882e-07,294.51904249191284,1723045947.3710077,2.695141167912859e-07
51,330.83180809020996,0.0006157963554376418,107,7.997256514553454e-08,3.4729252123490846e-07,329.06334114074707,1723045981.9153552,2.6731995608937393e-07
52,385.9999222755432,0.000476408755275773,118,7.155771206689608e-08,2.1259344147520784e-07,384.2314291000366,1723046037.0834694,1.4103572940831177e-07
53,457.0009207725525,0.00017838203437344177,130,4.358844443806339e-08,7.356050659224797e-08,455.23242235183716,1723046108.084468,2.997206215418457e-08
54,533.8447098731995,0.00018936536955031395,143,3.3296376028756864e-08,5.575392015374002e-08,532.0761740207672,1723046184.928257,2.2457544124983154e-08
55,613.2898378372192,0.000119597692754732,157,3.1114752993022144e-08,4.137872457413151e-08,611.521290063858,1723046264.373385,1.026397158110937e-08
56,698.9713389873505,0.00010631383119295824,172,1.3465451822287902e-08,2.2495487531628507e-08,697.2027914524078,1723046350.054886,9.030035709340605e-09
