_step,_runtime,l2_error,step,loss_interior,loss,time,_timestamp,loss_boundary
57,788.9370126724243,8.62024476835449e-05,190,9.142118480523268e-09,1.52205698636586e-08,787.1676843166351,1723046440.0205598,6.078451383135331e-09
58,878.1635105609894,7.294875678469321e-05,208,6.327916149847879e-09,1.0992328246417808e-08,876.3951978683472,1723046529.2470577,4.66441209656993e-09
59,982.3361806869507,6.36585631572032e-05,229,4.73059841256346e-09,8.780478994323295e-09,980.5678217411041,1723046633.4197278,4.0498805817598336e-09
60,1096.365390777588,5.332446780317996e-05,252,3.933315927969793e-09,6.273175314286915e-09,1094.5969941616058,1723046747.448938,2.339859386317122e-09
61,1220.3366992473602,4.8607008584827494e-05,277,3.1330075438845315e-09,5.7613024367220256e-09,1218.5683767795563,1723046871.4202464,2.628294892837494e-09
62,1359.2155575752258,4.6632235320712e-05,305,2.9406607953035777e-09,4.916577891137249e-09,1357.4472436904907,1723047010.2991047,1.975917095833671e-09
63,1508.0039689540863,3.8347449723511277e-05,335,2.3923950672760242e-09,3.927737247782627e-09,1506.2347946166992,1723047159.087516,1.5353421805066026e-09
64,1676.6847386360168,3.8297880482084936e-05,369,2.1445803020694956e-09,3.6310364625667417e-09,1674.916377067566,1723047327.7682858,1.4864561604972463e-09
65,1860.4437460899353,3.411015722287088e-05,406,1.8240122471251153e-09,3.0275104393374833e-09,1858.6754169464111,1723047511.5272932,1.2034981922123682e-09
66,2064.324313879013,3.501299622039055e-05,446,1.6280684197521574e-09,2.6275920897786068e-09,2062.5558092594147,1723047715.407861,9.995236700264494e-10
67,2309.1328525543213,3.127017361734052e-05,491,1.5274195900407274e-09,2.4930161028267038e-09,2307.364258289337,1723047960.2163997,9.655965127859764e-10
68,2571.8516249656677,3.0196440159216384e-05,540,1.3225089552464628e-09,2.196497407769819e-09,2570.083260536194,1723048222.935172,8.739884525233564e-10
69,2857.009447813034,2.8668164025102322e-05,594,1.2756376059658838e-09,1.9497693897374975e-09,2855.241018295288,1723048508.092995,6.741317837716135e-10
70,3005.535311937332,2.7069963698679296e-05,622,1.1472672507278166e-09,1.8509394745218196e-09,3003.7657194137573,1723048656.618859,7.036722237940029e-10
