time,l2_error,_timestamp,loss,step,_runtime,loss_boundary,loss_interior,_step
1.3851706981658936,1.7762758992503387,1723045654.4655921,3.1243397321180804,0,2.7838170528411865,3.123687466814027,0.0006522653040536535,0
2.4692184925079346,1.6424086856809554,1723045655.3316574,2.463973563916955,1,3.6498823165893555,1.8178894401673025,0.6460841237496524,1
3.0730679035186768,1.7027428837723546,1723045655.9356441,2.149990392792148,2,4.25386905670166,2.010348540435591,0.13964185235655718,2
3.8036036491394043,0.4750338444899369,1723045656.6660874,1.8164855977377152,3,4.984312295913696,1.6930351575988958,0.12345044013881942,3
4.872539281845093,0.27283672535124953,1723045657.734998,0.21443804485060283,4,6.053222894668579,0.17464700919378107,0.039791035656821766,4
5.955615758895874,0.2896147983646421,1723045658.8180928,0.12543350540951811,5,7.136317729949951,0.09666975350516085,0.028763751904357267,5
6.6505231857299805,0.3241970608091805,1723045659.5144,0.09328987878308473,6,7.832624912261963,0.08411635515579384,0.00917352362729089,6
7.659963369369507,0.33129837987010086,1723045660.522421,0.08149617373226117,7,8.840645790100098,0.07839784377233001,0.0030983299599311653,7
8.598875522613525,0.11517913927507567,1723045661.4613204,0.06663220242192534,8,9.779545307159424,0.055866068484027066,0.01076613393789828,8
9.38779616355896,0.03648812698349788,1723045662.2502837,0.02189365709224083,9,10.568508625030518,0.013477495753991974,0.008416161338248854,9
13.82068395614624,0.04348135398301406,1723045666.6832561,0.003646742895481083,10,15.001481056213379,0.0012598278388409434,0.00238691505664014,10
14.857958316802979,0.059611119185408144,1723045667.7204278,0.003142682993051393,11,16.038652658462524,0.0016462536229726382,0.0014964293700787548,11
16.06404399871826,0.05509124641941459,1723045668.9264522,0.003273487918448615,12,17.24467706680298,0.002115361855044027,0.0011581260634045882,12
17.39760708808899,0.03091084912166863,1723045670.260121,0.0021396784894099382,13,18.578346014022827,0.001698633357424013,0.0004410451319859253,13
20.075778007507324,0.03093446795392764,1723045672.938497,0.0006767713053130342,14,21.25672197341919,0.0004930556255886717,0.0001837156797243625,14
21.421196222305298,0.02540417330998336,1723045674.283659,0.0004811998528130463,15,22.60188388824463,0.00040967225476291175,7.152759805013453e-05,15
22.484914779663086,0.021902954262507785,1723045675.347516,0.00046401149264519283,16,23.665740966796875,0.0004214222754892069,4.258921715598596e-05,16
23.87867522239685,0.016160678610624514,1723045676.7412152,0.000413792910214586,17,25.05944013595581,0.00033911373315417104,7.467917706041498e-05,17
25.127543210983276,0.011945152969990503,1723045677.990041,0.00039812559378743235,18,26.308265924453735,0.00025887532468953187,0.0001392502690979005,18
29.67620325088501,0.009541785363393732,1723045682.5387025,0.00021349376624844342,19,30.856927394866943,0.00014351566242700603,6.997810382143741e-05,19
30.68342423439026,0.010278857076311,1723045683.5459275,0.00018493310381778653,20,31.864152431488037,6.617408004969827e-05,0.00011875902376808825,20
32.03106713294983,0.011451653633849593,1723045684.8935523,0.00015890369636738965,21,33.211777210235596,6.245178974873038e-05,9.645190661865926e-05,21
33.76587724685669,0.011264742312183901,1723045686.6283917,0.00013678285536068067,22,34.946616649627686,6.954962790595035e-05,6.723322745473033e-05,22
34.868937492370605,0.010836308904734871,1723045687.7314138,0.0001178814049518972,23,36.049638748168945,8.048606563046428e-05,3.739533932143293e-05,23
35.92607045173645,0.009854380779005729,1723045688.7885556,0.00010097365537407948,24,37.10678052902222,7.893508364645768e-05,2.2038571727621793e-05,24
37.767439126968384,0.00875203147553014,1723045690.6299675,8.625808167224995e-05,25,38.94819235801697,7.16744626325676e-05,1.458361903968236e-05,25
43.22964811325073,0.00826770659422438,1723045696.0933888,7.341735834767318e-05,26,44.41161370277405,6.264126242879098e-05,1.0776095918882205e-05,26
44.19099426269531,0.007346997868693358,1723045697.0535018,6.753704455456402e-05,27,45.371726751327515,4.6302756326733574e-05,2.1234288227830448e-05,27
45.24530005455017,0.007252067441262088,1723045698.1077902,5.994069675534568e-05,28,46.4260151386261,4.68402936108429e-05,1.3100403144502776e-05,28
47.14719557762146,0.006775500185583165,1723045700.009774,5.2848482636676534e-05,29,48.327998876571655,4.369872436168701e-05,9.149758274989528e-06,29
48.985060691833496,0.0057592542752642195,1723045701.8478398,5.0852551565608854e-05,30,50.166064739227295,4.2286839624842934e-05,8.565711940765922e-06,30
53.44948935508728,0.00503133404722936,1723045706.3119485,3.940196555237263e-05,31,54.630173444747925,3.054086087486035e-05,8.861104677512278e-06,31
54.15323567390442,0.007362207708732074,1723045707.015734,3.440472522953421e-05,32,55.333958864212036,2.4143367324438613e-05,1.0261357905095594e-05,32
55.15174698829651,0.007450917568776076,1723045708.014352,3.415837862084078e-05,33,56.33257699012756,2.890606653507375e-05,5.252312085767029e-06,33
57.05130100250244,0.006496636075582698,1723045709.9138129,3.356521594541269e-05,34,58.23203778266907,2.8378681568040445e-05,5.186534377372246e-06,34
60.552459478378296,0.005580871432884824,1723045713.4149873,2.579363150559315e-05,35,61.73321223258972,1.9068664771292637e-05,6.7249667343005135e-06,35
61.60841393470764,0.004321676799281299,1723045714.4709196,2.4720712050077186e-05,36,62.78914451599121,1.5450093160570115e-05,9.270618889507072e-06,36
63.669398069381714,0.004347342367129867,1723045716.5318491,1.9208572372942516e-05,37,64.85007405281067,7.735571635938308e-06,1.1473000737004206e-05,37
65.57175278663635,0.004810564769388635,1723045718.4343233,1.604952311856961e-05,38,66.75254821777344,6.755178341367442e-06,9.294344777202168e-06,38
67.54055523872375,0.004121602390306519,1723045720.403012,1.6634325232075338e-05,39,68.72123694419861,1.1119463463135658e-05,5.514861768939681e-06,39
