_timestamp,loss,l2_error,loss_boundary,_runtime,step,time,loss_interior,_step
1723045655.4303179,2.6393765714064155,0.6549695906819112,2.639374320335948,2.786484956741333,0,1.8152213096618652,2.2510704673150684e-06,0
1723045655.73848,0.24332854455979688,0.5278726418858357,0.22556597464703634,3.094647169113159,1,2.489102602005005,0.017762569912760543,1
1723045656.0829303,0.16732947817061006,0.4147824834526023,0.15919383105789198,3.4390974044799805,2,2.833322286605835,0.008135647112718084,2
1723045656.4651752,0.12704553020181591,0.2906376952121287,0.10438932872185568,3.8213422298431396,3,3.21563720703125,0.022656201479960225,3
1723045656.8905783,0.06725818675411488,0.2037740204852914,0.04939893897319021,4.246745347976685,4,3.641099691390991,0.01785924778092466,4
1723045657.3556533,0.0411921190602083,0.18616578018607857,0.03199740131283493,4.711820363998413,5,4.106242895126343,0.009194717747373371,5
1723045657.8613808,0.029782760504955517,0.14775169185835857,0.022335897749457486,5.21754789352417,6,4.6119678020477295,0.007446862755498032,6
1723045658.4007607,0.022508856359807934,0.12504996443735328,0.015903969880219363,5.756927728652954,7,5.151329517364502,0.006604886479588572,7
1723045658.98175,0.016504903461849227,0.12187446450335236,0.012435474004827488,6.33791708946228,8,5.732183933258057,0.00406942945702174,8
1723045659.6181839,0.010845579850137425,0.08167702120850273,0.008709215407976279,6.974350929260254,9,6.368616342544556,0.0021363644421611466,9
1723045660.2748418,0.007912419019123738,228911984780.73627,0.005700020757337577,7.631008863449097,10,7.0255725383758545,0.00221239826178616,10
1723045660.9677973,2.201390328876443e+22,3972448011317.1675,2.201390328876443e+22,8.323964357376099,11,7.718534231185913,0.0,11
1723045661.6727936,1.3732979632494449e+25,156841761854.95,1.3732979632494449e+25,9.028960704803467,12,8.422088623046875,0.0,12
1723045662.37626,1.2311235262701027e+22,108381617162.97385,1.2311235262701027e+22,9.73242712020874,13,9.12701416015625,0.0,13
1723045663.0732338,5.289444476170362e+21,64929569793.31109,5.289444476170362e+21,10.42940092086792,14,9.823983430862427,0.0,14
1723045663.7684126,2.0377792007396448e+21,54778098034.48003,2.0377792007396448e+21,11.124579668045044,15,10.519144773483276,0.0,15
1723045664.4608133,2.008193245244707e+21,147385103351.09985,2.008193245244707e+21,11.816980361938477,16,11.211508750915527,0.0,16
1723045665.1607046,9.50745141068234e+21,87677892734.08981,9.50745141068234e+21,12.516871690750122,17,11.911458253860474,0.0,17
1723045665.8508413,4.601147294916322e+21,1954754189363.028,4.601147294916322e+21,13.207008361816406,18,12.601608037948608,0.0,18
1723045666.5354984,1.962553306234023e+24,150181776130.74857,1.962553306234023e+24,13.8916654586792,19,13.286211252212524,0.0,19
1723045667.242808,9.149313521553811e+21,181766432600.49313,9.149313521553811e+21,14.59897518157959,20,13.993216753005981,0.0,20
1723045667.9375653,1.948886511995689e+22,64448187782392.734,1.948886511995689e+22,15.293732404708862,21,14.688312292098999,0.0,21
1723045668.631368,2.130187861308599e+27,18145589423783.496,2.130187861308599e+27,15.987534999847412,22,15.382136583328247,0.0,22
1723045669.3198977,1.4370802455161502e+26,3496734561722.809,1.4370802455161502e+26,16.67606472969055,23,16.070544719696045,0.0,23
1723045670.0103455,1.3958524004745235e+25,2785416819355.7437,1.3958524004745235e+25,17.366512537002563,24,16.761095762252808,0.0,24
1723045670.7037618,3.8964062493034177e+24,1852472691196.105,3.8964062493034177e+24,18.05992889404297,25,17.454381704330444,0.0,25
1723045671.4071262,2.0708251135219757e+24,1537812682572.1338,2.0708251135219757e+24,18.763293266296387,26,18.157870292663574,0.0,26
1723045672.0956378,1.0991492160522836e+24,3339753021300.162,1.0991492160522836e+24,19.451804876327515,27,18.84636878967285,0.0,27
1723045672.7871342,4.4300335095032283e+24,96714352509984.33,4.4300335095032283e+24,20.143301248550415,28,19.537858247756958,0.0,28
1723045673.4785652,5.691177191038429e+27,33406791589273.074,5.691177191038429e+27,20.83473229408264,29,20.229297876358032,0.0,29
1723045674.1691544,5.340170455061021e+26,10627422100224.277,5.340170455061021e+26,21.52532148361206,30,20.919891119003296,0.0,30
1723045674.8556168,5.716975414285426e+25,11773970571582.047,5.716975414285426e+25,22.21178388595581,31,21.60634446144104,0.0,31
1723045675.5603323,6.341202049538355e+25,5458684838690.566,6.341202049538355e+25,22.916499376296997,32,22.311055660247803,0.0,32
1723045676.2529569,1.459584540327696e+25,1864564132200510.0,1.459584540327696e+25,23.609123945236206,33,23.00359797477722,0.0,33
1723045676.9374228,1.3960039122348707e+30,118561259053512.52,1.3960039122348707e+30,24.29358983039856,34,23.68815541267395,0.0,34
1723045677.6269836,7.072978442344459e+27,61451556006478.01,7.072978442344459e+27,24.983150720596313,35,24.377739191055298,0.0,35
1723045678.3083143,1.8673695070441077e+27,59329441080108.83,1.8673695070441077e+27,25.66448140144348,36,25.05906367301941,0.0,36
1723045678.9932275,1.6306130456840648e+27,50667378432651.664,1.6306130456840648e+27,26.34939455986023,37,25.743871688842773,0.0,37
1723045679.6874294,1.895276735361328e+27,325667959508957.0,1.895276735361328e+27,27.043596506118774,38,26.438180446624756,0.0,38
1723045680.3707757,5.46100821554744e+28,106742743241324.36,5.46100821554744e+28,27.726942777633667,39,27.121561288833618,0.0,39
1723045681.0533855,4.8740197077093955e+27,954122670968109.6,4.8740197077093955e+27,28.409552574157715,40,27.804124116897583,0.0,40
1723045682.4434538,1.533381988583057e+27,26738599036669.37,1.533381988583057e+27,29.799620866775513,42,29.194185256958008,0.0,41
