loss,_step,loss_interior,_timestamp,time,loss_boundary,step,_runtime,l2_error
2.631392111380915,0,6.3281793471193575e-06,1723045984.6488426,329.10039591789246,2.631385783201568,0,329.94697856903076,1.8266859189426181
2.7194716628922473,1,8.112139195094068e-06,1723046309.200364,654.0469579696655,2.7194635507530522,1,654.4985001087189,1.8129226257032642
2.6990714792419954,2,0.0002451557139739942,1723046630.0455894,974.8922584056854,2.698826323528021,2,975.3437254428864,1.6273439554003168
2.0772559693272896,3,0.034317673208005536,1723046952.581623,1297.4280865192413,2.042938296119284,3,1297.8797590732574,1.6108558056289104
2.081615853255453,4,0.029997011135633453,1723047273.9937468,1618.837383031845,2.0516188421198196,4,1619.2918827533722,1.5342109945556037
1.9155173717318899,5,0.00899757376747044,1723047594.7685127,1939.6147990226746,1.9065197979644195,5,1940.066648721695,1.491286365960733
1.73415616248998,6,0.011656009865176061,1723047917.5937247,2262.4398839473724,1.7225001526248038,6,2262.8918607234955,0.39780919896699596
0.1274107969824205,7,0.010938272614991747,1723048241.3074672,2586.153696537018,0.11647252436742876,7,2586.6056032180786,0.13671335771486287
0.02010602846010066,8,0.004121412877989215,1723048567.3990781,2912.245381593704,0.015984615582111446,8,2912.697214126587,0.02879035555741568
0.000922611161376898,9,0.0006333288066122526,1723048892.3075168,3237.1527140140533,0.0002892823547646453,9,3237.605652809143,0.01705636409587841
