loss_interior,time,_step,_runtime,_timestamp,step,loss_boundary,loss,l2_error
0.00025267566290999985,1.3820006847381592,0,2.068688154220581,1723045696.308689,0,3.1734512319644956,3.173703907627406,2.0602413192413116
0.0002526743521327413,1.7311561107635498,1,2.1894400119781494,1723045696.429441,1,3.1734436389469587,3.1736963132990916,0.6358513720754783
0.0005227997970024883,1.8475172519683838,2,2.3055646419525146,1723045696.5455656,2,0.4400859551037568,0.4406087549007593,8.591962578707733
0.032437280289724986,1.9544346332550049,3,2.412015199661255,1723045696.6520162,3,41.69468218838079,41.727119468670516,0.7732473627392128
0.0011384530119657064,2.069286823272705,4,2.527484655380249,1723045696.7674856,4,0.6926343536765844,0.6937728066885501,0.5263642401797279
0.07903455238333734,2.1865735054016113,5,2.645148754119873,1723045696.8851497,5,0.3261753892147624,0.40520994159809975,0.646770541451695
0.055573710161694545,2.2985734939575195,6,2.756986141204834,1723045696.996987,6,0.2313372774636979,0.28691098762539247,0.4678768801005438
0.021278842018410595,2.414371967315674,7,2.872799873352051,1723045697.1128008,7,0.15223783399065688,0.17351667600906748,0.5107193755503276
0.015331043878744169,2.530076742172241,8,2.988595724105835,1723045697.2285967,8,0.155808624785115,0.17113966866385918,0.49373251106745525
0.008041394440227088,2.642353057861328,9,3.1025521755218506,1723045697.3425531,9,0.15895505643330302,0.1669964508735301,0.5481849751758339
0.006750733626883877,2.762533187866211,10,3.2210679054260254,1723045697.4610689,10,0.1523930576166075,0.1591437912434914,0.46798118724377974
0.009109462884053997,2.873713493347168,11,3.331951379776001,1723045697.5719523,11,0.13638722815260823,0.14549669103666224,0.5075665123984975
0.010003241139408092,2.9886345863342285,12,3.44710636138916,1723045697.6871073,12,0.12904480388933676,0.13904804502874485,0.47507821532036276
0.013573684526335417,3.1024861335754395,13,3.5608761310577393,1723045697.800877,13,0.1227147609126095,0.13628844543894492,0.4774473727662468
0.016208360823647513,3.2175633907318115,14,3.675762414932251,1723045697.9157634,14,0.11184110998154241,0.1280494708051899,0.41484662374894876
0.016914717418480777,3.319079875946045,15,3.777174472808838,1723045698.0171754,15,0.10596248358248986,0.12287720100097063,0.43408880747143674
0.011024487235891394,3.4205427169799805,16,3.8786449432373047,1723045698.118646,16,0.10888999480285068,0.11991448203874207,0.39784874681823235
0.00961207489190818,3.5333783626556396,17,3.991773843765259,1723045698.2317748,17,0.10612333069460643,0.11573540558651461,0.4308715048299382
0.012016482809592555,3.6466064453125,18,4.105065822601318,1723045698.3450668,18,0.09708295587538252,0.10909943868497507,0.4092556742019807
0.01569054458624176,3.7590208053588867,19,4.2174646854400635,1723045698.4574656,19,0.08911306529217025,0.10480360987841202,0.42507163743510146
0.016434556579059886,3.8706021308898926,20,4.328900098800659,1723045698.568901,20,0.08333301695244053,0.09976757353150041,0.28443560100777054
0.011820515722546318,3.9769771099090576,21,4.435286998748779,1723045698.675288,21,0.06133053617588925,0.07315105189843557,0.310665219281869
0.010914547130756303,4.089932680130005,22,4.548307418823242,1723045698.7883084,22,0.059488035411220386,0.07040258254197669,0.296082130395158
0.011385272020363307,4.191983938217163,23,4.650048732757568,1723045698.8900497,23,0.04957237587056003,0.06095764789092334,0.30571102318022836
0.01148918237038011,4.29067587852478,24,4.74865984916687,1723045698.9886608,24,0.04819416909133019,0.0596833514617103,0.2766900502707135
0.011501470676162891,4.389918327331543,25,4.847945213317871,1723045699.0879462,25,0.040637616788817686,0.052139087464980576,0.2706222875549197
0.010918024067489275,4.490222930908203,26,4.948263883590698,1723045699.1882648,26,0.037741586630887045,0.04865961069837632,0.21572652465742448
0.010879541084487177,4.588530540466309,27,5.046520948410034,1723045699.286522,27,0.029043599475878985,0.039923140560366166,0.20970416159453434
0.010571649206303994,4.686933994293213,28,5.14488959312439,1723045699.3848906,28,0.028610082726962013,0.039181731933266004,0.20803979860069605
0.009191219199960486,4.786572456359863,29,5.244584560394287,1723045699.4845855,29,0.02795934378833819,0.03715056298829868,0.20639686589041764
0.009007419610183453,4.8851096630096436,30,5.343134880065918,1723045699.5831358,30,0.02748125952426862,0.03648867913445207,0.19684869796644536
0.0076728723950047215,4.984012603759766,31,5.442038059234619,1723045699.682039,31,0.026692860755590582,0.0343657331505953,0.20538830451651005
0.007470577157735765,5.084120035171509,32,5.542214632034302,1723045699.7822156,32,0.02647099451131993,0.033941571669055697,0.20095390429320337
0.007191846965153537,5.183753490447998,33,5.641792297363281,1723045699.8817933,33,0.025439153021434523,0.03263099998658806,0.20989886613541717
0.007091090672905189,5.282623291015625,34,5.740642309188843,1723045699.9806433,34,0.024678793092011958,0.03176988376491715,0.199798558070438
0.007857233847585498,5.385968208312988,35,5.8439881801605225,1723045700.0839891,35,0.022722676342351148,0.030579910189936645,0.18406813492956361
0.008665153436286705,5.485229253768921,36,5.943214178085327,1723045700.1832151,36,0.02037657539745364,0.029041728833740343,0.17351492159649753
0.008806537575523394,5.583746671676636,37,6.041739225387573,1723045700.2817402,37,0.019083234795760358,0.027889772371283754,0.15079332029169976
0.008248057955631667,5.6941001415252686,38,6.152362108230591,1723045700.392363,38,0.01840123263428313,0.026649290589914797,0.15065761755365822
0.008139241949255015,5.794464826583862,39,6.2524824142456055,1723045700.4924834,39,0.01789920150201483,0.026038443451269842,0.15007317339135715
0.007653699244970956,5.893711090087891,40,6.351874351501465,1723045700.5918753,40,0.01721416195531846,0.024867861200289415,0.1378731288678599
0.006338439038501486,6.088201284408569,41,6.5466694831848145,1723045700.7866704,42,0.014187202648122003,0.02052564168662349,0.15313526946503486
