loss_boundary,time,_step,_runtime,_timestamp,l2_error,loss_interior,loss,step
2.789697141878816,1.054154634475708,0,2.7929036617279053,1723045654.1905596,1.8006261575623044,3.796917940553107e-06,2.7897009387967566,0
2.560271763704278,1.3591344356536865,1,2.8189339637756348,1723045654.21659,1.7475381591282626,2.6186830957005163e-05,2.560297950535235,1
2.4560574625756764,1.3812947273254395,2,2.8417820930480957,1723045654.239438,1.6945839439705044,8.66285305494218e-05,2.456144091106226,2
2.2749557165241776,1.4045238494873047,3,2.8649470806121826,1723045654.262603,1.641390309257636,0.00018515641950278542,2.2751408729436804,3
2.357567213681513,1.4291636943817139,4,2.889695882797241,1723045654.2873518,1.5874036821375068,0.00031978037477984765,2.3578869940562925,4
2.119248872135333,1.4525060653686523,5,2.912996530532837,1723045654.3106525,1.5322657140708673,0.0005176403431062592,2.1197665124784395,5
2.097155542107533,1.475168228149414,6,2.935424327850342,1723045654.3330803,1.4755138564170058,0.0007487369333270276,2.09790427904086,6
2.0021116786322524,1.4968388080596924,7,2.957521438598633,1723045654.3551774,1.4167488785400906,0.0010572772852347004,2.003168955917487,7
1.8839207415647357,1.518751859664917,8,2.979592800140381,1723045654.3772488,1.355617101983034,0.0013916519942943435,1.88531239355903,8
1.6891005870440468,1.5409200191497803,9,3.0017290115356445,1723045654.399385,1.2919864111523967,0.001836566493875681,1.6909371535379225,9
1.5547872195282453,1.5631558895111084,10,3.0230162143707275,1723045654.4206722,1.2258723319340212,0.0023480094030867513,1.557135228931332,10
1.5357438642154062,1.585916519165039,11,3.0437369346618652,1723045654.441393,1.1572241181246268,0.0028762460692061263,1.5386201102846124,11
1.3979340512285368,1.604745864868164,12,3.0649807453155518,1723045654.4626367,1.0864606335735139,0.003514082981322825,1.4014481342098595,12
1.2929238907821787,1.6264619827270508,13,3.0853049755096436,1723045654.482961,1.0141556635390567,0.00424489678535634,1.297168787567535,13
1.1132211352737453,1.6464600563049316,14,3.105457067489624,1723045654.503113,0.9414580452870416,0.005137418138607015,1.1183585534123524,14
1.013793648089865,1.666231632232666,15,3.1252167224884033,1723045654.5228727,0.8697300474503235,0.0058812567346901426,1.0196749048245553,15
0.9168583703545268,1.6861908435821533,16,3.1451621055603027,1723045654.542818,0.8009094238475847,0.006764562654540819,0.9236229330090676,16
0.8173837070960747,1.706286907196045,17,3.165175437927246,1723045654.5628314,0.7374791647206101,0.007501926394515583,0.8248856334905903,17
0.7456331570753066,1.7310588359832764,18,3.1901025772094727,1723045654.5877585,0.6824926892325283,0.008303052984687255,0.7539362100599939,18
0.6144312889885335,1.7519252300262451,19,3.210883378982544,1723045654.6085393,0.6396904460496392,0.008939518065419072,0.6233708070539525,19
0.5510809270297758,1.773141622543335,20,3.231945037841797,1723045654.629601,0.6123561051640921,0.009534459235016867,0.5606153862647927,20
0.4424343186348273,1.7947487831115723,21,3.253542184829712,1723045654.6511981,0.6024665444377932,0.009920218624317485,0.45235453725914476,21
0.42232905276912786,1.817549467086792,22,3.2749698162078857,1723045654.6726258,0.6099268695596253,0.00994692089896539,0.4322759736680932,22
0.38653463595308063,1.8366973400115967,23,3.2955851554870605,1723045654.6932411,0.6323746886329793,0.009855259674530815,0.39638989562761145,23
0.33453724740594654,1.8569250106811523,24,3.3159332275390625,1723045654.7135892,0.6661276530982979,0.009423900707383692,0.34396114811333023,24
0.31234570551559376,1.876974105834961,25,3.3360469341278076,1723045654.733703,0.707030317607145,0.009481165064769101,0.32182687058036286,25
0.32298985717338957,1.8972620964050293,26,3.3562917709350586,1723045654.7539477,0.7504600799611937,0.0090538115399439,0.33204366871333346,26
0.3212784647914643,1.917196273803711,27,3.3761119842529297,1723045654.773768,0.7939408089504312,0.008284495757099546,0.3295629605485639,27
0.3150245178445031,1.9374666213989258,28,3.396907091140747,1723045654.794563,0.8350098663941637,0.007753713014543241,0.32277823085904633,28
0.3378144012755155,1.9574589729309082,29,3.4164879322052,1723045654.814144,0.8705189014908717,0.006959705096759842,0.34477410637227535,29
0.34140784739499336,1.977057933807373,30,3.4360105991363525,1723045654.8336666,0.899226626258703,0.006180886576780904,0.34758873397177426,30
0.34475718409090217,1.996490716934204,31,3.4555437564849854,1723045654.8531997,0.9200874407972276,0.005258112178204673,0.3500152962691068,31
0.34812320119027085,2.018773078918457,32,3.477733850479126,1723045654.8753898,0.932864647083172,0.004681022456751768,0.35280422364702263,32
0.38813170761959614,2.0379974842071533,33,3.4972410202026367,1723045654.894897,0.937539172887609,0.003554969149342721,0.39168667676893887,33
0.3394558923258521,2.057525634765625,34,3.51658296585083,1723045654.914239,0.9346455448851883,0.0031876036320164104,0.3426434959578685,34
0.3486645381458994,2.076918363571167,35,3.5359959602355957,1723045654.933652,0.9252487562937153,0.0023536319692380884,0.35101817011513753,35
0.35466126610729826,2.10068416595459,36,3.558213710784912,1723045654.9558697,0.9091446819339232,0.0018903353002055734,0.3565516014075038,36
0.3457544679103221,2.119701862335205,37,3.578782558441162,1723045654.9764385,0.8878322682331177,0.001510258357675701,0.3472647262679978,37
0.3169055475733187,2.1404502391815186,38,3.599355697631836,1723045654.9970117,0.8618900255349935,0.0012326681782242495,0.31813821575154294,38
0.3246553546044168,2.1609015464782715,39,3.6198244094848633,1723045655.0174804,0.8332656324493167,0.0012413252853633642,0.32589667988978016,39
0.30685344374147355,2.1820642948150635,40,3.640758991241455,1723045655.038415,0.8015328786397724,0.0013722299979899441,0.3082256737394635,40
